,Type,Jewelry,Clothing,Eye Color,DNA,Back,Hair,Mouth,Eyewear,Accessories,Facial Feature,Helmet,Rarity score,Token Id
444,None,None,PURP VARSITY JCKT,BLCK Surprised,Human,Energy Wings,BLCK BRDZ,SMILE,None,None,None,None,35.122660875288226,445
445,None,GLD Two Piece,BLCK GM Tee,None,Robot,None,BLU MoHWK,None,Cyber Bindi,None,None,None,26.986002295258587,446
446,None,DRIP CHRM,WHT PNK Fur Coat,GRN,Human,None,GOAT HRNZ,SMILE,Cyborg V2,None,None,None,41.832929381609915,447
447,DRK,CHRM,HVY MTL HOODIE,None,Demon,None,BLCK BWLCUT,None,None,None,None,None,30.567981134147225,448
448,Divine,CHRM,BLCK Tee,None,Angel,None,BRWN Long,Bubblegum,BILLIONAIRE,None,None,None,53.795469275106825,449
449,MURAKAMI DRIP,VVS PANDA,CLNX Tee,HALF-OPEN,Robot,None,PIRATE,None,None,None,None,None,32.79377261168296,450
450,None,PURP Two Piece,Blade Melt Tee,None,Angel,None,MEDUZA,None,None,None,None,None,18.066951472728697,451
451,None,RBY CBLE,CAMO BBL Vest,GRN,Human,None,PNK MoHWK,None,None,Cross Earring,TRi War TAT,None,48.97702075134628,452
452,None,PURP Two Piece,RFX Tee,None,Angel,None,WHT Quiff,None,None,None,None,None,17.94771229516233,453
453,MURAKAMI DRIP,SLVR CBLE,BLCK Jellyfish Tee,BRWN,Human,BLCK UNDRWRLD WINGZ,BLCK Bandana TECH Cap,Tan Tan Bo,None,None,Scratch Scarz,None,70.35171048047764,454
454,None,RNBW G-Link,CLNX HOODIE,BRWN,Human,None,BLU Shape Up,INFCTD,None,None,None,None,29.128826987760657,455
455,None,None,FRSH Shirt,None,Robot,None,BLCK Unkept,None,None,None,None,None,3.680091344760826,456
456,MK-BLCK,SLVR Two Piece,BLCK BKR JCKT,None,Robot,None,RD Braid,None,None,None,None,None,26.589426047497223,457
457,None,None,PURP CAMO PFA JCKT,None,Robot,None,PURP Wrap,1Tooth,None,Cross Earring,None,None,30.113557144419485,458
458,None,S-HIRE G-Link,PURP Utility Vest,PURP,Human,None,WHT Quiff,Wise Fancy Mustache,BILLIONAIRE,None,On-Sight TAT,None,56.64942186303923,459
459,None,None,IRI BLW UP JCKT,BRWN,Human,None,ZK Bucket,RD DRGN Mask,None,None,None,None,18.76360792378219,460
460,None,None,RD BBL Vest,BLU,Human,None,GRN Shape Up,ROBO,None,None,On-Sight TAT,None,32.68393518526229,461
461,None,KAWAII CHRM,WAGMI Tee,BLU,Human,None,BLCK Spiked,Romantico,None,None,None,None,29.12788126058965,462
462,MK1,CHRM,WHT BKR JCKT,None,Robot,None,BLND Stylish,None,None,None,None,None,26.094452604261715,463
463,None,RD ZK-BEADZ,PNK BBL Vest,PURP,Human,None,BLND Curtains,ROBO,BTC,None,333 TAT,None,56.34566742539765,464
464,None,GLD G-Link,GRDNT PFA JCKT,None,Demon,None,BLCK BWLCUT,Mustache,None,None,None,None,28.749248280598437,465
465,None,RNBW CBLE,GM HOODIE,CLSD BRWN,Human,None,WHT Hairclip,None,None,None,PROMO TAT,None,34.00215262419623,466
466,None,SLVR Two Piece,BLU BNDN Shirt,PURP,Human,None,BRWN Stylish,None,None,None,None,None,18.44275231901829,467
467,None,KAWAII CHRM,FLOOR Tee,CLSD BRWN,Human,None,BLU Stylish,None,None,None,None,None,19.136453844406898,468
468,None,PURP Two Piece,BLCK GRNG Dress,BRWN,Human,None,GRN Stylish,None,None,None,369 VSN TAT,None,33.1561101591132,469
469,None,None,WHT PNK Fur Coat,None,Robot,None,WHT BRDZ,None,BLU LAZER,None,None,None,16.98791922631326,470
470,MK2,GLD Two Piece,GRDNT PFA JCKT,None,Robot,None,GRN Stylish,None,None,None,None,None,26.898907903115244,471
471,None,None,RD VARSITY JCKT,PNK,Human,None,BLCK BWLCUT,None,None,None,CLNX TAT,None,22.563895158761504,472
472,None,None,PURP KBA JCKT,YLLW,Human,None,WHT Curtains,None,BILLIONAIRE,None,None,None,20.797224442664085,473
473,None,None,IRI BLW UP JCKT,None,Robot,None,PNK BWLCUT,SFTY Mask,None,SLVR STUD,None,None,30.195888323299663,474
474,MURAKAMI DRIP,None,BLCK GM Tee,None,Human,None,Flower Hat,1Tooth,Cyber Eyes,None,CLNX TAT,None,48.210940405745895,475
475,None,GLD Two Piece,CLNX HOODIE,YLLW,Human,All Seeing Eyes,PNK Pilot,WZRD,None,None,None,None,45.84890906925534,476
476,None,None,BLCK Tee,BLU,Human,None,GRN Hacker,None,None,None,None,None,7.89458088107291,477
477,None,SG-PDLCK,BLCK Tee,YLLW,Human,None,PNK MoHWK,ROBO,3RD Eye,None,None,None,41.578373129902886,478
478,MURAKAMI DRIP,WGLD Iced Cuban,RTFKT CHROME Tee,YLLW Breezy,Human,None,PNK Curtains,GLD GRILLZ,None,None,STARVSN TAT,None,54.39270888198385,479
479,None,GLD CBLE,FRSH Shirt,BLU-PURP,Human,None,YU-BRED,None,None,PTRA Earring,None,None,34.34381364204519,480
480,None,None,BRWN Fur Coat,None,Robot,None,PNK Curtains,None,None,Cross Earring,None,None,19.472015635461805,481
481,None,None,CLNX HOODIE,None,Robot,None,BRWN Floral Wreath,None,None,RTFKT Earrings,None,None,19.834469128043438,482
482,ICE,CHRM,V1 NVY SKL GRL,None,Demon,None,CYBR DRDZ,None,SPiKED BILLIONAIRE,None,None,None,43.647681727282624,483
483,None,None,GRN HAWAIIAN Shirt,BLU,Human,None,PURP Curtains,None,None,None,None,None,7.9731311397474744,484
484,None,GLD CBLE,RCS Tee,CLSD BRWN,Human,None,WHT Curtains,None,None,None,None,None,18.90460086645056,485
485,MURAKAMI DRIP,None,RTFKT x TM RNBW FLOWER PFA,None,Demon,Robotic Arms,BRWN Ponytail,Lollipop,None,None,None,None,44.84938530302891,486
486,None,None,WHT KBA JCKT,None,Angel,None,PIRATE,ICED GRILLZ,Cyborg V1,None,None,None,31.368586547376854,487
487,MK1,DRIP CHRM,BLCK Tee,None,Robot,None,GRN Cyber Dreads,Lollipop,Cyber Eyes,None,None,None,49.406497614452846,488
488,MK1,PNK ZK-BEADZ,MONO Tee,None,Robot,Energy Wings,BLCK Hairclip,None,RD LAZER,None,None,None,55.996140251363094,489
489,MURAKAMI DRIP,None,BLCK Jellyfish Tee,PNK-BLU,Human,BLCK UNDRWRLD WINGZ,BLCK Unkept,None,Cyber Eye Patch,None,BIRTHMRK,None,62.406265514721696,490
490,MURAKAMI DRIP,GLD G-Link,CAMO PFA JCKT,SPINNING,Human,None,WHT OCTOPUS,None,None,None,None,None,29.30297639135683,491
491,None,None,PNK HAWAIIAN Shirt,BLU-PURP,Human,None,PNK Ponytail,SMILE,None,None,None,None,18.565821639772857,492
492,MURAKAMI DRIP,None,WHT Jellyfish Tee,None,Robot,GRY UNDRWRLD WINGZ,BLCK Curtains,None,None,SLVR STUD,None,None,46.14648615532936,493
493,None,None,BLCK PIN BKR JCKT,YLLW,Human,None,PNK BWLCUT,None,None,None,333 VSN TAT,None,22.603642472828273,494
494,None,GLD Two Piece,28 JCKT,None,Robot,None,BLCK BWLCUT,Mustache,VSN Glasses,None,None,None,37.721010911391254,495
495,MURAKAMI DRIP,S-PDLCK,BLCK Jellyfish Tee,YLLW Breezy,Human,All Seeing Eyes,Flower Hat,Tan Tan Bo,None,None,Band-Aid,None,71.14465638932755,496
496,None,RBY Two Piece,RFX Tee,PNK,Human,None,WHT Turban,None,None,None,On-Sight TAT,None,33.00564690020106,497
497,None,None,BLCK BKR JCKT,BRWN,Human,None,BLCK Party Hat,TCTL SMILE,VSN Glasses,PTRA Earring,None,None,47.06668729052452,498
498,MURAKAMI DRIP,None,RTFKT x TM RNBW FLOWER PFA,YLLW,Human,GRN UNDRWRLD WINGZ,RD Braid,SMILEY RNBW,None,None,BIRTHMRK,None,60.032160542292154,499
499,None,S-HIRE G-Link,RD BBL Vest,None,Angel,None,WHT Unkept,None,SPiKED BILLIONAIRE,None,None,None,31.12063123218916,500
500,STONED,None,MONO Fur Coat,PURP,Human,Robotic Arms,PNK Shape Up,SPIDERZ,None,None,None,None,47.561625277375796,501
501,MURAKAMI DRIP,None,GRY UNDRWRLD Uniform,None,Robot,None,YU-BLCK,None,None,None,None,None,13.989865382754088,502
502,None,None,MONO Fur Coat,YLLW,Human,None,BLCK Quiff,None,None,None,None,None,8.081972895550196,503
503,None,None,WAGMI Tee,None,Demon,Sword Sheath,None,GLD GRILLZ,None,None,None,None,34.35415980945923,504
504,None,Hi-TECH CBLE,GRDNT PFA JCKT,None,Angel,None,PNK MoHWK,SFTY Mask,OTT Future Vision,Gold Round Earrings,None,None,57.90409698004996,505
505,None,None,FRSH Shirt,None,Angel,None,BRED Visor,None,Cyber Eye Patch,GLD STUD,None,None,36.7425431130124,506
506,None,SLVR Two Piece,V6 WHT SKL GRL,BRWN,Human,None,BLCK Unkept,ROBO,None,None,None,None,28.74082809444441,507
507,MURAKAMI DRIP,None,BLCK UNDRWRLD Uniform,HALF-OPEN,Angel,None,PNK Shape Up,None,None,Gold Round Earrings,None,None,42.32771695168287,508
508,None,GLD Two Piece,BLCK VARSITY JCKT,PNK,Human,None,FLME Head Scarf,None,None,None,None,None,18.590389501922562,509
509,None,None,WHT BKR JCKT,BLU,Human,None,BLND Quiff,Cigar,None,None,None,None,18.661400420294136,510
510,MURAKAMI DRIP,GLD Two Piece,BLCK Jellyfish Tee,None,Angel,None,BLCK BRDZ,WZRD,BTC,None,None,None,51.719428184448326,511
511,None,None,SPACE TRIP Tee,None,Angel,None,BLCK Ponytail,None,None,None,None,None,7.51498252453363,512
512,MURAKAMI DRIP,Blade CHKR,RTFKT x TM RNBW FLOWER PFA,BLCK Surprised,Human,None,PNK Ponytail,Organism M78.8,Cyber Bindi,PTRA Earrings,None,None,68.6316906139967,513
513,None,None,PURP HiTECH Dress,PURP,Human,None,Dip-Dye Part Hat,Lollipop,Cyborg V2,None,None,None,31.836194994573784,514
514,MURAKAMI DRIP,SLVR G-Link,CLNX Tee,AWAKEN,Angel,None,BLCK KO2 Tiara,None,None,None,None,None,36.63396185396422,515
515,Divine,None,SD Tee,None,Angel,Sword,GRN BWLCUT,TCTL SMILE,None,None,None,None,46.97754143085805,516
516,None,None,FLOOR Tee,PNK,Human,None,FLME,None,None,None,None,None,7.949473119098534,517
517,None,None,PURP VARSITY JCKT,None,Angel,None,BLU Shape Up,None,None,None,None,None,7.581233285694367,518
518,MURAKAMI DRIP,G-PDLCK,BLCK Jellyfish Tee,None,Robot,All Seeing Eyes,BLCK Horn Headband,Jagged RNBW,None,None,None,None,51.47688408316071,519
519,None,None,GRN TCTL Vest,None,Robot,None,GRN BNGS,Lollipop,None,None,None,None,14.420519333868368,520
520,None,None,WHT KBA JCKT,GRN,Human,None,YU-BLCK,Ramen,VSN Glasses,None,11-11 TAT,None,46.15156552273888,521
521,MURAKAMI DRIP,None,BLCK Tee,CLSD GRN Breezy,Human,None,BLND Stylish,PSYCHIC LAZER,None,None,SAD TAT,None,44.00929073929956,522
522,MURAKAMI DRIP,RBY CBLE,WHT Jellyfish Tee,None,Angel,None,LoneSome Cowboy,SPIDERZ,None,None,None,None,38.79233189289596,523
523,MURAKAMI DRIP,None,RCS Tee,YLLW Breezy,Human,None,GOAT HRNZ,None,None,None,None,None,18.604657802636442,524
524,ICE,None,ORNG FRSH Shirt,None,Demon,None,WHT Ponytail,SFTY Mask,None,SLVR Round,None,None,46.23755862494182,525
525,None,None,CLNX Tee,BRWN,Human,None,BLU Shape Up,None,BILLIONAIRE,None,None,None,20.42057277221876,526
526,None,None,V6 WHT SKL GRL,None,Robot,None,GHOST PIRATE,None,Eye Patch,None,None,None,16.86867946655024,527
527,None,RNBW CBLE,BONE PFA JCKT,None,Reptile,None,YU-BLCK,WZRD,None,None,None,None,30.340056109216796,528
528,MURAKAMI DRIP,None,JELLYFISH BLW UP JCKT,None,Robot,BLCK UNDRWRLD WINGZ,BLU OCTOPUS,SMILEY RNBW,Assault Glasses,None,None,None,54.034589187825496,529
529,MURAKAMI DRIP,None,BLCK BNDN Shirt,None,Robot,GRY UNDRWRLD WINGZ,BLU OCTOPUS,SMILEY RNBW,None,None,None,None,40.95617806265488,530
530,None,None,FLOOR Tee,None,Angel,None,PNK BWLCUT,Bamboo,None,None,None,None,18.067920137295566,531
531,None,None,PURP CAMO PFA JCKT,BRWN,Human,None,BLU DRDZ,None,None,None,Sword VSN  TAT,None,22.61215862525062,532
532,MURAKAMI DRIP,CYN Two Piece,BLCK Jellyfish Tee,None,Robot,BLCK UNDRWRLD WINGZ,RD Hairclip,RNBW GRILLS,None,None,None,None,51.54313896530714,533
533,None,MRBLE G-Link,RTFKT CHROME Tee,PNK,Human,None,ZK Bucket,SMILE,BTC,None,HRUS 333 TAT,None,56.32579803545924,534
534,MURAKAMI DRIP,RNBW CBLE,BLCK Jellyfish Tee,SPINNING,Human,None,PURP BRDZ,None,None,None,None,None,29.155341390809824,535
535,None,RBY Two Piece,PNK POLO,YLLW,Human,None,NEON Cap,WHT Long Beard,Assault Glasses,None,None,None,42.384628708670235,536
536,None,SLVR G-Link,GRN TCTL Vest,None,Robot,None,BRWN Unkept,ROBO,None,None,None,None,24.39217067969073,537
537,None,None,BLU ORNG BNDN Shirt,YLLW,Human,None,BLU Shape Up,None,None,SLVR Round,WARNING TAT,None,38.257517698952206,538
538,None,None,PNK ORNG Fur Coat,None,Robot,None,CYBR DRDZ,None,None,None,None,None,3.7756751208430424,539
539,None,None,PNK HAWAIIAN Shirt,PNK-BLU,Human,None,GRN DRDZ,None,None,GLD STUD,None,None,24.243728454923914,540
540,None,None,ORNG FRSH Shirt,None,Robot,None,BLND Curtains,Lollipop,None,None,None,None,14.12146414419351,541
541,None,S-PDLCK,BLU Waistcoat,None,Robot,All Seeing Eyes,PURP Curtains,Lollipop,VSN Glasses,None,None,None,54.22303859304731,542
542,MK1,MRBLE G-Link,Space PFA JCKT,None,Robot,None,BLCK Quiff,None,BILLIONAIRE,None,None,None,39.0977098645576,543
543,ICE,None,GRN Fur Coat,None,Demon,None,WHT 2 Horns,FANGZ,None,SLVR STUD,None,None,46.692725346847396,544
544,None,GLD CBLE,GRN Fur Coat,None,Angel,None,BLCK Shape Up,SFTY Mask,Aviator,None,None,None,41.442925276038494,545
545,None,None,888 POLO,None,Angel,None,PNK Curtains,None,Snow Storm,None,None,None,20.7450696833745,546
546,None,None,RFX Tee,PNK,Human,None,WHT BRDZ,None,None,None,None,None,7.819819933245155,547
547,None,None,CLNX Tee,None,Robot,None,BRWN 2 Horns,None,None,None,None,None,3.5740912812149306,548
548,MK1,RNBW CBLE,V2 WHT SKL GRL,None,Robot,None,PNK Beret Braids,SFTY Mask,None,None,None,None,36.91463856002672,549
549,None,RNBW CBLE,BLCK-BLK Waistcoat,BLU,Human,None,PIRATE,None,None,None,SWRD TAT,None,33.25453261988963,550
550,MURAKAMI DRIP,None,JELLYFISH BLW UP JCKT,HALF-OPEN,Human,None,ORNG Bandana TECH Cap,SMILEY RNBW,VSN Glasses,None,None,None,42.2512054620671,551
551,None,None,RD BBL Vest,None,Robot,None,GRN Stylish,None,None,None,None,None,3.6280327965086077,552
552,None,None,BRWN Fur Coat,None,Angel,None,NEON Cap,None,BTC,None,None,None,20.744123810734344,553
553,None,MRBLE G-Link,BRWN HiTECH Gown,BRWN,Human,None,BLCK Unkept,Angry,None,GLD Round,HRUS TAT,None,59.33952292423377,554
554,None,None,BLU ORNG BNDN Shirt,GRN,Human,None,WHT Quiff,None,Drip Scouter,None,SKULL WEBZ TAT,None,35.412065600063755,555
555,None,None,Blade Melt Tee,None,Robot,None,PURP Curtains,None,None,None,None,None,3.4889168578469096,556
556,None,None,NEON HOODIE,CLSD BLU-PURP,Human,None,GRN Cyber Dreads,ROBO,None,PTRA Earring,STARVSN TAT,None,49.26855157819912,557
557,None,None,BRED KBA JCKT,PURP,Human,Sword,GRN Shape Up,RNBW GRILLS,None,None,None,None,34.96842067264721,558
558,None,None,SD Tee,YLLW,Human,None,WHT Quiff,None,None,None,TRi TAT,None,22.465478178203117,559
559,MURAKAMI DRIP,None,TRPPY HiTECH GOWN,BLU,Human,GRY UNDRWRLD WINGZ,RD Stylish,SMILEY RNBW,None,None,Angry TAT,None,59.926179731803906,560
560,None,None,LIME GANG,None,Demon,None,Fro,1Tooth,None,PTRA Earring,None,None,33.885725508869854,561
561,None,None,BLCK GM Tee,None,Robot,None,WHT BRDZ,None,Cyber Bindi,None,None,None,16.458900863333547,562
562,None,SG-PDLCK,V1 WHT SKL GRL,None,Robot,None,BLCK Curtains,Lollipop,3RD Eye,None,None,None,37.68788553117096,563
563,None,RBY Two Piece,RTFKT CHROME Tee,BLU-PURP,Human,None,BLND Fro,SMILE,Drip Scouter,SLVR Round,HRUS 333 TAT,None,72.03121195303407,564
564,None,Blade CHKR,GM MONO HOODIE,BLU-PURP,Human,None,BLU Long,RNBW GRILLZ,None,None,None,None,29.536703563316806,565
565,None,None,BLCK Tee,BLU,Human,None,GRN Shape Up,Goatee,BTC,None,None,None,31.353568237106998,566
566,None,None,BLCK Tech JCKT,None,Reptile,None,WHT Ponytail,None,None,None,None,None,9.134298500078454,567
567,None,None,BLCK BNDN Shirt,PURP,Human,None,GOAT HRNZ,None,Cyborg V1,None,None,None,20.960940394717483,568
568,Divine,DRIP CHRM,JS HOODIE,None,Angel,None,BLU Shape Up,None,None,None,None,None,30.31054419885086,569
569,None,None,GRNDT Fur Coat,YLLW,Human,None,GRN Head Scarf,None,None,None,None,None,8.190804757450522,570
570,Divine,None,IRI BLW UP JCKT,None,Angel,None,WHT Otaku,None,None,None,None,None,20.200878849636506,571
571,None,None,CLNX Tee,PURP,Human,None,GRN BWLCUT,None,None,PTRA Earring,SWRD TAT,None,38.05311617371738,572
572,None,None,BLCK VARSITY JCKT,PNK,Human,None,PNK Ponytail,None,Cyber Eye Patch,None,HRUS TAT,None,35.63445204357406,573
573,MK1,DRIP CHRM,GRN TCTL Vest,None,Robot,None,BLU Stylish,None,None,None,None,None,26.179625038991283,574
574,ICE,None,BLCK BNDN Shirt,None,Demon,None,TEAL Spiked,None,None,None,None,None,20.007825712386047,575
575,None,SLVR CBLE,RCS Tee,CLSD PNK-BLU,Human,None,PNK BWLCUT,SMILE,None,None,None,None,29.233886221756862,576
576,None,None,IRI BLW UP JCKT,PURP,Human,None,GRN BWLCUT,Angry,None,SLVR STUD,SWRD TAT,None,48.77267014007285,577
577,None,GLD CBLE,BLU ORNG BNDN Shirt,None,Robot,None,GRN Cyber Dreads,Cyber Jaw,None,None,None,None,24.84169286238591,578
578,None,None,YLLW BLW UP JCKT,BLCK Surprised,Human,None,None,None,Cyborg V1,None,None,None,21.15210178620753,579
579,None,None,BRED KBA JCKT,None,Angel,None,BLU Stylish,None,None,None,None,None,7.641799207970045,580
580,MURAKAMI DRIP,None,BLCK-BLK Waistcoat,PNK,Human,None,CYBR DRDZ,Tan Tan Bo,None,None,STARZ TAT,None,43.30048851953418,581
581,None,None,PNK HAWAIIAN Shirt,GRN,Human,Robotic Arms,BLCK Curtains,SFTY Mask,BILLIONAIRE,None,Slash Scar,None,62.3986791862839,582
582,Divine,None,BRWN Fur Coat,None,Angel,None,ZK Bucket,None,Kawaii Patch,None,None,None,33.33681341251415,583
583,None,PURP ZK-BEADZ,SPACE TRIP Tee,GRN,Human,None,BRWN Stylish,None,None,None,BIRTHMRK,None,33.073774033561875,584
584,None,G-PDLCK,BRWN TCTL Vest,None,Robot,Robotic Arms,BRWN 1 Horn,None,Drip Scouter,None,None,None,43.79323630450476,585
585,None,None,BRWN Fur Coat,PNK-BLU,Human,None,BLCK Wrap,SMILE,3RD Eye,None,SAD TAT,None,46.14211309920019,586
586,None,None,FLOOR Tee,CLSD GRN,Human,None,BLND Curtains,ICED GRILLZ,None,SLVR Round,None,None,34.7829585230881,587
587,None,SLVR CBLE,FLOOR Tee,None,Robot,None,YU-BLU,None,None,None,None,None,13.938784666585594,588
588,None,None,JS Tee,None,Robot,None,WHT Turban,None,None,None,None,None,3.661160796053726,589
589,Divine,None,V2 WHT SKL GRL,None,Angel,None,FLME,None,None,None,None,None,20.375952937067325,590
590,MURAKAMI DRIP,None,BLCK BKR JCKT,HALF-OPEN,Human,None,RD Stylish,Alien,None,SLVR Round,None,None,44.91966651079172,591
591,None,None,BLU PURP BNDN Shirt,CLSD PNK-BLU,Human,None,GRN Cyber Dreads,None,None,None,None,None,8.798406260733142,592
592,None,GPURP Two Piece,YLLW BLW UP JCKT,None,Robot,None,PNK BWLCUT,RNBW GRILLS,None,None,None,None,24.861564579510603,593
593,None,None,BLCK BNDN Shirt,None,Demon,None,BLND BWLCUT,SMILE,Aviator,None,None,None,30.83486520392254,594
594,MURAKAMI DRIP,S-PDLCK,RTFKT x TM RNBW FLOWER PFA,SPINNING,Human,Sword Sheath,BRWN 2 Horns,None,Snow Storm,None,None,None,58.859000238430156,595
595,ICE,S-HIRE CBLE,PNK ORNG Fur Coat,None,Demon,None,None,None,None,VVS STUD,None,None,46.417382879421794,596
596,MURAKAMI DRIP,SLVR Two Piece,NEON HOODIE,HALF-OPEN,Robot,None,RD Wrap,None,None,None,None,None,33.00481352874225,597
597,None,None,BLCK BKR JCKT,VVS CRYSTL,Human,None,RD Hairclip,SMILE,None,None,None,None,19.01914472371716,598
598,None,PURP Two Piece,NEON HOODIE,None,Robot,None,BRWN 2 Horns,None,None,None,None,None,14.23500791267692,599
599,None,RBY CBLE,CLNX Tee,None,Angel,None,BLU Curtains,SMILE,Drip Scouter,None,None,None,41.038850522716004,600
600,MURAKAMI DRIP,WGLD Iced Cuban,BLCK Jellyfish Tee,None,Robot,Energy Wings,GHOST PIRATE,SMILEY RNBW,None,None,None,None,51.60937197715154,601
601,None,RNBW CBLE,CAMO PFA JCKT,None,Robot,None,PNK Pigtails,None,Cyber Bindi,None,None,None,27.261388891766135,602
602,None,GPURP Two Piece,PNK ORNG Fur Coat,PNK,Human,None,PNK Pilot,Gas Mask,None,None,Scratch Scarz,None,43.8474293910046,603
603,None,None,NEON HOODIE,BLU,Human,None,PNK Spiked,None,Cyborg V2,None,VSN TAT,None,35.78018647219219,604
604,None,None,BLU BNDN Shirt,GRN,Human,None,BLCK Spiked,None,None,None,333 TAT,None,22.63108054142806,605
605,None,SLVR CBLE,BLCK GRNG Dress,None,Robot,None,BLCK Spiked,Angry,None,None,None,None,24.59280011080839,606
606,None,PURP G-Link,BRWN Fur Coat,None,Demon,None,GRN Hacker,None,None,None,None,None,18.246790327974157,607
607,None,None,FLOOR Tee,None,Angel,None,Cowgirl,None,BILLIONAIRE,None,None,None,20.369367717137052,608
608,None,Hi-TECH CBLE,BLCK PIN BKR JCKT,BLU CRYSTL,Human,None,BRWN Stylish,None,None,None,None,None,19.304905901411896,609
609,None,None,PLASMA HOODIE,None,Demon,None,None,ICED GRILLZ,None,None,None,None,18.164460504005454,610
610,None,GLD Two Piece,BLCK Tee,None,Robot,None,BRWN 2 Horns,GLD GRILLZ,None,None,None,None,24.618355260056276,611
611,None,CYN Two Piece,WHT KBA JCKT,None,Robot,None,YU-BRED,None,None,None,None,None,14.289894427555822,612
612,None,None,WHT PNK Fur Coat,PNK,Human,None,BRWN Unkept,None,None,None,Slash Scar,None,22.632976117876005,613
613,None,None,SPACE TRIP Tee,BLU,Human,None,BLU Braid,None,None,None,VSN TAT,None,22.442758706967012,614
614,None,SLVR CBLE,RTFKT CHROME Tee,BLU,Human,None,BLCK Shape Up,None,OTT Future Vision,None,Angry TAT,None,45.96795579098021,615
615,None,SG-PDLCK,BLU Waistcoat,CLSD BLU,Human,None,BLND Ponytail,None,None,None,TRi TAT,None,33.96051487423149,616
616,None,SLVR G-Link,BLCK Utility Vest,BLU,Human,None,GRN Shape Up,None,Eye Patch,None,PROMO TAT,None,45.884687225400164,617
617,MURAKAMI DRIP,None,MONO Fur Coat,RNBW,Human,None,BLCK Curtains,None,None,None,HRUS TAT,None,33.26787924169094,618
618,None,None,RCS Tee,None,Demon,None,PURP Shape Up,SMILE,BTC,None,None,None,30.609638523647035,619
619,MURAKAMI DRIP,DRIP CHRM,GRN HAWAIIAN Shirt,None,Robot,None,BLND Flower Wreath,Jagged RNBW,None,None,None,None,34.74577906353055,620
620,GLD STONED,DRIP CHRM,BLU Tech JCKT,PNK,Human,Deity Arms,GRN BNGS,None,None,None,None,None,48.14549911717546,621
621,MURAKAMI DRIP,VVS PANDA,JS Tee,YLLW,Murakami,None,LoneSome Cowboy,None,None,None,None,None,37.65411948682373,622
622,DRK,DRIP CHRM,BRED KBA JCKT,None,Demon,None,WHT Curtains,None,None,SLVR Round,None,None,46.402264142789974,623
623,None,DRIP CHRM,BLU ORNG BNDN Shirt,BLCK Surprised,Human,None,GRN Head Scarf,None,None,None,None,None,18.793846268420424,624
624,None,SG-PDLCK,RD BBL Vest,YLLW,Human,None,BLU Stylish,None,None,None,SAD TAT,None,33.05201168634031,625
625,None,None,FRSH Shirt,None,Demon,None,PURP Head Scarf,None,None,None,None,None,7.753504287243739,626
626,None,RBY Two Piece,PURP CAMO PFA JCKT,None,Robot,None,WHT Curtains,None,Snow Storm,PTRA Earrings,None,None,43.13176419077534,627
627,MK2,CYN Two Piece,Job Tee,None,Robot,None,PNK BWLCUT,None,VSN Glasses,GLD Round,None,None,55.81264912640912,628
628,MURAKAMI DRIP,None,STRIPE Tee,PNK-BLU,Human,GRN UNDRWRLD WINGZ,BLU MoHWK,Jagged RNBW,None,None,HRUS 333 TAT,None,59.81168989640141,629
629,ICE,CHRM,GRN HAWAIIAN Shirt,None,Demon,None,RTFKT TECH Cap,None,Eye Patch,None,None,None,43.43097827940805,630
630,Divine,None,CLNX Tee,None,Angel,None,BLU Curtains,Angry,None,RTFKT Earrings,None,None,46.13915706539327,631
631,MK-BLCK,WGLD Iced Cuban,RTFKT CHROME Tee,None,Robot,None,YU-RD,None,None,None,None,None,26.65282920001569,632
632,MK1,None,SPACE TRIP Tee,None,Robot,None,GOAT HRNZ,None,None,None,None,None,15.55312859574432,633
633,None,None,PURP VARSITY JCKT,BLU,Human,None,BLU Braid,Ghost,None,None,Angry TAT,None,33.26971173061833,634
634,MK1,None,BLCK VARSITY JCKT,None,Robot,None,WHT Curtains,None,None,None,None,None,15.627894005586107,635
635,None,None,PURP CAMO PFA JCKT,None,Robot,None,BLU MoHWK,None,None,None,None,None,3.7368730490501276,636
636,MK1,None,MONO Tee,None,Robot,None,WHT Unkept,Ghost,None,None,None,None,26.08972314440156,637
637,None,None,CLNX Tee,None,Demon,None,BLCK Samurai,SFTY Mask,None,None,None,None,18.00168528372216,638
638,None,None,MONO Tee,PURP,Human,None,GRN Cyber Dreads,None,None,None,None,None,7.788589207848144,639
639,MURAKAMI DRIP,SLVR Two Piece,RTFKT x TM RNBW FLOWER PFA,BRWN,Human,None,WHT Curtains,Gas Mask,None,None,None,None,39.044265341083886,640
640,None,SLVR Two Piece,BLCK VARSITY JCKT,None,Angel,None,META LEOPARD TECH Cap,None,None,PTRA Earring,None,None,33.91502593742215,641
641,None,None,YLLW BLW UP JCKT,YLLW,Human,None,GRN Shape Up,None,None,GLD Round,None,None,23.901144158321827,642
642,None,None,GM MONO HOODIE,None,Robot,None,YU-BLU,None,None,None,None,None,3.7330856777919434,643
643,MK-BLCK,None,BRED KBA JCKT,None,Robot,None,BLCK BRDZ,MAD,None,None,None,None,26.64050627868854,644
644,MURAKAMI DRIP,None,BLCK Jellyfish Tee,YLLW Breezy,Human,None,GOAT HRNS,ROBO,Cyborg V2,None,TRi War TAT,None,56.67312827218356,645
645,None,None,BLCK GM Tee,None,Robot,None,BLU Hacker,None,None,PTRA Earring,None,None,19.335739448748164,646
