,Foreground,Mouth,Eyes,Outfit,Decoration,Creature,Background,Overlay,Rarity score,Token Id
2495,Blush,Screaming,Gold,Vines,Terracotta Stripes,Violet,Inciu,None,53.32561187339919,2495
2496,Crush,Happy,Meadow,None,Terracotta Stripes,Clementine,Aqua,Curved Stripe,50.34900239064184,2496
2497,Rain,Thermal Happy,Sacred,Frux,None,Thermal,Gomba,None,54.72517084560194,2497
2498,Crush,Happy,Scarlet,Arcith,Ocean Balseum,Blood Orange,Greenery,None,19.954605375973628,2498
2499,Rain,Happy,Gold,Swulu,Scarlet Tranteum,Gold,Gomba,None,16.457364781102108,2499
2500,Pile Skyline,Happy,Blue Sacred,None,Violet Arneum,Clementine,Pile Skyline,None,4.843356685678183,2500
2501,None,Happy,Blue Sacred,Arcith,Blood Orange Balseum,Aqua,Clementine,Polkadot,52.49436716564359,2501
2502,Pile Skyline,Happy,Gold,Swulu,Violet Balseum,Aqua,Pile Skyline,None,6.886905047810769,2502
2503,Pile Skyline,Happy,Gold,None,Aqua Polkadots,Cream,Pile Skyline,None,6.2647278630531105,2503
2504,Blush,Happy,Clementine,Oxoto,Clementine Stripes,Meadow,Meadow,Void,54.30181086085724,2504
2505,Pile Skyline,Smirking,Dilated,Frux,Gold Balseum,Cream,Pile Skyline,None,40.67720057763019,2505
2506,Rain,Happy,Gold,Cape,Gold Polkadots,White,Ascension,None,26.643061173308606,2506
2507,Pile Skyline,Happy,Clementine,Swulu,Scarlet Arneum,Ocean,Pile Skyline,None,8.710605035353773,2507
2508,None,Smirking,Clementine,Swirl,Violet Balseum,Gold,Creature Friends,None,53.38461282581899,2508
2509,Crush,Smirking,Ocean,None,Violet Polkadots,Scarlet,Feather,Bullseye,85.99204097429921,2509
2510,Telescope,Happy,Black,Oxoto,Gold Arneum,Gold,Scarlet,Striped Rocks,51.6468597425742,2510
2511,Pile Skyline,Happy,Meadow,None,Tulip Arneum,Gold,Pile Skyline,None,5.411905904757833,2511
2512,None,Happy,Ocean,None,Gold Arneum,Scarlet,Sand,None,17.648352423178643,2512
2513,Telescope,Happy,Aqua,Wet,Olive Stripes,Rainbow,Stripe Room,None,25.983284873420647,2513
2514,Telescope,Sacred,Earth,Arcith,Ocean Balseum,Gold,Field,None,50.37578311671731,2514
2515,Clouds,Screaming,Ocean,Swulu,Clementine Arneum,Sand,Pile Skyline,None,52.02730666220182,2515
2516,Telescope,Happy,Blue Sacred,Frux,Aqua Polkadots,Moss,Inciu,None,20.2012296343357,2516
2517,Crush,Happy,Olive,Vines,Aqua Balseum,Mint,Aqua,Mint Flower with Stripes,56.1038869292383,2517
2518,None,Screaming,Violet,Frux,Blood Orange Polkadots,Ocean,SS Creature,None,54.988256313334716,2518
2519,Clouds,Happy,Earth,Arcith,Mint Balseum,Terracotta,Aura,Clouds,59.40761197227404,2519
2520,None,Happy,Blue Sacred,Oxoto,Sand Tranteum,Violet,Ocean,Curved Stripe,55.31543677692884,2520
2521,None,Thermal Singing,Clementine,Arcith,None,Thermal,Hill Huts,None,51.163865287697355,2521
2522,Pile Skyline,Smirking,Black,Oxoto,Gold Polkadots,Scarlet,Pile Skyline,None,40.10868300456693,2522
2523,None,Happy,Terracotta,None,Terracotta Stripes,Aqua,Cream,Distance,51.486094385455395,2523
2524,Rain,Smirking,Aqua,Swulu,Gold Stripes,Feather,Feather,Width,86.27626918545077,2524
2525,None,Happy,Mint,Swulu,Terracotta Polkadots,Clementine,Fungisland,None,17.20832900090688,2525
2526,Telescope,Happy,Clementine,None,None,Clementine,Cream,Polkadot,45.924371355820185,2526
2527,Blush,Screaming,Gold Third Eye,Vines,Olive Polkadots,Rainbow,Field,None,56.409559353397064,2527
2528,Crush,Happy,Sand,Frux,Scarlet Arneum,Blood Orange,Aqua,Curved Stripe,55.45490757019525,2528
2529,Telescope,Smirking,Scarlet,None,None,Aqua,Feather,Striped Rocks,80.76307789891446,2529
2530,None,Happy,Moss,Arcith,Gold Balseum,Blood Orange,Stripe Room,None,18.758517788649463,2530
2531,Pile Skyline,Happy,Terracotta,None,Terracotta Stripes,Cream,Pile Skyline,None,8.421019932429195,2531
2532,Rain,Happy,Black,Vines,Aqua Arneum,Feather,Fungisland,None,18.83356206851565,2532
2533,None,Happy,Dilated,Vines,Clementine Arneum,Aqua,Terracotta,Terracotta with Stripes,52.61773883751676,2533
2534,Crush,Happy,Earth,Arcith,Ocean Stripes,Ocean,Fungisland,None,18.420562915380582,2534
2535,Pile Skyline,Happy,Blue Sacred,Oxoto,Scarlet Arneum,Ocean,Pile Skyline,None,10.174935439935568,2535
2536,Rain,Smirking,Earth,Vines,Scarlet Stripes,Scarlet,Earth,None,50.756529327272105,2536
2537,Crush,Happy,Tulip,Frux,Terracotta Stripes,Meadow,Ascension,None,21.016603741034327,2537
2538,None,Happy,Violet,Frux,None,Violet,Stripe Room,None,16.586338496711033,2538
2539,Crush,Screaming,Aqua Third Eye,Arcith,Gold Polkadots,Olive,Aura,Cream Flower with Stripes,90.06793469655368,2539
2540,None,Happy,Third Eye,Swulu,Gold Tranteum,Meadow,Gold,Gold Flower,55.20824789492409,2540
2541,None,Happy,Meadow,Frux,Aqua Stripes,Terracotta,Tulip,Cubes,55.96447031327752,2541
2542,Blush,Happy,Gold,Cloud Suit,Clementine Arneum,Meadow,Fungisland,None,24.749674340521906,2542
2543,Rain,Happy,Ocean,None,Ocean Polkadots,Clementine,Inciu,None,15.733368496733588,2543
2544,Crush,Sacred,Third Eye,Swulu,Gold Stripes,Terracotta,Tulip,Mint Flower,91.23167386182777,2544
2545,Crush,Singing,Aqua Third Eye,Swirl,Terracotta Balseum,White,SS Creature,None,62.52911458147318,2545
2546,Telescope,Happy,Third Eye,None,Tulip Tranteum,Aqua,Terracotta,Tulip Flower,52.8537136824439,2546
2547,None,Sacred,Clementine,Oxoto,Aqua Tranteum,Violet,Ercon,None,52.3709321967366,2547
2548,Pile Skyline,Happy,Terracotta,Frux,Mint Arneum,Meadow,Pile Skyline,None,10.904392158510644,2548
2549,Telescope,Happy,Blood Orange,Swulu,Ocean Tranteum,Feather,Stripe Room,None,20.742983649964895,2549
2550,Rain,Happy,Moss,Wet,Blood Orange Arneum,Moss,Aura,Distance,61.536920002552854,2550
2551,Crush,Smirking,Gold Third Eye,Arcith,Clementine Polkadots,Clementine,Hill Huts,None,49.3781737154483,2551
2552,Telescope,Happy,Earth,Frux,Sand Stripes,Sand,Fungisland,None,19.021267993432087,2552
2553,Blush,Happy,Closed,Vines,Mint Polkadots,Mint,Hill Huts,None,18.930149803892782,2553
2554,Pile Skyline,Happy,Blue Sacred,Arcith,Aqua Arneum,Violet,Pile Skyline,None,9.354305828455237,2554
2555,Crush,Smirking,Third Eye,None,Gold Arneum,Meadow,Meadow,Aqua Flower,86.27624987660838,2555
2556,None,Smirking,Earth,Cape,Gold Arneum,Gold,Field,None,53.170051081920796,2556
2557,Rain,Sacred,Terracotta,Oxoto,Clementine Stripes,Aqua,Rainbow,None,53.64209410235162,2557
2558,Pile Skyline,Happy,Moss,Oxoto,Sand Balseum,Violet,Pile Skyline,None,10.126674027060286,2558
2559,Crush,Singing,Tulip,Oxoto,Olive Polkadots,Tulip,Ercon,None,54.720119707391504,2559
2560,None,Happy,Earth,Arcith,Violet Polkadots,Gold,Feather,Stripes,51.02478339921973,2560
2561,Blush,Happy,Meadow,Arcith,Tulip Arneum,Meadow,Gomba,None,20.448020726449666,2561
2562,Blush,Happy,Earth,Frux,Tulip Balseum,Terracotta,Ascension,None,19.42895155517219,2562
2563,None,Smirk,None,None,Colored Pencil,Gold,None,None,55.34747727116071,2563
2564,Pile Skyline,Happy,Gold,None,Aqua Tranteum,Terracotta,Pile Skyline,None,6.2486679074333225,2564
2565,Telescope,Happy,Gold,Vines,Clementine Stripes,Ocean,Feather,Striped Rocks,54.66114450644544,2565
2566,Blush,Happy,Moss,Raincoat,Sand Balseum,Aqua,Moss,Cubes,60.64126380674156,2566
2567,None,None,None,None,Olive,Hiding,None,None,60.71080471799741,2567
2568,Telescope,Singing,Aqua Third Eye,Arcith,Mint Arneum,Tulip,Mint,Emanating,90.28778199651802,2568
2569,Crush,Happy,Closed,Swulu,Clementine Polkadots,Scarlet,Sand,Distance,54.43053621027257,2569
2570,Rain,Singing,Third Eye,Cloud Suit,Olive Balseum,Olive,Inciu,None,60.89329003052886,2570
2571,Crush,Happy,Sand,Oxoto,Sand Polkadots,Sand,Gomba,None,20.442663290398315,2571
2572,None,Happy,Tulip,Oxoto,Aqua Arneum,Aqua,Field,None,18.02902299130966,2572
2573,Blush,Smirking,Blood Orange,Frux,None,Aqua,Field,None,47.35617900437078,2573
2574,Crush,Happy,Black,Arcith,Moss Stripes,Moss,Sand,Emanating,54.40371954896738,2574
2575,Crush,Happy,Meadow,None,Terracotta Arneum,Aqua,SS Creature,None,16.307243497751298,2575
2576,Pile Skyline,Happy,Blue Sacred,Vines,Sand Balseum,Blood Orange,Pile Skyline,None,9.928232320989473,2576
2577,Crush,Sacred,Closed,None,Sand Stripes,Clementine,Hill Huts,None,48.5682450179689,2577
2578,Pile Skyline,Smirking,Third Eye,None,Clementine Stripes,White,Pile Skyline,None,41.74996317253902,2578
2579,Crush,Happy,Blue Sacred,Oxoto,Gold Balseum,Feather,Clementine,Bullseye,54.666441863385074,2579
2580,Crush,Happy,Aqua Third Eye,Wet,Terracotta Arneum,Meadow,Meadow,Dive,63.12448582391049,2580
2581,Blush,Happy,Clementine,Swirl,Ocean Arneum,Blood Orange,Violet,Distance,60.28193123506417,2581
2582,Crush,Sacred,Violet,Frux,Violet Arneum,Clementine,Blood Orange,Polkadot,88.15868851406596,2582
2583,Blush,Happy,Scarlet,Swulu,Clementine Tranteum,Clementine,Ocean,Width,53.30956264307508,2583
2584,Pile Skyline,Happy,Gold,Wet,Sand Stripes,Blood Orange,Pile Skyline,None,14.744888760198837,2584
2585,Rain,Happy,Aqua Third Eye,Vines,Aqua Stripes,Tulip,Ascension,None,20.818159351079547,2585
2586,Pile Skyline,Screaming,Aqua Third Eye,Arcith,None,Terracotta,Pile Skyline,None,41.47643748440898,2586
2587,Blush,Screaming,Black,Vines,Terracotta Arneum,Cream,Terracotta,Cream Flower,90.18055342184601,2587
2588,Pile Skyline,Happy,Aqua,Oxoto,Clementine Tranteum,Terracotta,Pile Skyline,None,8.394112067769608,2588
2589,None,Thermal,Olive,Oxoto,None,Thermal,Terracotta,Void,88.03477723267547,2589
2590,Rain,Happy,Earth,None,Terracotta Polkadots,Clementine,Night,Striped Rocks,49.48014408335569,2590
2591,None,Smirking,Gold,None,Olive Arneum,Gold,Gold,Width,80.21061653415457,2591
2592,Pile Skyline,Sacred,Earth,None,Violet Tranteum,Gold,Pile Skyline,None,38.16178460522109,2592
2593,Pile Skyline,Happy,Olive,None,Terracotta Arneum,Clementine,Pile Skyline,None,5.165179725961665,2593
2594,Telescope,Thermal,Black,None,None,Thermal,Cream,Distance,84.54881257215861,2594
2595,Crush,Happy,Clementine,None,Terracotta Arneum,Tulip,Field,None,16.366249809365833,2595
2596,Telescope,Happy,Clementine,Wet,Blood Orange Balseum,Moss,Ascension,None,24.96960961174897,2596
2597,Pile Skyline,Happy,Scarlet,Oxoto,Clementine Tranteum,Scarlet,Pile Skyline,None,9.713620148411865,2597
2598,Blush,Happy,Olive,None,Clementine Arneum,Terracotta,Olive,Void,54.2106958817385,2598
2599,Rain,Happy,Gold Third Eye,Swulu,Clementine Polkadots,Cream,Field,None,21.07020542000976,2599
2600,Pile Skyline,Singing,Meadow,None,Tulip Arneum,Mint,Pile Skyline,None,42.11995320573108,2600
2601,Crush,Sacred,Aqua Third Eye,None,Clementine Polkadots,Mint,Creature Friends,None,52.95012010788488,2601
2602,Telescope,Smirking,Violet,Arcith,Blood Orange Polkadots,Blood Orange,Night,Emanating,88.04603331533826,2602
2603,Blush,Screaming,Scarlet,Swulu,Blood Orange Stripes,Scarlet,Greenery,None,55.218819008366204,2603
2604,Blush,Happy,Mint,Frux,Aqua Stripes,Gold,Uuary,None,17.680345205478943,2604
2605,Crush,Happy,Clementine,Arcith,Clementine Arneum,Violet,Greenery,None,17.975386446371505,2605
2606,None,Happy,Moss,None,Violet Stripes,Ocean,Clementine,Width,52.666059252020794,2606
2607,Crush,Smirking,Closed,Raincoat,Ocean Arneum,Feather,Stripe Room,None,57.44465200983575,2607
2608,Crush,Singing,Aqua,Swulu,Aqua Tranteum,Meadow,SS Creature,None,52.55863919294425,2608
2609,Pile Skyline,Happy,Terracotta,Vines,Gold Arneum,Olive,Pile Skyline,None,10.191056022160346,2609
2610,Telescope,Happy,Tulip,None,Gold Polkadots,Olive,Gomba,None,18.08800731317462,2610
2611,None,Happy,Ocean,Frux,Blood Orange Stripes,Sand,Marius,None,20.3193141523149,2611
2612,Crush,Happy,Gold,Arcith,Ocean Arneum,Gold,Uuary,None,15.647497773779232,2612
2613,Rain,Happy,Gold,Raincoat,Ocean Tranteum,Violet,Ercon,None,25.20559517768519,2613
2614,Telescope,Singing,Earth,None,Mint Balseum,Cream,Aura,Mint Flower,86.33526584758559,2614
2615,Telescope,Happy,Blue Sacred,Oxoto,None,Feather,Uuary,None,16.82767023495914,2615
2616,Rain,Happy,Ocean,Swulu,Scarlet Polkadots,Ocean,Fungisland,None,20.946812824200915,2616
2617,Rain,Smirking,Closed,Swulu,Violet Stripes,Moss,Ocean,Striped Rocks,87.02705746987444,2617
2618,Rain,Happy,Gold Third Eye,Frux,Terracotta Balseum,Meadow,Aura,Meadow Flower with Stripes,56.63485956126194,2618
2619,Telescope,Singing,Earth,Cloud Suit,Gold Stripes,Gold,Earth,None,55.45486036586783,2619
2620,Crush,Happy,Moss,Swulu,Olive Stripes,Blood Orange,Gold,Polkadot,55.42276833713442,2620
2621,Pile Skyline,Happy,Aqua Third Eye,Arcith,Aqua Polkadots,Clementine,Pile Skyline,None,6.999559169650868,2621
2622,Crush,Smirking,Gold Third Eye,None,Olive Polkadots,Gold,Cream,Emanating,83.23541448994172,2622
2623,Rain,Happy,Sacred,None,Terracotta Arneum,Olive,Ercon,None,18.431314256751147,2623
2624,Blush,Happy,Ocean,Oxoto,Scarlet Polkadots,Ocean,Hill Huts,None,20.6733402463719,2624
2625,None,Happy,Closed,Oxoto,Ocean Polkadots,Aqua,Aura,Curved Stripe,51.19635962623167,2625
2626,Blush,Happy,Clementine,Frux,Violet Arneum,Blood Orange,Uuary,None,18.608260788287904,2626
2627,Pile Skyline,Happy,Gold,Vines,Gold Stripes,Tulip,Pile Skyline,None,8.16884833607876,2627
2628,Blush,Happy,Violet,Arcith,Blood Orange Tranteum,Sand,Inciu,None,20.22276664888234,2628
2629,Crush,Happy,Mint,Oxoto,Aqua Stripes,Gold,Hill Huts,None,17.562373338825893,2629
2630,Pile Skyline,Thermal Screaming,Aqua,None,None,Thermal,Pile Skyline,None,39.72226609607205,2630
2631,Pile Skyline,Happy,Ocean,Arcith,Gold Tranteum,Aqua,Pile Skyline,None,7.267789114624727,2631
2632,Clouds,Happy,Violet,None,Gold Arneum,Sand,Fungisland,None,22.99576688740609,2632
2633,None,Happy,Meadow,Arcith,Clementine Balseum,Cream,Ascension,None,19.74543056989375,2633
2634,Crush,Thermal Screaming,Aqua Third Eye,Swirl,None,Thermal,Stripe Room,None,60.45860098541096,2634
2635,None,Happy,Gold,Frux,Terracotta Tranteum,Clementine,Field,None,15.465124609613603,2635
2636,Crush,Happy,Terracotta,Sacred,Gold Tranteum,Cream,SS Creature,None,27.935735952922297,2636
2637,Telescope,Happy,Gold,Arcith,Mint Arneum,Gold,Tulip,Liquify,51.35725102980576,2637
2638,Pile Skyline,Smirking,Earth,None,Terracotta Tranteum,Aqua,Pile Skyline,None,36.17188084241721,2638
2639,Telescope,Happy,Blood Orange,Arcith,Aqua Arneum,Clementine,Creature Friends,None,17.101001732296062,2639
2640,Rain,Happy,Moss,Oxoto,Aqua Arneum,Violet,Gold,Curved Stripe,55.2939636004794,2640
2641,Crush,Happy,Sand,Arcith,Ocean Arneum,Violet,Violet,Stripes,55.937598940628554,2641
2642,Pile Skyline,Sacred,Dilated,None,Ocean Stripes,Ocean,Pile Skyline,None,41.1224038715475,2642
2643,Rain,Happy,Gold,Oxoto,Clementine Arneum,Violet,Blood Orange,None,19.509474501556955,2643
2644,Clouds,Happy,Black,None,Olive Balseum,Ocean,Creature Friends,None,22.448692457844917,2644
2645,None,Happy,Mint,None,Aqua Balseum,Tulip,Tulip,Aqua Flower Stripe,54.14636700158327,2645
2646,Blush,Happy,Tulip,None,Gold Tranteum,Mint,Hill Huts,None,17.71260727314563,2646
2647,Rain,Happy,Earth,Raincoat,Gold Arneum,Scarlet,Marius,None,24.5191019930339,2647
2648,Telescope,Happy,Moss,Oxoto,Violet Arneum,Feather,Aqua,Liquify,55.24029969873817,2648
2649,Telescope,Happy,Dilated,Arcith,Aqua Polkadots,Scarlet,Fungisland,None,17.98600689791215,2649
2650,Pile Skyline,Sacred,Blue Sacred,Frux,Ocean Polkadots,Clementine,Pile Skyline,None,42.20584162969798,2650
2651,Blush,Happy,Earth,None,Tulip Balseum,Clementine,Inciu,None,13.904333610620224,2651
2652,Pile Skyline,Thermal Singing,Aqua,Cloud Suit,None,Thermal,Pile Skyline,None,48.12680390388714,2652
2653,Pile Skyline,Happy,Aqua,None,Gold Stripes,Scarlet,Pile Skyline,None,5.272420625424176,2653
2654,Crush,Happy,Gold,Frux,Scarlet Stripes,Clementine,Field,None,16.307218285793027,2654
2655,Crush,Happy,Ocean,Arcith,Ocean Stripes,Aqua,Feather,Curved Stripe,53.931716760957414,2655
2656,Telescope,Happy,Black,Swirl,Tulip Stripes,Mint,Stripe Room,None,25.495224808792916,2656
2657,Crush,Singing,Closed,Oxoto,Gold Tranteum,Gold,Violet,Polkadot,84.99451792598471,2657
2658,None,Screaming,Tulip,Oxoto,Mint Arneum,Clementine,Aura,Dive,87.64921426902116,2658
2659,Pile Skyline,Screaming,Blood Orange,Frux,Olive Arneum,Clementine,Pile Skyline,None,42.1414585662835,2659
2660,Crush,Happy,Third Eye,None,Olive Polkadots,Clementine,Gold,Tulip Flower,51.07306626447243,2660
2661,None,Happy,Third Eye,Swulu,Terracotta Polkadots,Aqua,Fungisland,None,17.787633316889494,2661
2662,Rain,Happy,Ocean,Vines,Aqua Tranteum,Aqua,Rainbow,None,18.549295238131343,2662
2663,None,Smirking,Black,None,Sand Tranteum,Sand,Moss,Polkadot,83.90046507572649,2663
2664,Telescope,Happy,Earth,Wet,Moss Tranteum,Gold,Inciu,None,22.496953331442892,2664
2665,Crush,Happy,Olive,Vines,Olive Polkadots,Rainbow,Marius,None,21.90698350110299,2665
2666,Pile Skyline,Happy,Blue Sacred,Frux,Sand Arneum,Feather,Pile Skyline,None,10.201726352148482,2666
2667,Crush,Happy,Third Eye,None,Olive Polkadots,Meadow,Gomba,None,18.18990473206797,2667
2668,Pile Skyline,Happy,Black,Vines,Moss Polkadots,Aqua,Pile Skyline,None,7.058574607780681,2668
2669,None,Happy,Clementine,Vines,Tulip Stripes,Aqua,Hill Huts,None,16.312611116248856,2669
2670,None,Happy,Scarlet,Arcith,Scarlet Tranteum,Scarlet,Moss,Curved Stripe,54.8703091173384,2670
2671,Crush,Happy,Gold,Arcith,Ocean Stripes,Scarlet,Feather,Curved Stripe,53.99069089013599,2671
2672,Pile Skyline,Happy,Black,Swulu,Moss Tranteum,Sand,Pile Skyline,None,9.08608339585597,2672
2673,Blush,Happy,Olive,Vines,Terracotta Stripes,Clementine,Gold,Mint Flower,53.449028606064786,2673
2674,Crush,Thermal Happy,Tulip,Arcith,None,Thermal,Olive,Mint Flower with Stripes,90.49668915292423,2674
2675,Blush,Happy,Meadow,Frux,Tulip Balseum,Meadow,Meadow,Gold Flower with Stripes,57.54126012272693,2675
2676,Pile Skyline,Screaming,Blood Orange,Vines,Gold Balseum,Blood Orange,Pile Skyline,None,44.05085923010789,2676
2677,Pile Skyline,Sacred,Scarlet,Raincoat,Gold Stripes,Violet,Pile Skyline,None,50.411877108885705,2677
2678,Crush,Happy,Gold,Vines,Moss Stripes,Gold,Uuary,None,16.162413658579432,2678
2679,Crush,Singing,Closed,None,Terracotta Stripes,Mint,SS Creature,None,50.391823233385935,2679
2680,Crush,Happy,Moss,Oxoto,Scarlet Balseum,Blood Orange,Aura,Cosmic Punch,55.63189916145279,2680
2681,Crush,Smirking,Gold,Wet,Tulip Polkadots,Gold,Fungisland,None,54.30712537977026,2681
2682,Crush,Happy,Closed,Vines,Gold Stripes,Gold,Greenery,None,15.44372599381838,2682
2683,Pile Skyline,Smirking,Violet,Swulu,Violet Stripes,Scarlet,Pile Skyline,None,42.323780772970736,2683
2684,Pile Skyline,Smirking,Sand,Frux,Scarlet Stripes,Sand,Pile Skyline,None,42.3774613052668,2684
2685,Blush,Sacred,Earth,Swulu,Terracotta Polkadots,Clementine,Terracotta,Cosmic Pinch,87.22015783438637,2685
2686,None,Happy,Clementine,Oxoto,Terracotta Polkadots,Cream,Ascension,None,18.27035901877108,2686
2687,Blush,Happy,Aqua,Arcith,Aqua Polkadots,Feather,Aqua,Curved Stripe,52.68202695740474,2687
2688,Rain,Happy,Violet,Frux,Sand Balseum,Sand,Sand,Distance,56.361260929237964,2688
2689,Pile Skyline,Happy,Earth,Arcith,Mint Stripes,Clementine,Pile Skyline,None,5.417226320356826,2689
2690,Clouds,Smirking,Blue Sacred,Arcith,Aqua Polkadots,Moss,Earth,None,57.13350522932841,2690
2691,None,Singing,Closed,Arcith,Olive Arneum,Clementine,Blood Orange,Cosmic Punch,84.83898127267285,2691
2692,Blush,Singing,Blue Sacred,Vines,Scarlet Stripes,Gold,Blood Orange,Emanating,86.94124146302676,2692
2693,Rain,Sacred,Aqua,Swulu,Sand Tranteum,Scarlet,Field,None,53.45967695821056,2693
2694,Crush,Thermal,Third Eye,Cloud Suit,None,Thermal,Olive,Bullseye,94.5615279418795,2694
2695,None,Smirking,Violet,Oxoto,Violet Stripes,Aqua,Hill Huts,None,50.021746829973914,2695
2696,Rain,Happy,Ocean,Arcith,Gold Balseum,Sand,Rainbow,None,19.605930272240794,2696
2697,Crush,Thermal,Dilated,None,None,Thermal,Inciu,None,48.83050061365709,2697
2698,Rain,Happy,Earth,Vines,None,Terracotta,Gold,Tulip Flower,51.4218523906258,2698
2699,None,Smirking,Closed,None,Tulip Tranteum,Gold,Cream,None,46.106509044174935,2699
2700,None,Happy,Aqua,Swulu,Moss Tranteum,Violet,Aqua,Polkadot,53.27740409724245,2700
2701,None,Happy,Scarlet,Raincoat,Sand Stripes,Blood Orange,Scarlet,None,26.93822309931841,2701
2702,Blush,Happy,Olive,None,Aqua Stripes,Gold,Meadow,Bullseye,50.96050225135739,2702
2703,Telescope,Happy,Blue Sacred,None,Gold Arneum,Moss,Inciu,None,17.406803426666748,2703
2704,None,Happy,Clementine,Arcith,Terracotta Stripes,Mint,Stripe Room,None,17.6106476288669,2704
2705,Pile Skyline,Thermal Smirking,Gold,Frux,None,Thermal,Pile Skyline,None,42.30747245044292,2705
2706,Blush,Singing,Ocean,Arcith,Sand Polkadots,Moss,Night,Distance,89.53697279292156,2706
2707,Telescope,Happy,Black,Cape,Terracotta Arneum,White,Mint,Tulip Flower,63.59106842597134,2707
2708,Pile Skyline,Happy,Earth,Raincoat,Blood Orange Tranteum,Ocean,Pile Skyline,None,15.222287601706824,2708
2709,None,Happy,Third Eye,Swulu,Tulip Balseum,Cream,Greenery,None,20.394404562954932,2709
2710,Crush,Singing,Ocean,None,Blood Orange Arneum,Aqua,Field,None,50.407941660882926,2710
2711,Telescope,Happy,Sand,Frux,Blood Orange Tranteum,Moss,Greenery,None,20.823463145768546,2711
2712,Blush,Happy,Violet,None,Scarlet Tranteum,Blood Orange,Creature Friends,None,18.023715980008348,2712
2713,Rain,Happy,Black,Raincoat,Gold Polkadots,Scarlet,Greenery,None,24.631709448990367,2713
2714,Pile Skyline,Happy,Black,Arcith,Ocean Polkadots,Sand,Pile Skyline,None,8.281537340670738,2714
2715,Rain,Singing,Sand,Arcith,Gold Balseum,Sand,Sand,Emanating,88.99530031413975,2715
2716,Rain,Happy,Earth,Arcith,Sand Balseum,Gold,Marius,None,15.749437574105771,2716
2717,Rain,Happy,Scarlet,Vines,Violet Polkadots,Scarlet,Stripe Room,None,20.367575560665447,2717
2718,Blush,Happy,Gold,Frux,Violet Stripes,Aqua,Fungisland,None,17.122488861250893,2718
2719,Pile Skyline,Happy,Tulip,None,Mint Tranteum,Mint,Pile Skyline,None,8.147504984240694,2719
2720,Telescope,Happy,Mint,Vines,Mint Arneum,Cream,SS Creature,None,21.091668942335673,2720
2721,Pile Skyline,Smirking,Earth,Raincoat,Clementine Polkadots,Tulip,Pile Skyline,None,47.00610175630342,2721
2722,Telescope,Happy,Tulip,Frux,Olive Stripes,Rainbow,Terracotta,Terracotta Flower,58.65147055601542,2722
2723,Telescope,Thermal Smirking,Aqua,Vines,None,Thermal,SS Creature,None,52.18829833134667,2723
2724,Pile Skyline,Happy,Clementine,Swulu,Moss Tranteum,Gold,Pile Skyline,None,6.034072362195597,2724
2725,Crush,Sacred,Clementine,Oxoto,Clementine Tranteum,Aqua,Marius,None,51.24463873952413,2725
2726,Blush,Sacred,Sacred,None,Tulip Balseum,Aqua,Fungisland,None,51.10517009919943,2726
2727,Crush,Happy,Moss,Swulu,Blood Orange Balseum,Ocean,Earth,None,20.877132412062764,2727
2728,Rain,Screaming,Scarlet,Swulu,Blood Orange Tranteum,Sand,Gold,Emanating,90.49693159361644,2728
2729,Clouds,Thermal,Meadow,Arcith,None,Thermal,Marius,None,58.10373847188514,2729
2730,Telescope,Happy,Black,None,Olive Balseum,Gold,Fungisland,None,13.882800884929686,2730
2731,Rain,Happy,Gold,Vines,Violet Arneum,Gold,Inciu,None,16.140935651019785,2731
2732,None,Singing,Earth,Oxoto,Scarlet Tranteum,Gold,Gomba,None,49.378169957653526,2732
2733,Crush,Singing,Blue Sacred,Swulu,Ocean Balseum,Moss,Ocean,Bullseye,89.98208489729684,2733
2734,Telescope,Smirking,Olive,None,Gold Polkadots,Cream,Earth,None,50.18800103022297,2734
2735,Rain,Happy,Ocean,Frux,Aqua Balseum,Feather,Field,None,20.592818913294316,2735
2736,Telescope,Happy,Tulip,Raincoat,Tulip Polkadots,Olive,Meadow,Mint Flower with Stripes,63.88604958394188,2736
2737,Blush,Singing,Clementine,Oxoto,Clementine Balseum,Tulip,Marius,None,52.462127091298626,2737
2738,Blush,Smirking,Closed,Swulu,Tulip Balseum,Gold,Uuary,None,48.3590551872589,2738
2739,Rain,Thermal,Tulip,None,None,Thermal,Inciu,None,50.761303105245204,2739
2740,Rain,Happy,Earth,None,Gold Stripes,Terracotta,Gold,Terracotta Flower,52.01170743884524,2740
2741,Telescope,Happy,Blue Sacred,Cloud Suit,Blood Orange Balseum,Clementine,Fungisland,None,23.870008371024543,2741
2742,Clouds,Happy,Third Eye,Swulu,Mint Stripes,Aqua,Olive,Clouds,60.399863407263865,2742
2743,None,Screaming,Aqua Third Eye,None,Aqua Polkadots,Mint,Clementine,Olive Flower with Stripes,87.81544594131499,2743
2744,Blush,Happy,Gold Third Eye,None,Clementine Polkadots,Meadow,Earth,None,18.163120252960603,2744
2745,Pile Skyline,Happy,Moss,Wet,Blood Orange Balseum,Aqua,Pile Skyline,None,14.514275101616281,2745
2746,Crush,Smirking,Scarlet,Swulu,Sand Arneum,Blood Orange,Night,Width,88.40538841306574,2746
2747,Crush,Happy,Ocean,Oxoto,Aqua Stripes,Blood Orange,Moss,Polkadot,55.948326679299576,2747
2748,Rain,Happy,Mint,Arcith,Clementine Polkadots,White,Stripe Room,None,22.266357913864613,2748
