,Background,Pattern,Skin,Clothes,Nose,Eyes,Hat,Type,Tattoo,Mouth,Skeleton,Goldchain,Rarity score,Token Id
2841,Purple,Flower Pattern,Red,Dress Blue,Normal,Aviator Glasses,Manga Hair  Blue,Skeleton,Big Tattoos,Special Cigarette,None,None,50.56205578468863,2841
2842,Light Red,None,Red,None,Normal,Angry Eyes,Bandana Dark,Skeleton,None,None,None,None,12.24679465654411,2842
2843,Purple,None,None,T Pink B&B,Normal,Visor Retro Cartoon Eyes,Savage Hair Red,Skeleton,None,None,None,None,7.535935791803207,2843
2844,Purple,Aztec Patterns,None,Badass Leather Jacket,Normal,Happy Eyes,Savage Hair Red,Skeleton,Small Tattoos,Tongue,None,None,40.09880012685223,2844
2845,Light Red,None,Black,Galactical Emperor Suit,Normal,Bloodshot,Halo,Skeleton,None,None,Painted Skeleton,None,30.99733034143735,2845
2846,Blue,None,None,Dress Pink,Normal,Fantasia Eyes,Headphones,Skeleton,Big Tattoos,None,None,Gold Chain Skull,42.983948789512475,2846
2847,Beige,Aztec Patterns,None,Sweater Pink CM,Normal,Bored Eyes,Dread Short Blond,Skeleton,None,None,None,None,8.048346055955593,2847
2848,Aquamarine,None,Blue,Pope Robe,Normal,Pirate Patch Bloodshot,Savage Hair Dark,Skeleton,None,None,None,None,14.098664211657411,2848
2849,Light Red,Flower Pattern,Black,Denim Overalls,Normal,Fantasia Eyes,Arrow,Skeleton,None,Cigarette,Painted Skeleton,None,54.55019925700299,2849
2850,Purple,Flower Pattern,Yellow,Bear Fur,Normal,Bloodshot,Biker Helmet Black Spikes POM,Skeleton,Small Tattoos,None,None,None,26.044924543491728,2850
2851,Aquamarine,None,None,None,Normal,Happy Eyes,Devil Horns,Devil,None,None,Painted Skeleton,None,40.09825819226893,2851
2852,Purple,Aztec Patterns,Blue,Work Outfit Blue,Normal,Dead Eyes,Bandana Dark,Skeleton,Big Tattoos,Special Cigarette,None,None,50.59408759187555,2852
2853,Purple,None,Yellow,Hoodie Red CM,Normal,Retro Cartoon Eyes,Kitty Red Bow,Skeleton,Small Tattoos,None,None,Gold Chain Skull,46.74508720548994,2853
2854,Light Red,None,None,Galactical Emperor Suit,Normal,Retro Cartoon Eyes,Beanie Cap,Robot,None,None,None,None,27.011154981548767,2854
2855,Grey,None,Yellow,Bathrobe White,Normal,Heart Eyes,Shell Red,Skeleton,None,None,Painted Skeleton,None,27.351908468128116,2855
2856,Light Red,Flower Pattern,Red,Hoodie Pink CM,Normal,John Glasses,Knitted Beanie Red,Skeleton,None,None,Painted Skeleton,None,29.32289980765387,2856
2857,Blue,Flower Pattern,Aquamarine,None,Normal,Exasperated Eyes,Dread Short Blond,Skeleton,None,None,None,None,16.44833080268794,2857
2858,Light Red,Flower Pattern,Yellow,Tank Top Blue B&B,Normal,Pirate Patch Bloodshot,Sport Headband,Skeleton,Big Tattoos,None,None,None,26.01581659882271,2858
2859,Light Orange,Flower Pattern,Yellow,Hoodie Black POM,Normal,Dia De Los Muertos Eyes,Biker Helmet Black Spikes POM,Skeleton,None,Cigarette,None,None,36.55821329979852,2859
2860,Purple,None,Red,Hoodie Pink CM,Normal,Laser Eyes,Headphones,Skeleton,None,None,Painted Skeleton,None,29.034833950294352,2860
2861,Beige,None,Red,Hoodie Blue B&B,Normal,Cute Spider Eyes,Biker Helmet Black Spikes POM,Skeleton,None,None,None,None,12.47388936777634,2861
2862,Beige,Aztec Patterns,None,Work Outfit Red,Normal,Retro Cartoon Eyes 2,Knitted Beanie Orange,Devil,None,None,Painted Skeleton,None,44.130643495181424,2862
2863,Grey,Aztec Patterns,Rainbow,Denim Overalls,Normal,Happy Eyes,Sea Captain's Hat,Skeleton,None,None,None,None,17.019094433432073,2863
2864,Aquamarine,None,Yellow,None,Normal,Sad Eyes,Pirate Hat CM,Skeleton,None,None,None,None,12.890293042380907,2864
2865,Grey,Aztec Patterns,Aquamarine,Hoodie Blue B&B,Normal,Crazy Eyes,Biker Helmet Black Spikes POM,Skeleton,Big Tattoos,None,None,None,28.621784288788334,2865
2866,Blue,Flower Pattern,Black,Sweater Pink CM,Normal,Strider Glasses,Cap POM Black,Skeleton,None,None,None,None,18.824339327200477,2866
2867,Blue,None,Red,Hoodie Blue B&B,Normal,Cool Shades,Manga Hair  Purple,Skeleton,None,None,None,None,13.268804047333752,2867
2868,Green,Aztec Patterns,Aquamarine,Sweater Green CM,Normal,Cool Shades,Moon,OpenSkull,Small Tattoos,None,None,None,51.05128273617827,2868
2869,Light Red,Aztec Patterns,Yellow,Dress Blue,Normal,Retro Cartoon Eyes,Devil Horns,Skeleton,None,None,None,None,13.053216951359545,2869
2870,Light Red,None,Red,Tank Top Pink CM,Normal,Crazy Eyes,Musician Hat,Skeleton,Small Tattoos,None,Painted Skeleton,None,37.807008139029165,2870
2871,Light Orange,None,None,Hoodie Red CM,Normal,Bloodshot,Cap B&B Purple,Skeleton,Big Tattoos,None,None,None,17.415243599903164,2871
2872,Green,None,Aquamarine,Hoodie Grey CM,Normal,Bored Eyes,Beret Green,Skeleton,None,None,Painted Skeleton,None,29.93165656095849,2872
2873,Grey,Flower Pattern,None,Armor Blue,Normal,Retro Cartoon Eyes,None,Devil,Small Tattoos,None,Painted Skeleton,None,48.74204100758676,2873
2874,Blue,None,None,Badass Leather Jacket,Normal,Elton John's glasses,Halo,Skeleton,None,None,None,None,7.6174535231161675,2874
2875,Grey,None,Yellow,Hoodie Red CM,Normal,Cool Shades,None,Skeleton,Big Tattoos,None,None,None,20.070300834740546,2875
2876,Purple,None,None,Synthetic Cool Cat Fur Coat,Normal,Exasperated Eyes,Halo,Zombie,Small Tattoos,None,None,None,36.598473881116135,2876
2877,Beige,Aztec Patterns,Blue,T Grey POM,Normal,Cyclop Eye,Viking Helmet,Skeleton,Small Tattoos,None,None,None,24.816190246638612,2877
2878,Beige,Flower Pattern,Yellow,Fake Shaolin Outfit,Normal,Exasperated Eyes,Dread Short Dark,Skeleton,Big Tattoos,None,None,None,24.842429657825775,2878
2879,Aquamarine,None,None,Tank Top Grey POM,Normal,Bored Eyes,Shell Red,Zombie,Small Tattoos,None,None,None,36.60722481409541,2879
2880,Light Red,Flower Pattern,Blue,Synthetic Cool Cat Fur Coat,Normal,Retro Cartoon Eyes,Arrow,Skeleton,None,Cigarette,None,None,34.12704411603581,2880
2881,None,None,None,None,None,None,None,Special,None,None,None,None,57.90956589282762,2881
2882,Beige,None,Blue,Bathrobe Blue,Normal,3D Glasses,Metal Spikes Mohawk,Skeleton,None,None,Painted Skeleton,Gold Chain Skull,52.590760127210615,2882
2883,Blue,None,Red,Clown Outfit,Normal,Cute Spider Eyes,Savage Hair Dark,Skeleton,Small Tattoos,None,None,None,23.704042076646058,2883
2884,Blue,None,Yellow,Rick Outfit,Normal,Retro Cartoon Eyes,Party Hat,Skeleton,None,Cigarette,None,None,31.6349035045501,2884
2885,Beige,Flower Pattern,Red,Synthetic Cool Cat Fur Coat,Normal,Cyclop Eye,Pharaoh,Skeleton,Small Tattoos,Cigarette,Painted Skeleton,None,60.485982137980855,2885
2886,Aquamarine,None,None,Fake Shaolin Outfit,Normal,Regular Glasses,None,Skeleton,None,None,None,None,3.0662087734420487,2886
2887,Beige,Aztec Patterns,Red,Work Outfit Blue,Normal,Regular Glasses,Hippie Hat,Skeleton,None,None,Painted Skeleton,None,29.666493866772008,2887
2888,Beige,Flower Pattern,None,Armor Blue,Normal,Happy Eyes,Knitted Beanie Orange,Devil,None,Cigarette,Painted Skeleton,None,62.221122279630436,2888
2889,Light Red,Flower Pattern,Red,Tank Top Pink CM,Normal,Happy Eyes,Biker Helmet Black Spikes POM,Skeleton,None,Special Cigarette,None,None,35.818640734074684,2889
2890,Beige,Flower Pattern,Yellow,Tank Top Pink CM,Normal,Bloodshot,None,Skeleton,Big Tattoos,Cigarette,None,None,41.853926290494,2890
2891,Beige,None,None,Fake Shaolin Outfit,Normal,Cute Spider Eyes,None,Skeleton,Small Tattoos,None,Painted Skeleton,None,27.291040114389787,2891
2892,Purple,None,Red,Bathrobe Pink,Normal,Heart Eyes,Sangoku,Skeleton,None,None,None,None,13.84825512149602,2892
2893,Grey,Flower Pattern,None,Cool Cat Costume,Normal,Elton John's glasses,Astro White,Devil,None,Cigarette,None,None,52.098880124932144,2893
2894,Purple,Flower Pattern,None,Work Outfit Blue,Normal,Bloodshot,Sport Headband,Devil,Small Tattoos,None,Painted Skeleton,None,55.06559453788964,2894
2895,Blue,Aztec Patterns,Red,Work Outfit Blue,Normal,Heart Eyes,Savage Hair Red,Skeleton,None,None,None,None,14.838120567001416,2895
2896,Purple,Aztec Patterns,Yellow,Work Outfit Red,Normal,Angry Eyes,Cap B&B Purple,Skeleton,None,None,None,None,15.991160113597255,2896
2897,Blue,Flower Pattern,Red,T Pink B&B,Normal,Cyclop Eye,Savage Hair Dark,Skeleton,Small Tattoos,Special Cigarette,None,None,48.026203316219224,2897
2898,Light Red,None,Yellow,Hoodie Black POM,Normal,Retro Cartoon Eyes,Sport Headband,Skeleton,None,Cigarette,None,None,31.550476172915726,2898
2899,Blue,Aztec Patterns,None,Admirals Coat Black,Normal,Monocle,Knitted Beanie Orange,Skeleton,Small Tattoos,None,None,None,20.324021144109437,2899
2900,Beige,None,Yellow,T Grey POM,Normal,Retro Skull Eyes,Bowler Hat,Skeleton,None,Cigarette,None,None,33.923400060747696,2900
2901,Purple,None,Red,Clown Outfit,Normal,Cute Eyes,Deer Horns,Skeleton,None,None,None,None,13.950201215478353,2901
2902,Aquamarine,None,None,Bandana Blue,Normal,Retro Cartoon Eyes,Dread Short Dark,Robot,None,None,None,None,26.73165308982225,2902
2903,Blue,Aztec Patterns,Yellow,None,Normal,Bloodshot,Musician Hat,Skeleton,None,None,None,None,14.491604675594278,2903
2904,Purple,Aztec Patterns,Yellow,Tank Top Blue B&B,Normal,Happy Eyes,Pirate Hat POM,Skeleton,None,None,None,None,13.542354791760546,2904
2905,Beige,None,None,T Grey POM,Normal,Happy Eyes,Deer Horns,Devil,None,None,None,None,24.53044658913297,2905
2906,Green,Flower Pattern,None,Italian Plumber Oufit,Normal,Retro Cartoon Eyes,None,Devil,None,Pipe,None,Gold Chain Skull,72.23524425750095,2906
2907,Green,Flower Pattern,None,Synthetic Cool Cat Fur Coat,Normal,Regular Glasses,Clown Hair Red,Zombie,None,None,None,None,28.300815552011972,2907
2908,Purple,Aztec Patterns,Aquamarine,Roman Soldier Armor,Normal,Cute Spider Eyes,Flower Crown Pink,Skeleton,None,None,None,None,18.993220490771805,2908
2909,Light Orange,Aztec Patterns,None,Hoodie Red CM,Normal,Exasperated Eyes,Dread Short Red,Devil,Big Tattoos,None,None,None,40.395319323175954,2909
2910,Aquamarine,None,Blue,Bandana Blue,Normal,Cute Eyes,Dread Short Brown,Skeleton,None,None,Painted Skeleton,None,27.995368410333594,2910
2911,Purple,None,Aquamarine,King Robe,Normal,3D Glasses,Halo,Skeleton,Small Tattoos,None,Painted Skeleton,None,42.360664442019726,2911
2912,Light Orange,None,Yellow,Hoodie Blue B&B,Normal,Retro Cartoon Eyes,Knitted Beanie Orange,Skeleton,Big Tattoos,None,None,None,21.526143534012427,2912
2913,Green,None,None,None,Normal,Retro Skull Eyes,None,Skeleton,None,Cigarette,None,None,24.082586873473105,2913
2914,Aquamarine,Flower Pattern,Yellow,Roman Soldier Armor,Normal,Happy Eyes,Ninja Balaclava,Skeleton,Big Tattoos,None,None,None,24.822031588407306,2914
2915,Aquamarine,Flower Pattern,Blue,Tank Top Blue B&B,Normal,Retro Cartoon Eyes,Cap POM Black,Skeleton,Big Tattoos,None,None,None,24.591971344693604,2915
2916,Beige,None,Blue,None,Normal,Crazy Eyes,None,Skeleton,None,None,Painted Skeleton,None,22.766027245188074,2916
2917,Green,Aztec Patterns,Rainbow,DBZ Outfit,Normal,Heart Glasses,Ninja Balaclava,Skeleton,Small Tattoos,None,None,None,31.329588279288416,2917
2918,Aquamarine,Flower Pattern,None,King Robe,Normal,Spider Eyes,Manga Hair  Dark,Zombie,None,None,None,None,28.723026773861783,2918
2919,Grey,Aztec Patterns,None,Sweater Pink CM,Normal,Cyclop Eye,Laurel Wreath,Devil,None,None,None,None,28.927031676103,2919
2920,Grey,None,None,Sweater Pink CM,Normal,Dead Eyes,Knitted Beanie Orange,Skeleton,None,None,None,None,5.267587125383119,2920
2921,Blue,Aztec Patterns,None,Tank Top Blue B&B,Normal,Pirate Patch Peaceful,None,Zombie,None,None,None,None,24.26529639500509,2921
2922,Light Red,Aztec Patterns,None,T Grey POM,Normal,Regular Glasses,None,Devil,None,None,None,None,25.520413978427825,2922
2923,Green,None,None,Tank Top Blue B&B,Normal,Happy Eyes,None,Robot,Big Tattoos,None,None,None,33.15425009403869,2923
2924,Grey,Flower Pattern,Blue,Clown Outfit,Normal,Bloodshot,None,Skeleton,Small Tattoos,None,Painted Skeleton,Gold Chain GM,61.54551348999732,2924
2925,Blue,None,Yellow,Admirals Coat Blue,Normal,Exasperated Eyes,None,Skeleton,None,None,None,Gold Chain GM,34.3948607205953,2925
2926,Green,Flower Pattern,None,Tank Top Grey POM,Normal,Sad Eyes,Pirate Hat CM,Zombie,Small Tattoos,Cigarette,None,None,59.39416096601977,2926
2927,Grey,Flower Pattern,Aquamarine,Armor Blue,Normal,Pirate Patch Bloodshot,Headband Red,Skeleton,None,Special Cigarette,None,None,40.71007830000165,2927
2928,Blue,None,Yellow,Tank Top Grey POM,Normal,Retro Cartoon Eyes,Dread Long Blond,Skeleton,None,None,None,None,10.889872520856734,2928
2929,Beige,Aztec Patterns,Black,None,Normal,Cool Shades,Metal Spikes,Skeleton,Big Tattoos,None,None,None,29.506936463196627,2929
2930,Purple,None,None,Sweater Green CM,Normal,Thug Life Glasses,None,Skeleton,Big Tattoos,Cigarette,None,None,35.923744242757486,2930
2931,Blue,Aztec Patterns,Aquamarine,Sweater Green CM,Normal,Cool Shades,Sport Headband,Skeleton,None,None,Painted Skeleton,None,32.001603720331154,2931
2932,Beige,None,Blue,Sweater Pink CM,Normal,Regular Glasses,Metal Spikes Mohawk,Skeleton,None,None,None,None,12.540864926862582,2932
2933,Grey,Aztec Patterns,Blue,Dress Pink,Normal,Happy Eyes,Cap POM Black,Skeleton,Big Tattoos,None,None,None,23.960187947523107,2933
2934,Light Orange,None,Red,Butler Outfit,Normal,Crazy Eyes,Dread Long Dark,Skeleton,None,None,None,None,13.166920283058687,2934
2935,Blue,None,None,Dress Pink,Normal,Angry Eyes,Biker Helmet Blue Spikes CM,Zombie,None,Cigarette,None,None,46.76493897668988,2935
2936,Aquamarine,Flower Pattern,Blue,Hoodie Pink CM,Normal,John Glasses,Hippie Hat,Skeleton,None,None,None,None,16.151287726021106,2936
2937,Blue,Flower Pattern,None,Bandana Red,Normal,Bored Eyes,Knitted Beanie Orange,Skeleton,None,None,Painted Skeleton,None,22.685071299147502,2937
2938,Aquamarine,None,None,Hoodie Green B&B,Normal,Sad Eyes,Shell Green,Skeleton,Small Tattoos,None,None,None,17.5724986010057,2938
2939,Beige,Flower Pattern,None,Denim Overalls,Normal,Bloodshot,Mohawk,Skeleton,None,None,None,None,7.652340462271106,2939
2940,Light Orange,Flower Pattern,None,Tank Top Blue B&B,Normal,Cute Spider Eyes,Manga Hair  Dark,Zombie,None,None,None,None,27.17694976814179,2940
2941,Beige,None,None,Bathrobe Pink,Normal,Strider Glasses,Clown Hair Red,Robot,Big Tattoos,None,None,None,40.01677511066972,2941
2942,Grey,Aztec Patterns,None,Admirals Coat Black,Normal,Bored Eyes,Rat Ears,Skeleton,None,Cigarette,None,None,30.304673944974514,2942
2943,Grey,Flower Pattern,Yellow,Hoodie Black POM,Normal,Retro Cartoon Eyes 2,Shell Red,Skeleton,Small Tattoos,None,Painted Skeleton,None,40.45637113872338,2943
2944,Light Red,Flower Pattern,Red,Samurai Black,Normal,Happy Eyes,Beret French,Skeleton,Big Tattoos,None,None,None,24.201827760404633,2944
2945,Aquamarine,None,Blue,Hoodie Pink CM,Normal,Happy Eyes,Halo,Skeleton,None,None,Painted Skeleton,None,25.78834939751371,2945
2946,Green,Flower Pattern,Aquamarine,Sweater Green CM,Normal,Heart Glasses,None,Skeleton,None,None,None,Gold Chain Skull,37.9905080705433,2946
2947,Blue,Flower Pattern,Yellow,Suit Blue,Normal,Retro Cartoon Eyes,Savage Hair Red,Skeleton,Big Tattoos,None,Painted Skeleton,None,38.74142200097834,2947
2948,Aquamarine,None,Aquamarine,T Pink B&B,Normal,Dia De Los Muertos Eyes,Manga Hair  Dark,Skeleton,Small Tattoos,None,None,None,25.919870561271864,2948
2949,Light Orange,None,Yellow,Sweater Green CM,Clown,Pirate Patch Bloodshot,Pyramid Hat,Skeleton,None,None,None,None,41.00097398235148,2949
2950,Light Orange,Aztec Patterns,Yellow,Denim Overalls,Normal,Cute Spider Eyes,Flower Blue,Skeleton,None,Tongue,None,None,37.19873131271043,2950
2951,Purple,Aztec Patterns,Aquamarine,Galactical Emperor Suit,Normal,Sad Eyes,Savage Hair Dark,Skeleton,None,None,Painted Skeleton,None,33.01777381961191,2951
2952,Beige,Flower Pattern,Yellow,Knight Armor,Normal,Retro Cartoon Eyes,Workers Hard Hat,Skeleton,Small Tattoos,None,None,None,23.482662298553265,2952
2953,Grey,Aztec Patterns,Blue,Pharaoh Neckless,Normal,Retro Cartoon Eyes,Sushi Chef Headband,Skeleton,None,None,None,None,13.600632134615399,2953
2954,Blue,None,Red,Tank Top Grey POM,Normal,3D Glasses,Shell Red,Skeleton,Small Tattoos,Tongue,Painted Skeleton,None,61.06548501974649,2954
2955,Light Red,None,None,T Grey POM,Normal,Visor Retro Cartoon Eyes,Bandana Blue,Robot,None,None,None,None,28.77558800802168,2955
2956,Light Red,None,Blue,Admirals Coat White ,Normal,Cyclop Eye,None,Skeleton,None,None,None,None,8.98263435270574,2956
2957,Purple,None,None,Shaolin Outfit,Normal,Happy Eyes,Clown Hair Blue,Skeleton,None,Tongue,None,None,27.757081445204395,2957
2958,Grey,None,None,Dress Pink,Normal,Happy Eyes,Dread Short Brown,Devil,None,None,None,None,24.89148892747444,2958
2959,Light Orange,Flower Pattern,None,Hoodie Pink CM,Normal,Dia De Los Muertos Eyes,Roman Helmet,Zombie,None,None,None,None,28.551249109985488,2959
2960,Light Red,Aztec Patterns,Blue,Shaolin Outfit,Normal,Crazy Eyes,None,Skeleton,None,None,None,None,11.297407002423942,2960
2961,Light Orange,Flower Pattern,None,Leather Jacket,Normal,Bored Eyes,Pirate Hat POM,Skeleton,Big Tattoos,None,None,Gold Chain Skull,44.38722268727253,2961
2962,Grey,Aztec Patterns,Red,Sweater Green CM,Normal,Happy Eyes,Chef's Hat,Skeleton,Small Tattoos,None,Painted Skeleton,None,37.556447614339596,2962
2963,Aquamarine,None,None,Hoodie Grey CM,Normal,Dead Eyes,Sombrero,Skeleton,Small Tattoos,None,None,None,17.438543410873798,2963
2964,Green,Flower Pattern,Red,Bear Fur,Normal,Cyclop Eye,Deer Horns,Skeleton,Big Tattoos,None,None,None,25.983724496292837,2964
2965,Grey,Aztec Patterns,Yellow,Armor Black,Normal,Heart Eyes,Party Hat,Skeleton,None,Cigarette,None,None,35.40523694759878,2965
2966,Green,None,Black,Cool Cat Costume,Normal,Sad Eyes,Dread Short Red,Skeleton,None,Pipe,None,None,40.80053014289186,2966
2967,Blue,Aztec Patterns,Aquamarine,Synthetic Cool Cat Fur Coat,Normal,Bloodshot,Bucket Hat CM+B&B,Skeleton,None,Cigarette,Painted Skeleton,None,52.87613188445264,2967
2968,Purple,Flower Pattern,Blue,Tank Top Pink CM,Normal,Happy Eyes,None,Skeleton,None,None,Painted Skeleton,None,23.982933837741406,2968
2969,Purple,Flower Pattern,Yellow,Tank Top Pink CM,Normal,Cute Eyes,Dread Long Dark,Skeleton,None,None,Painted Skeleton,None,30.210936247362604,2969
2970,Light Red,None,Blue,Hoodie Grey CM,Normal,Sad Eyes,Arrow,Skeleton,Small Tattoos,None,None,None,23.299348171236122,2970
2971,Aquamarine,Aztec Patterns,Aquamarine,Suit Black,Normal,Exasperated Eyes,None,Skeleton,None,None,None,None,13.408482029438948,2971
2972,Grey,None,None,Bandana Red,Normal,Regular Glasses,Bandana Dark,Devil,None,None,Painted Skeleton,Gold Chain Skull,66.21228689395957,2972
2973,Light Red,None,Rainbow,Armor Blue,Normal,Bloodshot,Mohawk,Skeleton,None,None,None,None,16.853236166130273,2973
2974,Green,None,None,Admirals Coat Blue,Normal,Pirate Patch Exasperated,Rick Hair,Devil,Small Tattoos,None,None,None,39.37628011152026,2974
2975,Purple,Flower Pattern,Yellow,Sheriff Outfit,Normal,Retro Cartoon Eyes,None,Skeleton,Small Tattoos,None,None,None,20.495265836262092,2975
2976,Aquamarine,Aztec Patterns,Aquamarine,Sweater Green CM,Normal,Cyclop Eye,Flower Crown Blue,Skeleton,None,None,None,None,17.196684011807303,2976
2977,Light Orange,None,None,None,Normal,Cyclop Eye,Dead Cool Cat,Robot,Big Tattoos,None,None,None,39.12003404148075,2977
2978,Light Red,Flower Pattern,Red,Sweater Pink CM,Normal,Happy Eyes,Dread Short Blond,Skeleton,Small Tattoos,Cigarette,Painted Skeleton,None,58.4684255435334,2978
2979,Aquamarine,Flower Pattern,None,Bandana Red,Normal,Bored Eyes,Kitty Red Bow,Skeleton,Small Tattoos,None,None,None,19.54951241257679,2979
2980,Green,None,None,Dress Blue,Normal,Pirate Patch Peaceful,Feather,Robot,Big Tattoos,None,None,None,40.13030659945251,2980
2981,Aquamarine,Aztec Patterns,None,Bathrobe White,Normal,Angry Eyes,Dread Short Red,Zombie,None,None,None,None,28.73177479538167,2981
2982,Purple,None,None,Tank Top Blue B&B,Normal,Thug Life Glasses,Bandana Dark,Zombie,Big Tattoos,None,None,None,38.17070030182721,2982
2983,Grey,Flower Pattern,Blue,Fake Shaolin Outfit,Normal,Retro Cartoon Eyes 2,Sushi Chef Headband,Skeleton,Small Tattoos,None,None,None,26.21963306293248,2983
2984,Light Red,None,None,Bathrobe Pink,Normal,Dia De Los Muertos Eyes,Dead Cool Cat,Zombie,Small Tattoos,None,None,None,37.393342832449115,2984
2985,Blue,None,Red,Admirals Coat Red,Normal,Happy Eyes,None,Skeleton,Small Tattoos,None,None,Gold Chain Skull,42.06054315051508,2985
2986,Light Red,Flower Pattern,None,T Grey POM,Normal,Retro Cartoon Eyes,Hippie Hat,Skeleton,Big Tattoos,None,Painted Skeleton,Gold Chain Skull,56.623165481961216,2986
2987,Beige,Flower Pattern,Blue,T Pink B&B,Normal,Hero Mask,Manga Hair  Dark,Skeleton,None,None,None,None,14.334371521357186,2987
2988,Aquamarine,Flower Pattern,Yellow,Sweater Pink CM,Normal,Aviator Glasses,Sea Captain's Hat,Skeleton,Small Tattoos,None,Painted Skeleton,None,40.58155733646654,2988
2989,Light Red,None,Blue,Hoodie Green B&B,Normal,Monocle,Super Saiyan,Skeleton,None,None,None,None,14.02005171593219,2989
2990,Aquamarine,Aztec Patterns,Yellow,Samurai Blue,Normal,Dia De Los Muertos Eyes,Knitted Beanie Orange,Skeleton,Small Tattoos,None,None,None,26.420516041161818,2990
2991,Light Orange,Flower Pattern,Blue,Bandana Blue,Normal,Bored Eyes,Pirate Hat CM,Skeleton,None,None,None,None,15.199155333080169,2991
2992,Green,None,None,Hoodie Pink CM,Normal,Dead Eyes,Bucket Hat Flower,Robot,None,None,None,None,28.161226682481576,2992
2993,Aquamarine,Aztec Patterns,None,Caesar Outfit,Normal,Spider Eyes,Flower Blue,Zombie,Big Tattoos,None,None,None,40.459182871931695,2993
2994,Light Red,Flower Pattern,None,Bathrobe White,Normal,Bloodshot,Knitted Beanie Orange,Skeleton,Small Tattoos,None,None,None,18.492540344884905,2994
2995,Light Red,Flower Pattern,Yellow,Samurai Blue,Normal,Square Shades,None,Skeleton,Small Tattoos,None,Painted Skeleton,None,36.43264415390895,2995
2996,Grey,None,Blue,Suit Black,Normal,Dead Eyes,Shell Red,Skeleton,None,None,Painted Skeleton,None,27.698385328223097,2996
2997,Beige,Aztec Patterns,Red,Sweater Green CM,Normal,Strider Glasses,Knitted Beanie Red,Skeleton,Big Tattoos,None,None,None,25.43640746265042,2997
2998,Green,None,Blue,Sheriff Outfit,Normal,Visor Cute Eyes,Cap POM Black,Skeleton,Small Tattoos,None,Painted Skeleton,None,39.47823959648405,2998
2999,Purple,Aztec Patterns,Yellow,Dress Blue,Normal,Happy Eyes,Ninja Balaclava,Skeleton,None,None,None,None,13.626805424051582,2999
3000,Aquamarine,Aztec Patterns,Yellow,Clown Outfit,Normal,Exasperated Eyes,None,Skeleton,Small Tattoos,None,Painted Skeleton,None,35.88813216412263,3000
3001,Light Red,None,Aquamarine,Hoodie Pink CM,Normal,Retro Cartoon Eyes,None,Skeleton,None,None,None,None,9.040900330672622,3001
3002,Green,None,Yellow,Sweater Pink CM,Normal,Bloodshot,Headband Red,Skeleton,None,None,None,None,11.594521152997796,3002
3003,Light Red,Aztec Patterns,None,Hoodie Green B&B,Normal,Strider Glasses,None,Skeleton,None,Cigarette,Painted Skeleton,None,40.878794908092836,3003
3004,Grey,Aztec Patterns,None,Bandana Blue,Normal,Angry Eyes,Dread Short Dark,Devil,None,None,None,Gold Chain Skull,53.76398487004156,3004
3005,Green,Aztec Patterns,Aquamarine,Denim Overalls,Normal,Angry Eyes,None,Skeleton,Big Tattoos,None,None,None,24.62116869148089,3005
3006,Light Red,Aztec Patterns,None,Badass Leather Jacket,Normal,Hero Mask,None,Skeleton,None,None,Painted Skeleton,None,19.7763100550559,3006
3007,Grey,None,None,Badass Leather Jacket,Normal,Exasperated Eyes,Headband Red,Skeleton,Big Tattoos,None,None,None,16.334991820959072,3007
3008,Grey,None,None,Badass Leather Jacket,Normal,Logo Eyes,Dread Short Red,Zombie,Big Tattoos,None,None,None,37.43699935354748,3008
3009,Aquamarine,None,Rainbow,Suit Black,Normal,Exasperated Eyes,None,Skeleton,None,None,None,None,12.983502180883178,3009
3010,Beige,Aztec Patterns,Red,Bathrobe White,Normal,Square Shades,Savage Hair Red,Skeleton,Big Tattoos,None,None,None,25.992521444584614,3010
3011,Purple,None,Red,Suit Black,Normal,Retro Cartoon Eyes,None,Skeleton,Small Tattoos,None,None,None,18.54741820533234,3011
3012,Green,Flower Pattern,Red,Bear Fur,Normal,Bored Eyes,Bandana Dark,Skeleton,None,None,None,None,15.015716265722007,3012
3013,Light Orange,Aztec Patterns,Black,Armor Blue,Normal,Regular Glasses,Knitted Beanie Red,Skeleton,Big Tattoos,None,None,None,29.888369301084627,3013
3014,Light Red,Flower Pattern,Blue,None,Normal,Thug Life Glasses,Sombrero,Skeleton,Small Tattoos,None,None,None,26.242926173695437,3014
3015,Light Red,None,Red,Denim Overalls,Normal,Hero Mask,Headband Red,Skeleton,None,Cigarette,None,None,33.78948098355468,3015
3016,Green,None,None,None,Normal,Pirate Patch Bloodshot,Knitted Beanie Orange,Zombie,Small Tattoos,None,None,None,36.13845562540626,3016
3017,Grey,Flower Pattern,None,Angel Wings,Normal,Exasperated Eyes,Mohawk,Zombie,Big Tattoos,Cigarette,None,None,59.734796786683454,3017
3018,Purple,Aztec Patterns,Black,Armor Black,Normal,Aviator Glasses,Headband Red,Skeleton,Big Tattoos,None,Painted Skeleton,None,45.50202101029308,3018
3019,Beige,Flower Pattern,None,T Grey POM,Normal,Cute Eyes,Octopus,Devil,None,None,None,Gold Chain Skull,53.44667506380604,3019
3020,Purple,Aztec Patterns,None,Tank Top Blue B&B,Normal,Exasperated Eyes,Dread Long Dark,Zombie,None,Tongue,None,None,50.35180539854507,3020
