,Animated,Additional Backgrounds,Display Mode,Portrait Background,Purity,Chroma,Generation,Variant,Species,Decorative,Mouth,Face,Device,Element,Dimension,Oni,Horn,Weapon,Eyewear,Zodiac,Emote,Gem,Mythic,Rarity score,Token Id
2280,No,No,Portrait,Day,Natural,Silver Cloud,Gamma,Earth Spirit,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.6188250834087123,2281
2281,No,No,Portrait,Day,Augmented,Smoked Amber,Omega,Great White Shark,Demihumans,Campfire,None,None,None,None,None,None,None,None,None,Ox,Proud,None,None,22.852687363186647,2282
2282,No,No,Portrait,Day,Augmented,Butterscotch Sepia,Epsilon,Seahorse,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Rat,Love,None,None,22.788058494989684,2283
2283,No,No,Portrait,Day,Natural,Concord Grape,Gamma,Terrorbird,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.8485740220288479,2284
2284,No,No,Portrait,Simple 1,Augmented,Scarlet Ruby,Delta,Football Player,Humans,None,Leaf,Whiskers,None,None,None,None,None,None,Neon Glasses,None,None,None,None,38.4256047565849,2285
2285,No,No,Portrait,Day,Natural,Aegean Sea,Epsilon,Lazy Boy,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.667103144615457,2286
2286,No,No,Portrait,Day,Augmented,Verdant Teal,Xi,Shikigami,Yokai,Cucumber,None,None,None,None,None,Kunai,None,Kusarigama,None,None,None,None,None,28.514901508597244,2287
2287,No,No,Portrait,Day,Augmented,Orchid Mauve,Zeta,Officer,Posthumans,None,None,None,Battery,Plasma,Hexagonal Rift,None,None,None,None,None,None,None,None,26.890819087210144,2288
2288,No,No,Portrait,Day,Natural,Orchid Mauve,Zeta,Officer,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.5981945094082466,2289
2289,No,No,Portrait,Day,Augmented,King Turquoise,Mu,Tonfa Guard,Humans,Coffee,Heart,None,None,None,None,None,None,None,Shades,None,None,None,None,22.108719692192825,2290
2290,No,No,Portrait,Day,Augmented,Celestial Aqua,Omicron,Water Spirit,Posthumans,None,None,None,Laptop,Plasma,Checkered Rift,None,None,None,None,None,None,None,None,26.773933007348248,2291
2291,No,No,Portrait,Simple 1,Natural,Regal Cobalt,Lambda,Goat,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.940659722102094,2292
2292,No,No,Portrait,Day,Natural,Sweet Lime,Mu,Rabbit,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.0026335690590105,2293
2293,No,No,Portrait,Day,Natural,Raspberry Jam,Rho,Triceratops,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.9311001747568333,2294
2294,No,No,Portrait,Day,Augmented,Orchid Mauve,Kappa,Assassin,Posthumans,None,None,None,Battery,Energy,Claw Rift,None,None,None,None,None,None,None,None,26.91282828239897,2295
2295,No,No,Portrait,Simple 1,Natural,Raspberry Jam,Upsilon,Liquidator,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.827754328400331,2296
2296,No,No,Portrait,Simple 1,Natural,Candy Rose,Xi,Fire Spirit,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.83188468230005,2297
2297,No,No,Portrait,Day,Augmented,Prussian Steel,Beta,Ancient General,Humans,Mask,Star,Dots,None,None,None,None,None,None,None,None,None,None,None,22.07850595004977,2298
2298,No,No,Portrait,Day,Natural,Raspberry Jam,Sigma,Officer,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.6463343059334434,2299
2299,No,No,Portrait,Day,Natural,Midnight Plum,Omega,Pilot,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.548672650528305,2300
2300,No,No,Portrait,Day,Natural,Concord Grape,Alpha,Turtle,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.8389454316730647,2301
2301,No,No,Capsule,N/A,Augmented,Golden Bronze,Upsilon,Autumn Student,Humans,Fast Food,Donut,Dots,None,None,None,None,None,None,None,None,None,None,None,47.78684223334821,2302
2302,No,No,Portrait,Day,Augmented,Raspberry Jam,Rho,Baseball Player,Humans,Book,None,Whiskers,None,None,None,None,None,None,Monocle,None,None,None,None,22.438843431140583,2303
2303,No,No,Portrait,Day,Augmented,Brilliant Byzantine,Mu,Spring Model,Humans,Potion Flask,Bubble Gum,Tear Drops,None,None,None,None,None,None,None,None,None,None,None,22.27378617354436,2304
2304,No,No,Portrait,Day,Augmented,Electric Fuschia,Beta,Hacker,Posthumans,None,None,None,Android Tail,Plasma,Recon Drone,None,None,None,None,None,None,None,None,26.68453440308602,2305
2305,No,No,Portrait,Day,Augmented,Brilliant Byzantine,Omicron,Rat,Demihumans,Veggies,None,None,None,None,None,None,None,None,None,None,Anger,Moon Band,None,23.396024806300595,2306
2306,No,No,Portrait,Day,Augmented,Raven Onyx,Rho,Kunoichi,Humans,Book,Bubble Gum,None,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.15133565089758,2307
2307,No,No,Portrait,Day,Augmented,Mossy Seaweed,Mu,Kimono Model,Humans,Game Controller,Bandaid,Triangles,None,None,None,None,None,None,None,None,None,None,None,22.320547623664698,2308
2308,No,No,Portrait,Day,Natural,Mossy Seaweed,Xi,Pilot,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.63258086652576,2309
2309,No,No,Portrait,Day,Augmented,Raven Onyx,Kappa,Turtle,Demihumans,Cat,None,None,None,None,None,None,None,None,None,Pig,None,Feather Tiara,None,22.565227070881157,2310
2310,No,No,Portrait,Simple 1,Augmented,Natural Nectarine,Omega,Shiro Ukari,Yokai,Talisman,None,None,None,None,None,None,Gazelle,Uchiwa,None,None,None,None,None,40.55221229358067,2311
2311,No,No,Portrait,Day,Augmented,Polychromatic,Omega,Researcher,Posthumans,None,None,None,Laptop,Fire,Pincer Drone,None,None,None,None,None,None,None,None,26.23751342843811,2312
2312,No,No,Portrait,Day,Augmented,Brilliant Byzantine,Xi,Rapier Mercenary,Humans,Potion Flask,None,Yellow Hearts,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.47186107784479,2313
2313,No,No,Portrait,Day,Augmented,Clay Walnut,Lambda,Boxer,Humans,Game Controller,None,Diamond and Star,None,None,None,None,None,None,Moon Eyepatch,None,None,None,None,22.2779140508861,2314
2314,No,No,Portrait,Day,Augmented,Midnight Plum,Omega,Lance Defender,Humans,Breakfast,None,Dots,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.316422089635946,2315
2315,No,No,Portrait,Day,Augmented,Ultra Violet,Beta,Football Player,Humans,Fast Food,None,Whiskers,None,None,None,None,None,None,Round Glasses,None,None,None,None,22.365949039755378,2316
2316,No,No,Portrait,Day,Augmented,Golden Bronze,Upsilon,Tiger Shark,Demihumans,Raccoon,None,None,None,None,None,None,None,None,None,Goat,None,Turquoise,None,22.601008564736684,2317
2317,No,No,Portrait,Day,Natural,Hunter Green,Omicron,Snake,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.8609537991268984,2318
2318,No,Yes,Portrait,Night,Natural,Mossy Seaweed,Rho,Autumn Student,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.607690140009137,2319
2319,No,No,Portrait,Day,Augmented,Imperial Eggplant,Sigma,Agent,Posthumans,None,None,None,Smartphone,Fire,Recon Drone,None,None,None,None,None,None,None,None,26.827569389067257,2320
2320,No,No,Portrait,Simple 1,Augmented,Concord Grape,Delta,Dragon,Demihumans,Anchor,None,None,None,None,None,None,None,None,None,Ox,None,Crescent,None,34.68296090917142,2321
2321,No,No,Portrait,Day,Augmented,Soot Black,Lambda,Ethereum Cyborg,Posthumans,None,None,None,Earbuds,Water,Recon Drone,None,None,None,None,None,None,None,None,26.99535856337406,2322
2322,No,No,Portrait,Day,Augmented,Hunter Green,Mu,Sentinel,Posthumans,None,None,None,Earbuds,Vitality,Houndstooth Rift,None,None,None,None,None,None,None,None,26.914221630086598,2323
2323,No,No,Portrait,Day,Augmented,Royal Purple,Sigma,Bumblebee,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Monkey,None,Moon Band,None,22.589979052980578,2324
2324,No,No,Portrait,Day,Natural,Midnight Plum,Omega,Liquidator,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.5486723753179297,2325
2325,No,No,Portrait,Day,Natural,Regal Cobalt,Iota,Dark Spirit,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.4744032164213976,2326
2326,No,No,Portrait,Day,Augmented,Princess Iris,Delta,Lance Defender,Humans,None,Bandaid,Spikes,None,None,None,None,None,None,Shades,None,None,None,None,26.21883557663503,2327
2327,No,No,Portrait,Day,Augmented,Raspberry Jam,Tau,Liquidator,Posthumans,None,None,None,Android Tail,Crystal,Checkered Rift,None,None,None,None,None,None,None,None,26.95683208180918,2328
2328,No,No,Portrait,Day,Natural,Flamingo Pink,Phi,Spinosaurus,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.9558569755685642,2329
2329,No,No,Portrait,Day,Augmented,Azure Sky,Iota,Pirate,Humans,Coffee,Leaf,None,None,None,None,None,None,None,Moon Eyepatch,None,None,None,None,22.008318831606275,2330
2330,No,No,Portrait,Day,Natural,Prussian Steel,Alpha,Horse,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7261609381770696,2331
2331,No,No,Portrait,Day,Natural,Celestial Aqua,Xi,Lazy Boy,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.5611955096786163,2332
2332,No,No,Portrait,Day,Natural,Sweet Lime,Upsilon,Pilot,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.7178602662624725,2333
2333,No,No,Portrait,Day,Augmented,Princess Iris,Kappa,Bumblebee,Demihumans,Anchor,None,None,None,None,None,None,None,None,None,Rat,None,Gold,None,22.558367418123424,2334
2334,No,No,Portrait,Day,Augmented,Natural Nectarine,Omega,Axolotl,Demihumans,Campfire,None,None,None,None,None,None,None,None,None,Snake,Proud,None,None,22.89945487217347,2335
2335,No,No,Portrait,Day,Augmented,Orchid Mauve,Theta,Dark Spirit,Posthumans,None,None,None,Android Tail,Vitality,Checkered Rift,None,None,None,None,None,None,None,None,26.892195506685013,2336
2336,No,No,Portrait,Day,Augmented,Prussian Steel,Delta,Wildcat,Demihumans,None,None,None,None,None,None,None,None,None,None,Ox,Love,Gold,None,26.997172672783233,2337
2337,No,No,Portrait,Day,Augmented,Emerald Seafoam,Zeta,Tiger Shark,Demihumans,Anchor,None,None,None,None,None,None,None,None,None,Horse,None,Moon Band,None,22.55972676766408,2338
2338,No,No,Portrait,Day,Augmented,Raspberry Jam,Sigma,Triceratops,Demihumans,Fish,None,None,None,None,None,None,None,None,None,Pig,Anger,None,None,22.85681303634513,2339
2339,No,No,Portrait,Day,Augmented,Cedar Caramel,Tau,Kitsune,Yokai,Bell,None,None,None,None,None,None,Gazelle,Sai,None,None,None,None,None,28.237060861426105,2340
2340,No,No,Portrait,Day,Augmented,Bumblebee Canary,Delta,Spy,Posthumans,None,None,None,Android Tail,Water,Hand Rift,None,None,None,None,None,None,None,None,26.921086925693714,2341
2341,No,No,Portrait,Day,Augmented,Brilliant Byzantine,Mu,Hammer Paladin,Humans,Breakfast,Toast,Star Scar,None,None,None,None,None,None,None,None,None,None,None,22.25865342394667,2342
2342,No,No,Portrait,Day,Augmented,Natural Nectarine,Omega,Hammer Paladin,Humans,Breakfast,Toast,Spikes,None,None,None,None,None,None,None,None,None,None,None,22.320522435939143,2343
2343,No,No,Portrait,Day,Natural,Magenta Blush,Mu,Swordfish,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.9283535333764428,2344
2344,No,No,Portrait,Day,Augmented,Great Pearl,Sigma,Tonfa Guard,Humans,Fast Food,Toast,None,None,None,None,None,None,None,Round Glasses,None,None,None,None,22.119727043293572,2345
2345,No,No,Portrait,Day,Augmented,Cedar Caramel,Sigma,House Cat,Demihumans,Butterflies,None,None,None,None,None,None,None,None,None,Rabbit,Proud,None,None,22.822440583724163,2346
2346,No,No,Portrait,Day,Natural,Atomic Acid,Delta,Ancient Prince,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7358861794225084,2347
2347,No,No,Portrait,Day,Augmented,Lilac Lavender,Lambda,Swimmer,Humans,Potion Flask,None,Whiskers,None,None,None,None,None,None,Moon Eyepatch,None,None,None,None,22.41133544910543,2348
2348,No,No,Portrait,Day,Augmented,Celestial Aqua,Omicron,Tyrannosaurus Rex,Demihumans,None,None,None,None,None,None,None,None,None,None,Snake,Dazzled,Emerald,None,27.016429582644612,2349
2349,No,No,Capsule,N/A,Augmented,Stormy Fossil,Delta,Autumn Student,Humans,None,Popsicle,Tear Drops,None,None,None,None,None,None,Monocle,None,None,None,None,51.7146499871769,2350
2350,No,No,Portrait,Day,Augmented,Scarlet Ruby,Theta,Tyrannosaurus Rex,Demihumans,Raccoon,None,None,None,None,None,None,None,None,None,Dragon,None,Turquoise,None,22.662881565541618,2351
2351,No,No,Portrait,Day,Augmented,Imperial Eggplant,Tau,Dragon,Demihumans,Raccoon,None,None,None,None,None,None,None,None,None,Snake,Dazzled,None,None,22.68492916142017,2352
2352,No,No,Portrait,Day,Augmented,Orchid Mauve,Zeta,Officer,Posthumans,None,None,None,Laser Sword,Lightning,Repair Drone,None,None,None,None,None,None,None,None,26.97198010921112,2353
2353,No,No,Portrait,Day,Augmented,Regal Cobalt,Lambda,Angler Fish,Demihumans,Raccoon,None,None,None,None,None,None,None,None,None,Dragon,Love,None,None,22.702803731490597,2354
2354,No,No,Portrait,Day,Augmented,Ultra Violet,Gamma,Broadsword Vanguard,Humans,None,Leaf,Star Scar,None,None,None,None,None,None,Round Glasses,None,None,None,None,26.19270428708978,2355
2355,No,No,Portrait,Day,Augmented,Lapis Lazuli,Alpha,Ethereum Cyborg,Posthumans,None,None,None,Tablet,Forest,Spirit Eyes,None,None,None,None,None,None,None,None,26.790412856362373,2356
2356,No,No,Portrait,Day,Augmented,Lapis Lazuli,Gamma,Ibaraki-Doji,Yokai,Umbrella,None,None,None,None,None,None,Antelope,Kunai,None,None,None,None,None,28.193042609324436,2357
2357,No,No,Portrait,Day,Augmented,Aegean Sea,Beta,Cow,Demihumans,Raccoon,None,None,None,None,None,None,None,None,None,Rat,Anger,None,None,22.79769493509179,2358
2358,No,No,Portrait,Day,Augmented,Atomic Acid,Delta,Tennis Player,Humans,Book,Bandaid,Blue Hearts,None,None,None,None,None,None,None,None,None,None,None,22.331562132430548,2359
2359,No,No,Portrait,Day,Augmented,Polychromatic,Omega,Ancient Captain,Humans,Fast Food,Toast,Red Hearts,None,None,None,None,None,None,None,None,None,None,None,21.582058234514783,2360
2360,No,No,Portrait,Day,Augmented,Princess Iris,Theta,Tonfa Guard,Humans,Bomb,Popsicle,None,None,None,None,None,None,None,Shades,None,None,None,None,22.086703340070674,2361
2361,No,No,Portrait,Day,Augmented,Azure Sky,Iota,Dragon,Demihumans,None,None,None,None,None,None,None,None,None,None,Monkey,Dazzled,Emerald,None,27.08793613539775,2362
2362,No,No,Portrait,Day,Augmented,Dark Cerulean,Xi,Infiltrator,Posthumans,None,None,None,Smartphone,Energy,Hand Rift,None,None,None,None,None,None,None,None,26.929342267165246,2363
2363,No,No,Portrait,Day,Augmented,Candy Rose,Epsilon,Officer,Posthumans,None,None,None,Laptop,Crystal,Hand Rift,None,None,None,None,None,None,None,None,26.985726392966093,2364
2364,No,No,Portrait,Day,Augmented,Mint Pistachio,Iota,Axolotl,Demihumans,Fish,None,None,None,None,None,None,None,None,None,Rabbit,Proud,None,None,22.766058661100374,2365
2365,No,No,Portrait,Day,Augmented,Glacier Blue,Tau,Lance Defender,Humans,None,Star,Whiskers,None,None,None,None,None,None,Star Eyepatch,None,None,None,None,26.288960894341546,2366
2366,No,No,Portrait,Day,Augmented,Butterscotch Sepia,Delta,Evil Clown,Posthumans,None,None,None,Laptop,Forest,Spirit Eyes,None,None,None,None,None,None,None,None,26.89908213536495,2367
2367,No,No,Portrait,Day,Natural,Bumblebee Canary,Kappa,Baseball Player,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.705620267807943,2368
2368,No,No,Capsule,N/A,Augmented,Concord Grape,Alpha,Tyrannosaurus Rex,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Snake,Anger,None,None,48.24601714409389,2369
2369,No,No,Portrait,Day,Natural,Clay Walnut,Lambda,Bear,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.8114404757019149,2370
2370,No,No,Portrait,Day,Augmented,Midnight Plum,Omega,Tyrannosaurus Rex,Demihumans,Anchor,None,None,None,None,None,None,None,None,None,Rabbit,Anger,None,None,22.74541900412083,2371
2371,No,No,Portrait,Day,Augmented,Bumblebee Canary,Iota,Phantom Nun,Posthumans,None,None,None,Laser Sword,Plasma,Repair Drone,None,None,None,None,None,None,None,None,26.94997119029984,2372
2372,No,No,Portrait,Day,Natural,Slate Gray,Theta,Lance Defender,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7138727184118789,2373
2373,No,No,Portrait,Day,Augmented,Royal Purple,Omicron,Goat,Demihumans,Meat,None,None,None,None,None,None,None,None,None,None,Exasperation,Gold,None,23.499183872073313,2374
2374,No,No,Portrait,Day,Augmented,Forest Shamrock,Lambda,Agent,Posthumans,None,None,None,Earbuds,Water,Hand Rift,None,None,None,None,None,None,None,None,26.893594770541966,2375
2375,No,No,Portrait,Day,Natural,Celestial Aqua,Sigma,Bandit,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.5611992265737179,2376
2376,No,No,Portrait,Day,Natural,Orchid Mauve,Lambda,Wanyudo,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.2872748632101536,2377
2377,No,No,Portrait,Day,Augmented,King Turquoise,Epsilon,Swimmer,Humans,None,Leaf,Diamond and Star,None,None,None,None,None,None,Moon Eyepatch,None,None,None,None,26.133558792768973,2378
2378,No,No,Portrait,Day,Augmented,Mint Pistachio,Iota,Axolotl,Demihumans,Fossil Ammonite,None,None,None,None,None,None,None,None,None,Rat,None,Gold,None,22.547361306688998,2379
2379,No,No,Portrait,Day,Augmented,Forest Shamrock,Rho,Tyrannosaurus Rex,Demihumans,Fossil Ammonite,None,None,None,None,None,None,None,None,None,Monkey,Dazzled,None,None,22.748179684370925,2380
2380,No,No,Portrait,Day,Augmented,Princess Iris,Theta,Ethereum Cyborg,Posthumans,None,None,None,Battery,Ice,Pincer Drone,None,None,None,None,None,None,None,Nyen Cat,40.24836818071059,2381
2381,No,No,Portrait,Day,Augmented,Prussian Steel,Theta,Spear Warrior,Humans,Book,None,Star Scar,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.229812930840325,2382
2382,No,No,Portrait,Day,Augmented,Shamrock Parakeet,Upsilon,Seahorse,Demihumans,Veggies,None,None,None,None,None,None,None,None,None,Monkey,None,Gold,None,22.605129420920832,2383
2383,No,No,Portrait,Simple 1,Natural,Flamingo Pink,Psi,Cow,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.138701728975095,2384
2384,No,No,Portrait,Day,Natural,Vintage Mahogany,Gamma,Ancient Maid,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.6918621460125212,2385
2385,No,No,Portrait,Day,Augmented,Stormy Fossil,Gamma,Tennis Player,Humans,None,Bubble Gum,Tear Drops,None,None,None,None,None,None,Neon Glasses,None,None,None,None,26.195444322658883,2386
2386,No,Yes,Portrait,Night,Natural,Metallic Charcoal,Theta,Tennis Player,Humans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.537556701889066,2387
2387,No,No,Portrait,Day,Natural,Ashen Stone,Beta,Orca,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.8994582576111241,2388
2388,No,No,Portrait,Day,Augmented,Metallic Charcoal,Iota,Baseball Player,Humans,Mask,Popsicle,None,None,None,None,None,None,None,Star Eyepatch,None,None,None,None,22.079850849429704,2389
2389,No,No,Portrait,Day,Augmented,Great Pearl,Psi,Jellyfish,Demihumans,Cat,None,None,None,None,None,None,None,None,None,Monkey,None,Crescent,None,22.482708627519642,2390
2390,No,No,Portrait,Day,Natural,Ashen Stone,Gamma,Wanyudo,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.3065308086765692,2391
2391,No,No,Portrait,Simple 1,Augmented,Polychromatic,Phi,Kijo,Yokai,Flame Earring,None,None,None,None,None,None,Antelope,Tetsubo,None,None,None,None,None,39.73264610540309,2392
2392,No,Yes,Capsule,N/A,Augmented,Vintage Mahogany,Alpha,Onryo,Yokai,Cucumber,None,None,None,None,None,None,Goat,Tetsubo,None,None,None,None,None,67.07631379269749,2393
2393,No,No,Portrait,Day,Augmented,Silver Cloud,Beta,Spy,Posthumans,None,None,None,Battery,Ice,Hexagonal Rift,None,None,None,None,None,None,None,None,26.9403307602876,2394
2394,No,No,Portrait,Day,Natural,King Turquoise,Lambda,Hacker,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.5445546863703994,2395
2395,No,No,Portrait,Day,Natural,Soot Black,Omicron,Kappa,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.3615572383333667,2396
2396,No,No,Portrait,Day,Augmented,Royal Purple,Phi,Rat,Demihumans,None,None,None,None,None,None,None,None,None,None,Monkey,Proud,Moon Band,None,27.18419398115719,2397
2397,No,No,Capsule,N/A,Augmented,Butterscotch Sepia,Zeta,Bandit,Humans,Coffee,Popsicle,Red Hearts,None,None,None,None,None,None,None,None,None,None,None,47.72220868550768,2398
2398,No,No,Portrait,Day,Augmented,Soot Black,Iota,Kimono Model,Humans,Fast Food,None,Scar,None,None,None,None,None,None,Star Eyepatch,None,None,None,None,22.510357553551135,2399
2399,No,No,Portrait,Day,Natural,Orchid Mauve,Iota,Hitotsume-Kozo,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.287273073214552,2400
2400,No,No,Portrait,Day,Natural,Celestial Aqua,Xi,Officer,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.4551478215891687,2401
2401,No,No,Capsule,N/A,Augmented,Butterscotch Sepia,Zeta,Tonfa Guard,Humans,Coffee,Popsicle,None,None,None,None,None,None,None,Moon Eyepatch,None,None,None,None,47.565413240119824,2402
2402,No,No,Portrait,Day,Augmented,Hidden Ruby,Upsilon,Ape,Demihumans,None,None,None,None,None,None,None,None,None,None,Dragon,Exasperation,Emerald,None,27.244706121020723,2403
2403,No,No,Portrait,Day,Augmented,Slate Gray,Iota,Football Player,Humans,Fast Food,Heart,Yellow Hearts,None,None,None,None,None,None,None,None,None,None,None,22.335685880976346,2404
2404,No,No,Portrait,Day,Augmented,Royal Purple,Upsilon,Spring Model,Humans,Toy Cars,Bubble Gum,Tear Drops,None,None,None,None,None,None,None,None,None,None,None,22.269643432768973,2405
2405,No,No,Portrait,Day,Natural,Lilac Lavender,Psi,Octopus,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.9200986063364904,2406
2406,No,No,Portrait,Day,Augmented,Glacier Blue,Phi,Hammer Paladin,Humans,Toy Cars,Toast,Whiskers,None,None,None,None,None,None,None,None,None,None,None,22.298525079095665,2407
2407,No,No,Portrait,Day,Augmented,Mint Pistachio,Iota,Earth Spirit,Posthumans,None,None,None,Tablet,Ice,Ethereum,None,None,None,None,None,None,None,None,26.853701505646217,2408
2408,No,No,Portrait,Day,Augmented,Forest Shamrock,Beta,Tengu,Yokai,None,None,None,None,None,None,Bat,Rhino,Cursed Tanto,None,None,None,None,None,33.903616966109574,2409
2409,No,No,Portrait,Day,Augmented,Great Pearl,Psi,Spirit Detective,Posthumans,None,None,None,Laptop,Lightning,Hexagonal Rift,None,None,None,None,None,None,None,None,26.900467775698502,2410
2410,No,No,Portrait,Day,Augmented,Electric Fuschia,Delta,Squid,Demihumans,Veggies,None,None,None,None,None,None,None,None,None,Tiger,None,Crescent,None,22.34795127761157,2411
2411,No,No,Portrait,Day,Augmented,Brilliant Byzantine,Epsilon,Host,Posthumans,None,None,None,Tablet,Energy,Pincer Drone,None,None,None,None,None,None,None,None,26.90595610452007,2412
2412,No,No,Portrait,Day,Augmented,Regal Cobalt,Xi,Tonfa Guard,Humans,Mask,Bandaid,None,None,None,None,None,None,None,Monocle,None,None,None,None,22.02483020022748,2413
2413,No,No,Portrait,Day,Augmented,Ultra Violet,Epsilon,Ancient General,Humans,None,Popsicle,Whiskers,None,None,None,None,None,None,Round Glasses,None,None,None,None,26.170691513952633,2414
2414,No,No,Portrait,Day,Augmented,Hunter Green,Mu,Winter Student,Humans,None,Bandaid,Diamond and Star,None,None,None,None,None,None,Shades,None,None,None,None,26.236714003462076,2415
2415,No,No,Portrait,Day,Augmented,Golden Bronze,Upsilon,Hacker,Posthumans,None,None,None,Android Tail,Lightning,Hexagonal Rift,None,None,None,None,None,None,None,None,26.894961416968926,2416
2416,No,No,Portrait,Day,Augmented,Shamrock Parakeet,Lambda,Cyber Samurai,Posthumans,None,None,None,Battery,Fire,Houndstooth Rift,None,None,None,None,None,None,None,None,26.89633246557276,2417
2417,No,No,Portrait,Day,Augmented,Queen Pink,Phi,Lazy Boy,Humans,Mask,Bubble Gum,Diamond and Star,None,None,None,None,None,None,None,None,None,None,None,22.25450999401718,2418
2418,No,No,Portrait,Day,Augmented,Scarlet Ruby,Theta,Mysterious Doll,Posthumans,None,None,None,Laser Sword,Lightning,Repair Drone,None,None,None,None,None,None,None,None,26.99948836950573,2419
2419,No,No,Portrait,Day,Augmented,Lapis Lazuli,Beta,Goat,Demihumans,Fish,None,None,None,None,None,None,None,None,None,None,Proud,Moon Band,None,23.350643902804556,2420
2420,No,No,Portrait,Day,Augmented,Glacier Blue,Phi,Ancient Prince,Humans,Mask,None,Yellow Hearts,None,None,None,None,None,None,Square Glasses,None,None,None,None,22.495217645922448,2421
2421,No,No,Portrait,Day,Natural,Marmalade Apricot,Kappa,Goat,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.932476868588333,2422
2422,No,No,Portrait,Day,Augmented,Lilac Lavender,Rho,Spider,Demihumans,Cat,None,None,None,None,None,None,None,None,None,Tiger,None,Turquoise,None,22.61748304379449,2423
2423,No,No,Portrait,Day,Augmented,Candy Rose,Omicron,Spirit Detective,Posthumans,None,None,None,Android Tail,Holy,Spirit Eyes,None,None,None,None,None,None,None,None,26.97472303461113,2424
2424,No,No,Portrait,Day,Natural,Hunter Green,Tau,Megalodon,Demihumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.86095737869123,2425
2425,No,No,Portrait,Day,Augmented,Candy Rose,Lambda,Mysterious Doll,Posthumans,None,None,None,Laptop,Earth,Checkered Rift,None,None,None,None,None,None,None,None,26.951339485366848,2426
2426,No,No,Portrait,Day,Augmented,Natural Nectarine,Rho,Ethereum Cyborg,Posthumans,None,None,None,Smartphone,Vitality,Tentacle Rift,None,None,None,None,None,None,None,None,27.02973817439191,2427
2427,No,No,Portrait,Day,Augmented,Forest Shamrock,Sigma,DJ,Posthumans,None,None,None,Tablet,Energy,Recon Drone,None,None,None,None,None,None,None,None,26.8481925320217,2428
2428,No,No,Portrait,Day,Augmented,Brilliant Byzantine,Mu,Broadsword Vanguard,Humans,None,Star,Scar,None,None,None,None,None,None,Star Eyepatch,None,None,None,None,26.266970968635565,2429
2429,No,No,Portrait,Day,Augmented,Coral Peach,Omicron,Angler Fish,Demihumans,Raccoon,None,None,None,None,None,None,None,None,None,Horse,None,Gold,None,22.67938137297926,2430
