,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
1118,None,None,Raider,Smile,Green,Demon,Long Twintail,Blue,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,14.667463047049612,1119
1119,None,Ushanka,Choker Corset,Grunt,Blue,Demon,Straight Headband,Blue,Chains,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,43.4874582547028,1120
1120,Darker Open R,None,Rebel,Meh,Silver,Darker,Short Spiky,Red,None,Scar 2,None,None,None,None,None,None,None,Apple,None,None,None,None,45.54493138038019,1121
1121,Default Open L,None,Azure Gaiden,Open,Black,Default,Academy,Dark,None,None,Bat,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,39.032915539987165,1122
1122,Fiend Open R,None,Green Open Vest,Mask,Void,Fiend,Side Fringe,Red,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,34.3503308354838,1123
1123,Default Hand Face,White Bucket Hat,Black Varsity Jacket,Hmm,Eye Cover,Default,Straight Headband,Blue,None,None,Minigun,None,None,None,None,None,None,None,None,None,None,None,36.525991118622706,1124
1124,None,None,Black Haus T-Shirt,Biting Lips,Red,Darker,Straight Headband,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.600361093966498,1125
1125,None,None,Heart Halter,Meh,Pink,Dark,Long Locks,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5043630990536103,1126
1126,None,None,Night Witch,Grunt,Pink,Darker,Long Flowy Locks,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.9277666234426025,1127
1127,None,None,Green Haus T-Shirt,Mask,Hazel,Fiend,Buzz Cut,Navy,None,None,None,None,None,None,None,None,Chain Necklace,None,None,None,None,None,21.653121152106518,1128
1128,Dark Hold,None,Blue Varsity Jacket,Biting Lips,Red,Dark,Hime Ponytail,Blue,None,None,None,None,None,None,None,None,None,None,None,Revolver,None,None,27.681341826700894,1129
1129,Default Hand Palm,Hat,Blood Gaiden,Bland,Eye Cover,Default,Long Flowy Locks,White,None,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,43.05525231321624,1130
1130,None,None,Sky Haus Hoodie,Face Mask,Blue,Darker,Messy,Dark,Cash,None,Bazooka,None,None,None,None,None,None,None,None,None,None,None,30.687023231323085,1131
1131,None,None,Dark WAGMI Bomber,Pout,Hazel,Dark,Bangs Short,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.48001895605187,1132
1132,Dark Hold,None,Green Varsity Jacket,Grunt,Silver,Dark,Bowl Cut,Off White,None,None,M4,None,None,None,None,None,Big Headphone,None,None,Revolver,None,None,55.59226409786191,1133
1133,Default Hand Palm,None,Black Haus T-Shirt,Hmm,Pink,Default,Shag,Light Purple,None,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,28.823023974655833,1134
1134,None,Ushanka,Leather Coat,Bubblegum,Pink,Darker,Clean,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.20028248170804,1135
1135,None,Beanie,Bikini,Grunt,Red,Dark,Bun,Navy,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,26.971961675924007,1136
1136,None,None,Heart Halter,Big Smile,Red,Dark,Bob,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.691716968056795,1137
1137,None,None,Violet Gown,Grunt,Green,Dark,Twin Bun,Dark,None,None,Bat,None,None,None,None,None,Chain Necklace,None,None,None,None,None,29.31245529834446,1138
1138,None,None,Light Bomber,Grin,Green,Dark,Spiky,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3740197082547274,1139
1139,Default Hand ETH,None,Gate Guardian,Grin,Blue,Default,Shag,Blue,None,Clear Glasses,M4,None,None,None,None,None,None,None,None,None,None,None,36.20441826839085,1140
1140,Demon Open L,None,Light Technocoat,Smile,Eye Cover,Demon,Spiky,Light Purple,None,None,None,phase.module [a globe is rolling] v0.03,Oni Half Mask,None,None,Swords,None,None,None,None,None,None,63.17039718878801,1141
1141,Default Hand ETH,None,Blue Racer,Hmm,Green,Default,Bun,Dark,None,Scar,None,None,None,None,None,None,None,None,None,None,None,None,26.282810185030325,1142
1142,None,None,Blue Male Yukata,Open,Pink,Dark,Short Spiky,Light Purple,None,None,None,None,None,None,None,None,Chain Necklace,None,None,None,None,None,18.19835893935298,1143
1143,Dark Open L,None,Pink Ribbonstar,Mumble,Closed,Dark,Short Ponytail,Blue,None,None,Dark Machete,phase.module [the generation] v0.02,None,None,Ring,None,None,None,None,None,None,None,53.87916672268304,1144
1144,Default Open L,None,Black Koi Tees,Pout,Red,Default,Twin Bun,Blue,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,25.896778753341987,1145
1145,Fiend Hand ETH,None,Black Haus Hoodie,Big Smile,Closed,Fiend,Bowl Cut,Red,None,None,Great Sword,None,None,None,None,None,None,None,None,None,None,None,27.57387374149169,1146
1146,Default Hold,None,Koi Tees,Big Smile,Closed,Default,Twin Bun,Blue,None,None,None,None,None,None,None,Ribcage,None,None,None,Revolver,None,None,40.84507217401791,1147
1147,None,None,Serpent Raider,Mask,Closed,Pale,Straight Headband,Red,None,None,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,16.96488754433877,1148
1148,None,None,Jet Leather Coat,Pout,Green,Darker,Long Fringe,Dark,None,None,None,None,None,None,Dot,None,None,None,None,None,None,None,19.62161846318233,1149
1149,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Sunchild,29.827166148931756,1150
1150,Default Open R,None,Pretty Half Yukata,Smile,Blue,Default,Bun,White,None,None,None,None,None,None,None,None,None,Compass,None,None,None,None,28.972506028842304,1151
1151,None,HAUS Cap,Streetsuit,Mumble,Blue,Dark,Side Fringe,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.711719981017442,1152
1152,Default Hand ETH,None,Red Sidebelt,Smile,Pink,Default,Bangs Short,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.083965732591532,1153
1153,None,Beanie,Maid,Mumble,Eye Cover,Darker,Long Locks,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.396632561201816,1154
1154,None,None,White Open Vest,Hmm,Closed,Fiend,Clean,Light Purple,None,Sunglasses,None,None,Smoke,None,None,None,None,None,None,None,None,None,35.83898799367507,1155
1155,Default Hand Palm,None,Black Koi Tees,Mask,Closed,Default,Long Flowy Locks,Navy,None,None,None,None,None,None,None,None,None,None,Knife,None,None,None,28.299997820380028,1156
1156,None,None,Racer,A,Red,Dark,Long Twintail,Green Gray,None,Browline Glasses,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,28.202188180912703,1157
1157,None,None,Brown Koi Tees,A,Red,Dark,Hime Ponytail,Green Gray,None,None,Red Excalibur,None,None,None,None,None,None,None,None,None,None,None,13.949676995574075,1158
1158,None,None,Knight,Grin,Black,Darker,Slick Back,Navy,White Petals,None,Blue Saber,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,46.36104213860549,1159
1159,None,None,Streetsuit,Open,Closed,Dark,Long Fringe,Light Purple,Cash,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,28.76169333690692,1160
1160,None,None,Black Varsity Jacket,Mask,Pink,Darker,Bob,Blue,None,None,None,None,None,None,None,None,Dark Headphone,None,None,None,None,None,17.809148332004703,1161
1161,None,Bandana,Street Agent,Smile,Blue,Demon,Long Fringe,Off White,None,None,Broken Katana,None,None,None,None,None,None,None,None,None,None,None,29.78011591510816,1162
1162,None,None,Blood Worshipper,Mask,Black,Demon,Short Ponytail,Purple,Lightning,None,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,32.294388250300166,1163
1163,None,None,Dark Asian Top,Smile,Silver,Dark,Bob,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.493927109142694,1164
1164,None,None,White Asian Top,Meh,Void,Pale,Long Locks,Navy,None,None,Bat,None,None,None,None,Duality Skulls,None,None,None,None,None,None,33.670659755240145,1165
1165,None,None,Navy Ether,Hmm,Blue,Darker,Bob,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.9225552418806577,1166
1166,None,None,Red Halter,Grin,Pink,Dark,Long Side Swept,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3914097761559865,1167
1167,None,Spacehelm,Lumberjack,Grunt,Pink,Demon,Bowl Cut,Off White,White Petals,None,None,None,None,None,None,None,None,None,None,None,None,None,33.70176757645725,1168
1168,None,Ushanka,Blue Varsity Jacket,A,Silver,Darker,Short Spiky,Light Purple,None,None,None,None,None,None,Dice,None,Big Headphone,None,None,None,None,None,48.831678852458346,1169
1169,None,Agent Hat,Turtleneck Blazer,Big Smile,Blue,Darker,Shag,Purple,Ambers,None,Red Tech Sword,None,None,None,None,None,None,None,None,None,None,None,43.99649819830113,1170
1170,None,None,Street Agent,Hmm,Green,Dark,Side Fringe,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3514309583519593,1171
1171,None,None,Sky Haus Hoodie,Meh,Black,Dark,Twin Bun,Purple,None,None,Sawn-off,None,None,None,None,Evil Wings,None,None,None,None,None,None,29.032761140949347,1172
1172,Dark Hold,HAUS Cap,Bomber,Mumble,Silver,Dark,Clean,Light Purple,None,None,None,None,None,None,Silver,None,None,None,None,Soda,None,None,58.12871958383611,1173
1173,Default Open R,None,Rocker,Mask,Green,Default,Bangs Short,Light Purple,Feathers,None,None,None,Bow,None,None,None,None,Bitten Apple,None,None,None,None,60.15622012120356,1174
1174,None,None,Red Yakuza Yukata,Mask,Black,Pale,Short Fringe,Dark,Exalted Flame,None,None,None,None,None,None,None,None,None,None,None,None,None,21.43246379285664,1175
1175,Default Hand Face,None,Chain Yellow Shirt,Open,Blue,Default,Short Fringe,Blue,Feathers,None,None,None,None,None,None,None,None,None,None,None,None,None,25.94916612920447,1176
1176,None,None,Nu Sailor,Mask,Blue,Darker,Long Twintail,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1603039122318606,1177
1177,Darker Hand Palm,None,Black Koi Tees,Open,Hazel,Darker,Academy,White,None,None,None,None,None,None,None,Tomoe,None,None,Cutter,None,None,None,45.94275478107367,1178
1178,None,None,Metal,A,Closed,Dark,Two Block,Dark,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,13.379682124920809,1179
1179,Default Open L,None,Light Technocoat,Open,Blue,Default,Short Fringe,Dark,None,None,Red Tech Sword,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,39.025959379561606,1180
1180,None,None,Green Haus T-Shirt,Meh,Blue,Fiend,Spiky,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.931653357415027,1181
1181,None,Light HAUS Cap,Ronin,Grunt,Pink,Demon,Hime Ponytail,Off White,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,29.726240773115837,1182
1182,None,Spacehelm,Rocker,Hmm,Void,Dark,Long Flowy Locks,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.73006398307503,1183
1183,Default Hand ETH,None,Formal Shirt,Open,Pink,Default,Bowl Cut,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.12395028700466,1184
1184,Dark Open L,None,Blazer,Pout,Hazel,Dark,Long Twintail,Blue,None,Splatter,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,40.924925498559375,1185
1185,None,None,White Sidebelt,A,Pink,Darker,Bangs Short,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3619222446725927,1186
1186,Default Hold,None,Gate Guardian,Face Mask,Green,Default,Long Fringe,Blue,None,None,None,None,None,None,None,None,None,None,None,Card,None,None,26.26174451468881,1187
1187,Default Hold,None,Half Yukata,Pout,Void,Default,Braided Bun,Green Gray,None,None,Sawn-off,None,None,None,None,Corrupted Skulls,None,None,None,Broken Arrow,None,None,55.58547862006187,1188
1188,None,Beanie,Dark Side Shirt,Toothpick,Silver,Pale,Hime Cut,Off White,None,None,Bat,None,None,None,Dice,None,None,None,None,None,None,None,47.65394502724003,1189
1189,Default Hand Face,None,Red Rebel,Mask,Pink,Default,Side Fringe,Purple,None,None,M4X,None,None,Fangs,None,None,None,None,None,None,None,None,40.278752554320505,1190
1190,None,None,City Assassin,Meh,Black,Dark,Long Side Swept,Off White,None,Clear Glasses,None,None,None,None,None,None,None,None,None,None,None,None,16.72482390286232,1191
1191,Default Hand Palm,Beanie,Mono Side Shirt,Big Smile,Hazel,Default,Straight Headband,Red,None,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,41.990154528798854,1192
1192,None,None,Male Yukata,Censored,Black,Darker,Side Fringe,Blue,None,None,None,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,18.86914359326092,1193
1193,None,Ushanka,Blue Varsity Jacket,Biting Lips,Silver,Dark,Bob,Purple,None,Mark,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,42.13386888412192,1194
1194,None,Spacehelm,White MURI Hoodie,Open,Hazel,Dark,Bangs Short,Purple,None,White Browline Sunglasses,Great Sword,None,None,None,None,None,None,None,None,None,None,None,41.43014766173656,1195
1195,None,Blue Cap,Haus Denim,Grunt,Silver,Dark,Spiky,Red,Feathers,Browline Glasses,Red Sheathed Katana,None,None,None,None,Angel Wings,None,None,None,None,None,None,71.85260218991654,1196
1196,None,None,Metal,Meh,Black,Darker,Clean,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.011183379855323,1197
1197,None,None,Metal,Big Smile,Hazel,Dark,Two Block,Off White,None,None,None,None,None,None,None,Bats,None,None,None,None,None,None,17.581478649846886,1198
1198,None,None,Dark Side Shirt,Smile,Black,Dark,Twin Bun,White,None,None,None,None,None,None,None,Corrupted Skulls,Dark Headphone,None,None,None,None,None,33.171597132642546,1199
1199,None,None,Navy Street Agent,Hmm,Hazel,Dark,Bowl Cut,Red,None,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,13.987905991356882,1200
1200,None,None,Heart Halter,Grunt,Closed,Darker,Hime Ponytail,Green Gray,None,None,None,None,None,None,None,None,Big Headphone,None,None,None,None,None,18.822256948258513,1201
1201,None,None,Leather Coat,Bland,Green,Dark,Side Fringe,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.379213177983864,1202
1202,Demon Hand Palm,None,Brown Koi Tees,Mumble,Hazel,Demon,Hime Ponytail,Blue,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,30.40763560010898,1203
1203,None,Newsboy Hat,Navy Street Agent,Mask,Silver,Fiend,Shag,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.74331413907387,1204
1204,None,None,White Streetsuit,Censored,Red,Fiend,Buzz Cut,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.106461832843418,1205
1205,None,None,Yakuza Yukata,Grin,Black,Fiend,Short Fringe,White,None,None,None,None,None,None,Cross,None,None,None,None,None,None,None,21.891186824734767,1206
1206,Default Hand ETH,None,Koi Tees,A,Red,Default,Bob,Green Gray,None,None,Shotgun,None,Gas Mask,None,None,None,None,None,None,None,None,None,39.28325726356148,1207
1207,None,None,MURI Hoodie,Bland,Icevision,Darker,Clean,Off White,None,None,Broken Katana,None,None,None,None,None,None,None,None,None,None,None,17.112501355084444,1208
1208,None,Blue Cap,Dark Asian Top,Mumble,Green,Dark,Bob,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.490999850284274,1209
1209,None,None,Open Vest,Mask,Blue,Fiend,Slick Back,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.053287101151208,1210
1210,Default Hold,None,White Yukata Varsity,Mumble,Green,Default,Clean,Off White,None,None,Excalibur,None,None,None,None,Quiver,None,None,None,Broken Arrow,None,None,54.53259428233398,1211
1211,Default Hand ETH,None,Male Yukata,Grunt,Blue,Default,Messy,Blue,None,None,None,None,None,None,None,Ribcage,None,None,None,None,None,None,25.426055460463488,1212
1212,None,Badges Cap,Blazer,Open,Closed,Pale,Long Locks,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.0030481960578,1213
1213,None,None,Victorian Blazer,Smile,Hazel,Demon,Buzz Cut,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.2329631819395015,1214
1214,Darker Hand ETH,Ushanka,Dark Ronin,Hmm,Hazel,Darker,Hime Ponytail,White,None,None,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,39.166803271837495,1215
1215,Default Hand ETH,None,Jet Leather Coat,Meh,Silver,Default,Long Fringe,Blue,None,White Browline Sunglasses,Dark Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,36.30345683012149,1216
1216,Darker Open R,None,White Ether,Open,Green,Darker,Twin Bun,Light Purple,None,None,None,None,None,None,None,None,None,Compass,None,None,None,None,31.008872169002377,1217
1217,None,Navy Beanie,White Haus Hoodie,Open,Hazel,Fiend,Side Fringe,Purple,None,None,Great Sword,None,None,None,None,None,None,None,None,None,None,None,30.720213152811887,1218
1218,None,None,Rocker,Pout,Hazel,Darker,Twin Bun,White,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,15.367748962719155,1219
1219,None,None,Red Trainer,Hmm,Blue,Dark,Bun,Navy,None,None,M4,None,None,None,None,None,None,None,None,None,None,None,13.803706067549024,1220
1220,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Murikai,29.827166148931756,1221
1221,Default Hand ETH,Dark Spacehelm,Raider,Bland,Green,Default,Braided Bun,Green Gray,White Petals,None,Bazooka,None,None,None,None,None,None,None,None,None,None,None,51.97013786165008,1222
1222,None,Hat,Raider,Meh,Silver,Fiend,Bangs Short,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.25341859234732,1223
1223,Darker Hand ETH,None,Black Haus Hoodie,Mask,Green,Darker,Hime Ponytail,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14.235198452905063,1224
1224,None,None,Black Haus Hoodie,Bland,Blue,Darker,Long Twintail,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.621889477987867,1225
1225,Default Open L,None,Light Open Jacket,Grunt,Red,Default,Short Fringe,Blue,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,25.750807649189422,1226
1226,None,None,Dark Ronin,Bubblegum,Black,Fiend,Academy,Dark,None,None,None,None,None,None,None,Wind,None,None,None,None,None,None,22.254439451795,1227
1227,Default Hand ETH,Navy Beanie,City Assassin,Grin,Closed,Default,Academy,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24.765838783557662,1228
1228,Dark Hold,None,Blood Formal Dress,Mask,Blue,Dark,Bob,Navy,None,White Browline Sunglasses,Bat,None,None,None,None,None,None,None,None,Revolver,None,None,54.4838829203897,1229
1229,Default Hold,None,Rebel,Face Mask,Closed,Default,Bowl Cut,Blue,None,None,Great Sword,None,None,None,None,Evil Wings,None,None,None,Card,None,None,52.492872298096096,1230
1230,Default Hand ETH,None,Mono Side Shirt,Bland,Green,Default,Hime Ponytail,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.19495902684603,1231
1231,None,None,Violet Gown,Big Smile,Silver,Dark,Short Ponytail,Red,None,Scar 2,Red Tech Sword,None,None,None,None,None,None,None,None,None,None,None,28.309939508291983,1232
1232,Dark Hand ETH,None,Chain Shirt,Biting Lips,Closed,Dark,Spiky,Dark,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,24.64059950931331,1233
1233,Dark Hand ETH,Navy Beanie,Technocoat,Grunt,Hazel,Dark,Two Block,Blue,None,None,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,35.90710509027469,1234
1234,Default Open L,None,Black Fur Coat,Grin,Blue,Default,Spiky,Blue,None,None,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,26.20611258961198,1235
1235,None,None,City Assassin,Grunt,Black,Darker,Braided Bun,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.853030639429897,1236
1236,None,None,Dark Techno Biker,Smile,Black,Dark,Buzz Cut,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5860388946896067,1237
1237,None,None,Dark Streetsuit,Bland,Black,Dark,Shag,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3687764970874565,1238
1238,None,None,White Asian Top,Hmm,Hazel,Dark,Long Flowy Locks,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3861689973670765,1239
1239,None,None,Light Open Jacket,Bland,Silver,Dark,Spiky,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.3965755871996954,1240
1240,Dark Open L,None,Skelly Jacket,Hmm,Blue,Dark,Clean,Green Gray,None,None,Swift Katana,phase.module [a globe is rolling] v0.03,None,None,None,None,Big Headphone,None,None,None,None,None,55.50536126908929,1241
1241,Default Open R,None,Heart Halter,Pout,Red,Default,Bangs Short,White,None,None,None,None,Dark Side Mask,None,None,None,None,Flame,None,None,None,None,44.90209535500773,1242
1242,None,None,Dark Ronin,Grunt,Black,Darker,Academy,Green Gray,None,None,Broken Katana,None,None,None,None,None,None,None,None,None,None,None,15.459867529888136,1243
1243,None,None,Racer,Grunt,Silver,Fiend,Long Flowy Locks,Dark,None,Mark,Dark Edge,None,None,None,None,None,None,None,None,None,None,None,31.860067429019388,1244
1244,None,None,Black Haus Hoodie,Mumble,Blue,Darker,Shag,White,None,None,Bat,None,None,None,None,None,None,None,None,None,None,None,15.30519896021574,1245
1245,None,None,Red Asian Top,A,Pink,Dark,Short Ponytail,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.8359584226258576,1246
1246,None,None,Light Open Jacket,Hmm,Blue,Demon,Bob,Light Purple,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,16.56863244143123,1247
1247,None,None,Red Trainer,Bland,Blue,Darker,Straight Headband,Purple,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,19.776273467221635,1248
1248,None,Badges Cap,Blue Bulletproof T-Shirt,Mask,Pink,Dark,Two Block,Purple,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,27.25343747284677,1249
1249,None,None,Brown Street Agent,Mask,Closed,Darker,Clean,White,None,None,None,None,Gas Mask,None,None,None,None,None,None,None,None,None,19.162839269939248,1250
1250,None,None,White Leather Coat,Censored,Void,Demon,Spiky,Purple,None,Browline Glasses,None,None,None,None,None,Giant Tomoe,Headphone,None,None,None,None,None,52.47516849808282,1251
1251,Pale Hand ETH,None,Heart Halter,Pout,Eye Cover,Pale,Academy,Blue,None,None,None,None,Side Mask,None,None,None,None,None,None,None,None,None,31.771777809934914,1252
1252,None,None,Male Yukata,Mumble,Hazel,Demon,Buzz Cut,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.6775452272102696,1253
1253,Default Hold,Bandana,Heart Halter,Pout,Magenta Green,Default,Twin Bun,Light Purple,None,None,None,None,None,None,None,None,None,None,None,Revolver,None,None,42.82073270056843,1254
1254,Default Hand Face,Light HAUS Cap,Red Sidebelt,Bland,Closed,Default,Long Locks,Purple,None,None,None,None,None,Silence,None,None,None,None,None,None,None,None,41.13008794814496,1255
1255,None,Light HAUS Cap,Formal Shirt,A,Blue,Darker,Long Fringe,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.117631176006434,1256
1256,Default Open L,None,Shadow Gaiden,Meh,Blue,Default,Bun,Navy,None,None,Red Saber,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,39.28489510428045,1257
1257,None,None,Trainer,Mask,Closed,Dark,Hime Ponytail,Blue,None,None,Excalibur,None,None,None,ETH,None,None,None,None,None,None,None,27.80243674347228,1258
1258,None,None,Light Male Yukata,A,Red,Dark,Clean,Purple,None,None,None,None,None,None,None,Red Swords,None,None,None,None,None,None,17.871714679148994,1259
1259,None,None,Light Technocoat,Grin,Green,Dark,Buzz Cut,Off White,None,Browline Glasses,None,None,None,None,None,None,None,None,None,None,None,None,16.679641179610275,1260
1260,None,None,MURI Hoodie,Big Smile,Closed,Darker,Side Fringe,White,None,None,None,None,None,None,Dice,None,None,None,None,None,None,None,19.223700135269574,1261
1261,None,Bandana,Edge Jacket,Pout,Eye Cover,Demon,Clean,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.599212819888194,1262
1262,None,None,Bulletproof T-Shirt,Pout,Void,Darker,Spiky,White,Feathers,None,None,None,None,None,None,Gilded Tomoe,None,None,None,None,None,None,35.43925759852111,1263
1263,None,None,Light Technocoat,Face Mask,Black,Demon,Short Spiky,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.445006199417095,1264
1264,None,HAUS Cap,Leather Coat,Smile,Pink,Pale,Spiky,Purple,None,None,Excalibur,None,None,None,None,None,None,None,None,None,None,None,30.75323093117696,1265
1265,None,None,Navy Haus T-Shirt,Grin,Green,Fiend,Slick Back,Blue,None,None,None,None,None,None,None,Corrupted Skulls,None,None,None,None,None,None,19.335028316931595,1266
1266,Default Hold,None,Navy Ether,Hmm,Silver,Default,Hime Cut,Red,None,Scar 2,None,None,None,None,None,None,Big Headphone,None,None,Golden Revolver,None,None,58.144494700081395,1267
1267,None,None,Gate Guardian,Grin,Silver,Darker,Short Fringe,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.026815787617942,1268
1268,Default Open L,None,MURI Hoodie,Mumble,Red,Default,Bob,Light Purple,None,None,Excalibur,phase.module [the generation] v0.02,None,None,None,None,Dark Headphone,None,None,None,None,None,54.87998985844512,1269
1269,Default Open R,None,Crimson Blazer,Face Mask,Red,Default,Long Flowy Locks,Green Gray,None,None,None,None,None,None,None,None,None,Dice,None,None,None,None,29.19837477077154,1270
1270,Demon Hold,None,Side Shirt,A,Pink,Demon,Academy,White,None,Stickers,Machete,None,Smoke,None,Dice,None,None,None,None,Broken Arrow,None,None,89.420311615754,1271
1271,Default Hand Face,None,Jeans Hoodie,Grin,Hazel,Default,Bowl Cut,Off White,None,None,None,None,None,None,None,None,Dark Headphone,None,None,None,None,None,27.77717824521992,1272
1272,Demon Hold,Beanie,Orange Camo,Meh,Void,Demon,Shag,Navy,Icy Wind,None,Tech Sword,None,None,None,None,None,None,None,None,Revolver,None,None,72.79302802152668,1273
1273,None,Newsboy Hat,Blood Worshipper,Smile,Blue,Dark,Long Twintail,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.735833210296386,1274
1274,None,None,Choker Corset,Biting Lips,Hazel,Dark,Short Ponytail,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.123058076251551,1275
1275,Default Hand Palm,Badges Cap,Black Haus T-Shirt,Censored,Black,Default,Long Locks,Red,None,Splatter,None,None,None,None,None,Fishes,None,None,Knife,None,None,None,72.4437685773043,1276
1276,Fiend Hand Palm,None,Yellow Trainer,Grunt,Hazel,Fiend,Academy,Off White,None,None,None,None,None,None,None,None,None,None,Knife,None,None,None,32.77082942242352,1277
1277,None,None,Demon Maiden,Smile,Green,Darker,Long Side Swept,Purple,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,15.346917683957992,1278
1278,None,None,Brown Street Agent,Big Smile,Closed,Dark,Short Fringe,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.9604060132935013,1279
1279,Default Open L,Hat,Shadow Gaiden,Hmm,Eye Cover,Default,Hime Cut,White,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,42.06313616430171,1280
