,Back,Outfit,Eyes,Head,Mouth,Regiment,Background,Type,Branch,Glasses,Special,Earring,Mask,Marking,Rarity score,Token Id
2848,Ketchup Dispenser,Chef's WcUniform,Glaring Poppy,Wild Tiger Ao v2,Pog,84,Bluefire,Ao Oni,Support,None,None,None,None,None,41.37520076943974,2848
2849,Rifle Stock Custom Green,Utility Vest Camo Red,Emerald Highlights,Horse Girl Aka,Fang Smirk,05,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,37.32468161619087,2849
2850,Parachute,Fighter Pilot Turtle,Base Iron,Celestial Dreamer ,Plump,76,Airforce,Human,Airforce,None,None,None,None,None,7.87458344239057,2850
2851,Rifle Medic,Field Medic,Obsidian,Bobcut Aka,Saucy Fangs,69,Flaming Hibisucus,Aka Oni,Support,Heartbeat Blue,None,None,None,None,65.56090118459093,2851
2852,MK-14 Amphibious Assault Rifle,Sailor Uniform Osaka,Lined Poppy,Horse Girl Ao,Fang Smirk,30,Bluefire,Ao Oni,Navy,None,None,None,None,None,41.32706119070636,2852
2853,Rifle Navy Gray,Black Rose,Glaring Poppy,Service WcSnapback,Fang Smirk,59,Ocean Blue,Human,Navy,None,None,None,None,None,20.475576965748015,2853
2854,R-H00D Compound Red,Forager's Uniform,Base Iron,Arctic Curtain,Fang Smirk,16,Party Pink,Human,Special Ops,None,None,None,None,None,22.29270886921617,2854
2855,Katana Black,Gusoku,Gazing Russet,Windswept Aka,Fang Smirk,13,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,40.852818314294744,2855
2856,Rifle Primitive,Military Street Jungle,Bold Crimson,Side Pony Aka,Plump,87,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,25.846090909047746,2856
2857,Parachute,Tactical Flight Armor,Peridot Rebel,Kojiroh ,Choco Stick,45,Airforce,Human,Airforce,None,None,None,None,None,22.382329752581445,2857
2858,Ornamental Broadsword,Kimono Hibuscus,Lined Russet,Bobcut,Plump,88,Crimson Records,Human,Historical,None,None,None,None,None,9.082835658580613,2858
2859,Rifle Navy Gray,Able Seaman's Uniform,Dark Crimson,Mewsashi Aka,Plump,72,Flaming Hibisucus,Aka Oni,Navy,None,None,None,None,None,30.101789917388295,2859
2860,Field Medic Kit,Urban Operations,Blithe Russet,Kojiroh Aka,Choco Stick,56,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,39.84663321597679,2860
2861,Rifle Navy Grey,Sailor Stripes,Smug Fern,Fringed Bob,Fang Smirk,22,Ocean Blue,Human,Navy,None,None,None,None,None,19.43717346412196,2861
2862,Rifle Primitive,Military Street Jungle,Basic Wisteria,Fractured Emerald Aka,Plump,67,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,24.82058977328105,2862
2863,Boom Boom Gun,Mr. Scientist,Scarred Slumber,Lawliet ,Plump,83,Red X,Human,Special Ops,None,None,None,None,None,13.547449852473465,2863
2864,Combat Scalpel,Surgeon General,Lined Poppy,Bozo Goth Babe,Plump,09,Healing Pulse,Human,Support,None,None,None,None,None,6.384480316931465,2864
2865,Twin Cyber Swords,BlackPink Mamba,Basic Wisteria,Forest Fire Aka,Plump,87,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,25.157132779056052,2865
2866,Rifle Lucky 8,Military Street Polar,Caelus,Pastel Buns,Choco Stick,64,Army,Human,Army,None,None,None,None,None,15.533673862252732,2866
2867,Rifle Blue,Tracksuit Snood Desert,Tense Iron,Topknot ,Choco Stick,48,Army,Human,Army,Aviators,None,None,None,None,38.85936537304707,2867
2868,Combat Scalpel,Silent Angel,Bold Crimson,Side Pony Aka,Fang Smirk,58,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,37.61307574442237,2868
2869,Carbine Black,Tactical Vest Jungle,Sapphire Highlights,Raven Ao,Plump,34,Bluefire,Ao Oni,Airforce,None,None,None,None,None,30.191414008473267,2869
2870,Rifle Red,Parade Fur,Gazing Wisteria,Messy Chunin ,Fang Smirk,74,Army,Human,Army,None,None,None,None,None,11.764809449789542,2870
2871,Shuriken Black,Sleeveless Vest Mauve,Curious Russet,Cashier WcVisor,Plump,54,Shadow Reflection,Human,Shinobi,None,None,None,None,None,13.069781968854782,2871
2872,Pilot Wings,Mach5,Glaring Poppy,Bronsn ,Fang Smirk,65,Airforce,Human,Airforce,Mad Scientist,None,None,None,None,45.166059897629864,2872
2873,Sashimono Glacial,Sleeveless Kimono,Curious Iron,Mommy Ao,Fang Smirk,88,Bluefire,Ao Oni,Historical,None,None,None,None,None,41.5898852539569,2873
2874,Rifle Blue,Camo Vest Desert,Wary Crimson,Mewsashi,Choco Stick,61,Army,Human,Army,None,None,None,None,None,14.303028772794587,2874
2875,Rifle Blue,Polar,Base Iron,Loose Strand ,Plump,78,Army,Human,Army,None,None,None,None,None,0.30457210555920516,2875
2876,Rifle Primitive,Locked n' Loaded,Bold Iron,Fringed Bob Ao,Saucy Fangs,35,Bluefire,Ao Oni,Army,Aviators Sunset,None,None,None,None,64.87203151134389,2876
2877,Katana Black Gold,Tactical Jacket Ash,Basic Fern,Chainwhip Ao,Plump,87,Bluefire,Ao Oni,Shinobi,None,None,None,None,None,31.495818432180105,2877
2878,Rifle Custom,Tracksuit Snood Desert,Duality,Bronsn Ao,Fang Smirk,97,Bluefire,Ao Oni,Army,None,None,None,None,None,36.94649637869581,2878
2879,Katana Burgundy Kiss,Kimono Ichimatsu Checkered Blue,Relaxed,Greenhorn,Plump,12,Crimson Records,Human,Historical,None,None,None,None,None,9.884056005771075,2879
2880,M-16 Heavy Assault Rifle,Able Seaman's Uniform,Blithe Russet,Delinquent,Popsicle,56,Ocean Blue,Human,Navy,None,None,None,None,None,23.35660965542451,2880
2881,Rifle Custom,Urban Camo,Glaring Poppy,Topknot ,Plump,63,Army,Human,Army,None,None,None,None,None,1.3781878130443026,2881
2882,Rifle Custom,Parade Fur,Base Iron,Kojiroh,Plump,81,Army,Human,Army,Rosy Aviators,None,None,None,None,25.095934078541447,2882
2883,Ornamental Cutlas,Qipao,Smug Fern,Rebel Girl Aka,Plump,87,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,30.572914279527424,2883
2884,MK-14 Amphibious Assault Rifle,Sailor Uniform Okinawa,,Hime Ponytail,Plump,60,Ocean Blue,Human,Navy,None,None,None,None,None,8.163073425808973,2884
2885,Rifle Red Ammo,Tactical Parade Fur,,Bobcut,Pog,38,Tactical Green,Human,Army,Clear Specs,None,None,None,None,45.11187400975776,2885
2886,Rifle Medic,Urban Operations,Vexxed Iron,Celestial Dreamer ,Choco Stick,38,Healing Pulse,Human,Support,None,None,None,None,None,18.693741591265212,2886
2887,Rifle Blue,Polar,Wary Crimson,Wild Tiger Ao v2,Plump,58,Bluefire,Ao Oni,Army,None,None,None,None,None,25.269236626339413,2887
2888,Spellblade,Spellcaster's Vest,Glaring Poppy,Fringe WcSnapback,Smoke,40,Mana Portal,Human,Support,None,None,None,None,None,19.42127185929275,2888
2889,Katana Snow Serpent,Street Ninja,Blithe Russet,Icicle,Plump,67,Shadow Reflection,Human,Shinobi,Aviators,None,None,None,None,37.5685707853283,2889
2890,Ornamental Sword,Oni Seifuku Kuro,Basic Wisteria,Tanuki,Fang Smirk,05,Crimson Records,Human,Historical,None,None,None,None,None,19.575011521932307,2890
2891,Rifle Navy Black,Sailor Uniform Fukushima,Foxy Crimson,Regal Maiden,Lollipop,21,Ocean Blue,Human,Navy,None,None,None,None,None,22.959137227059436,2891
2892,Cyber Claymore Pink,Street Ninja,Peridot Rebel,Loose Strand ,Choco Stick,33,Shadow Reflection,Human,Shinobi,Monocle,None,None,None,None,50.31252031488867,2892
2893,Rifle Orange,Parade Fur,Wary Crimson,Eth-ore,Plump,18,Army,Human,Army,None,None,None,None,None,1.6666842091997913,2893
2894,Tech Shuriken,TechSuit Winter's Shadow,Base Fern,Topknot ,Plump,89,Shadow Reflection,Human,Shinobi,None,None,None,None,None,11.755802719021935,2894
2895,Rifle Lucky 8,Military Street Polar,Solar,Bozo Babe,Plump,20,Army,Human,Army,Architect Black,None,None,None,None,26.98668618697202,2895
2896,Crown Staff,Crimson Shell Armor,Cheeky Fern,Kiwi Cut ,Lollipop,69,Mana Portal,Human,Support,None,None,None,None,None,19.03341593465346,2896
2897,DEMIURGE Autonomous Pseudo-Priest System,Street Magus,Tense Iron,Windswept Aka,Boo!Boo! Gum,89,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,40.68943905408274,2897
2898,Tech Shuriken,Armoured Overalls Black,Gazing Russet,Spiky Aka,Plump,39,Flaming Hibisucus,Aka Oni,Shinobi,None,None,None,None,None,31.86432689549399,2898
2899,Rifle Black Ammo,Fur Lined Turtle,Coy Wisteria,Twintails,Plump,64,Airforce,Human,Airforce,Smart Glasses,None,None,None,None,33.42801047705793,2899
2900,Rifle Heavy,Kevlar BANii,Base Iron,Spiky Ao,Lollipop,31,Bluefire,Ao Oni,Army,Surgeon's Spectacles,None,None,None,None,63.074419509575954,2900
2901,Rifle Red,Urban Camo,Blithe Russet,0xBunnies,Choco Stick,95,Army,Human,Army,None,None,None,None,None,14.729247157755218,2901
2902,Cyber Reaper,Potioneer,Lined Poppy,Rebel Girl ,Smoke,87,Emerald Crescent,Human,Support,Architect Black,None,None,None,None,46.08283407652916,2902
2903,Private Contractor Flight Helmet,E.M.U,Bold Crimson,Mommy Ao,Plump,98,Bluefire,Ao Oni,Astronaut,Heartbeat Blue,None,None,None,None,57.37423203236973,2903
2904,Rifle Black Ammo,Gun BANii,Basic Wisteria,Skunk Pony,Plump,21,Airforce,Human,Airforce,None,None,None,None,None,8.079635373489728,2904
2905,Rifle Navy Grey,Admiral's Coat,Solar,Regal Maiden,Plump,06,Ocean Blue,Human,Navy,None,None,None,None,None,9.079596268025746,2905
2906,Yumiya,Apprentice,Glaring Wisteria,Bronsn ,Lollipop,16,Crimson Records,Human,Historical,None,None,None,None,None,22.51367879355068,2906
2907,Twin Cyber Sais,Chunin Garb,Gazing Wisteria,Kojiroh ,Fangs Out,85,Shadow Reflection,Human,Shinobi,None,None,None,None,None,27.01646403969482,2907
2908,Rifle Orange,Camo Vest Polar,Gazing Russet,Spiky Ao,Plump,48,Bluefire,Ao Oni,Army,None,None,None,None,None,25.019277742383604,2908
2909,Assault Rifle Maverick,Fighter Pilot Turtle,Gazing Russet,AR Piloting Interface,Saucy,69,Airforce,Human,Airforce,None,None,None,None,None,23.568092907576098,2909
2910,Rifle Navy Black,Sailor Uniform Tokyo,Periwinkle,Blonde Sentinel,Plump,97,Ocean Blue,Human,Navy,None,None,Golden Anchor,None,None,41.02546279278168,2910
2911,Rifle Primitive,Military Street Jungle,Basic Fern,Coral WcHeadset,Plump,30,Army,Human,Army,None,None,None,None,None,1.1122067696235696,2911
2912,Rifle Primitive,Military Street Polar,Foxy Fern,Green Dragon,Fang Smirk,00,Army,Human,Army,None,None,None,None,None,13.62688645313882,2912
2913,Sashimono Orca,Student,Wary Russet,Blue Lambo,Boo!Boo! Gum,22,Crimson Records,Human,Historical,None,None,None,None,None,23.202734383620285,2913
2914,HELLFIRE Support Drones,Spellcaster's Vest,Gazing Russet,Topknot ,Choco Stick,34,Emerald Crescent,Human,Support,None,None,None,None,None,20.456651098080055,2914
2915,M16 Heavy Assault Rifle Red,NanoGoth,Bold Iron,Bozo Mommy,Plump,29,Party Pink,Human,Special Ops,None,None,None,None,None,12.226874501140225,2915
2916,Hunter's Rifle Red,Midnight Raven,Dark Crimson,Hino,Plump,24,Party Pink,Human,Special Ops,None,None,None,None,None,12.358293746988048,2916
2917,Rifle Scorpion Polar,Sailor Uniform Osaka,Basic Fern,Bunny Girl,Plump,18,Ocean Blue,Human,Navy,None,None,None,None,None,7.945155337674641,2917
2918,Rifle Navy Grey,Sailor Uniform Osaka,Bold Iron,Foxtrot,Plump,34,Ocean Blue,Human,Navy,None,None,None,None,None,8.701434754301342,2918
2919,DEMIURGE Autonomous Pseudo-Priestess System,Vest of Shielding,Lined Poppy,Oritsu Ao,Boo!Boo! Gum,03,Bluefire,Ao Oni,Support,None,None,None,None,None,40.663841421358335,2919
2920,EVA Helmet,A55 KAZUAR Atmo-Control Suit,Gazing Russet,Tactical Recon Interface,Plump,17,Moonsilver,Human,Astronaut,None,None,None,None,None,13.185184498412383,2920
2921,Rail Gun,Paladin Plate Armor,Blithe Russet,Frozen Gold,Popsicle,60,Emerald Crescent,Human,Support,None,None,Pythagorum,None,None,54.708566597748074,2921
2922,Dual Katanas Black Gold,Kimono Blue Orchid,Smug Poppy,Puppy Love,Smoke,44,Crimson Records,Human,Historical,None,None,None,None,None,22.507297177326432,2922
2923,Parachute,Aviator Jacket Turtleneck,Glaring Wisteria,Henti,Plump,00,Airforce,Human,Airforce,None,None,None,None,None,8.435397287100317,2923
2924,Rifle Navy Gray,Sailor Uniform Aomori,Base Iron,Spiky Ao,Fang Smirk,40,Bluefire,Ao Oni,Navy,None,None,None,None,None,40.17021037942406,2924
2925,Katana Snow Serpent,Tactical Vest Bone,Gazing Wisteria,Two Block ,Plump,87,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.050629752787263,2925
2926,Ornamental Broadsword,Kimono Blue Orchid,Lined Poppy,Bobcut,Boo!Boo! Gum,40,Crimson Records,Human,Historical,Architect Clear,None,None,None,None,47.796865398188515,2926
2927,Rifle Orange,Urban Security,Vexxed Poppy,Mewsashi WcVisor,Plump,24,Army,Human,Army,None,None,None,None,None,1.9198706095224911,2927
2928,Rifle Leather,Locked n' Loaded,Basic Fern,Skunk Pony,Plump,39,Army,Human,Army,None,None,None,None,None,0.8589911908351109,2928
2929,Assault Rifle Khaki,Tactical Flight Jacket Olive,Coy Crimson,Bobcut,Plump,84,Airforce,Human,Airforce,None,None,None,None,None,8.477009060452628,2929
2930,Rifle Medic,Silent Angel,,Stardust ,Plump,08,Healing Pulse,Human,Support,None,None,None,None,None,4.913361397653425,2930
2931,Ketchup Dispenser,Drive-Through,Scarred Slumber,Windswept,Fang Smirk,70,Golden Hex,Human,Support,None,None,None,None,None,19.31572530676474,2931
2932,Rifle Heavy,Fighter Pilot Turtle,Gazing Wisteria,Loose Strand Aka,Plump,60,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,29.105139258521177,2932
2933,Rifle Black Ammo,Mach-3 Utility Jacket Navy,Star Cluster,Skunk Pony,Plump,40,Airforce,Human,Airforce,None,None,None,None,None,9.579536798252587,2933
2934,Cyber Reaper,Potioneer's Assistant,Foxy Fern,Huntress,Full Kiss,49,Mana Portal,Human,Support,None,None,None,None,None,20.254428165829736,2934
2935,Rifle Orange,Frogsplash Jungle,Vexxed Iron,Mewsashi WcVisor,Plump,08,Army,Human,Army,Rounded Aviators,None,None,None,None,26.473967678258393,2935
2936,Field Medic Kit,Arctic Operations,Glaring Wisteria,On Call,Pog,09,Healing Pulse,Human,Support,None,None,None,None,None,21.094200771044836,2936
2937,Carbine Black,Gun BANii,Lined Russet,Bobcut,Plump,97,Airforce,Human,Airforce,None,None,None,None,None,8.720585363244188,2937
2938,Crown Staff,Vest of Shielding,Basic Wisteria,Bunny Girl,Fang Smirk,72,Mana Portal,Human,Support,None,None,None,None,None,15.831932936356976,2938
2939,Rifle Medic,Life Guard,Vexxed Iron,Lawliet ,Smoke,47,Star of Healing,Human,Support,Lexington,None,None,None,None,45.58288008500174,2939
2940,Field Medic Kit,Tactical Transfusion,Base Iron,Delinquent Aka,Plump,56,Flaming Hibisucus,Aka Oni,Support,Golden Specs,None,None,None,None,50.38553731771547,2940
2941,Rifle Stock Custom Green,Light Armor Desert Camo,Coy Crimson,Sagittarius WcHeadset,Lollipop,47,Army,Human,Army,None,None,None,None,None,15.713156070427198,2941
2942,DEMIURGE Autonomous Pseudo-Priestess System,Azurite Shell Armor,Bold Iron,Fractured Emerald Aka,Plump,55,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,26.775465486965956,2942
2943,Katana Snow Serpent,Armoured Overalls Black,Gazing Russet,Two Block ,Boo!Boo! Gum,29,Shadow Reflection,Human,Shinobi,None,None,None,None,None,25.907633554244054,2943
2944,Katana Red,Armoured Greatcoat,Wary Crimson,Windswept Aka,Plump,95,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,30.36780719068282,2944
2945,Katana Black Gold,Fishnet Overalls Polar,Curious Russet,Shrine Maiden ,Full Kiss,90,Shadow Reflection,Human,Shinobi,Clear Specs,None,None,None,None,51.680801488246566,2945
2946,Proton Key,Frontier XIV Non-Powered EVA Suit,Wary Crimson,"A55 KAZUAR Atmo-Control Helmet, Gen Z",Plump,24,Moonsilver,Human,Astronaut,None,None,None,None,None,13.55694163260173,2946
2947,Rifle Lucky 8,Meka Vest Camo Jungle,Basic Fern,Coral WcHeadset,Fang Smirk,76,Army,Human,Army,None,None,None,None,None,12.219940824173719,2947
2948,Rifle Red Ammo,Urban Street Camo,Curious Iron,Golden Wave,Plump,88,Army,Human,Army,None,None,None,None,None,1.5319829371553482,2948
2949,Private Contractor Flight Helmet,Insulated Combat Suit,Cheeky Iron,Bozo Mommy,Pog,18,Moonsilver,Human,Astronaut,None,None,None,None,None,28.564309796552866,2949
2950,Rifle Black Ammo,Fur-Lined Aviator Olive,Curious Russet,Horse Girl Ao,Plump,48,Bluefire,Ao Oni,Airforce,Starstruck Gradient,None,None,None,None,54.45813137740816,2950
2951,Sashimono Orca,Kimono Urokomon Red,Gazing Russet,Aka Kami,Plump,51,Crimson Records,Human,Historical,Rosy Specs,None,None,None,None,33.700534079364964,2951
2952,Auto Rifle Lime,Mach-3 Utility Jacket Jungle,,Kiwi Cut ,Saucy Fangs,92,Airforce,Human,Airforce,None,None,None,None,None,23.032902019701137,2952
2953,Twin Cyber Swords,Military Street Jungle,Coy Crimson,SkunkCandy,Plump,50,Army,Human,Army,None,None,None,None,None,2.2532062982417256,2953
2954,MK-14 Amphibious Assault Rifle,Sailor Uniform Fukushima,Curious Russet,Maegami,Plump,62,Ocean Blue,Human,Navy,None,None,None,None,None,9.271972516651966,2954
2955,Rifle Stock Custom Orange,Military Street Polar,Smug Poppy,Black Rose Aka,Plump,50,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,25.887788928152787,2955
2956,Rifle Navy Grey,Sailor Stripes,Basic Wisteria,Mommy,Plump,22,Ocean Blue,Human,Navy,None,None,None,None,None,7.576507406360557,2956
2957,None,None,None,None,None,22,Ding Ding,Human,Army,None,Cowsuit,None,None,None,53.83335057705116,2957
2958,Katana Black Gold,Tactical Overalls Polar,Emerald Crescent,Mommy Ao,Plump,30,Bluefire,Ao Oni,Shinobi,None,None,None,None,None,32.668697496506724,2958
2959,Frontier XVII-A Powered EVA Helmet,"Frontier XVII-A Powered EVA Suit, Refit",Blithe Russet,Bozo Sharky,Popsicle,56,Moonsilver,Human,Astronaut,None,None,None,None,None,27.68945194005109,2959
2960,Rifle Red,Tactical Woodlands,Peridot Rebel,Henti,Tasty,15,Army,Human,Army,None,None,None,None,None,16.00152293698804,2960
2961,Katana Black,Student,Wary Russet,Lawliet ,Choco Stick,94,Crimson Records,Human,Historical,None,None,None,None,None,21.67407033445052,2961
2962,Rifle Stock Custom Green,Military Street Jungle,Lined Russet,Twintails,Boo!Boo! Gum,31,Army,Human,Army,None,None,None,None,None,15.459975439690476,2962
2963,Rifle Navy Grey,Sailor Stripes,Bold Iron,Mommy,Plump,68,Ocean Blue,Human,Navy,None,None,None,None,None,8.461059673350542,2963
2964,Parachute,Aviator Jacket,Tense Iron,Swept Back Aka,Plump,65,Flaming Hibisucus,Aka Oni,Airforce,All-Seeing Shades,None,None,None,None,54.733765151583924,2964
2965,Katana Black Kiss,Kimono Blue Orchid,Doe Russet,Black Curtain,Choco Stick,95,Crimson Records,Human,Historical,Aviators Sunset,None,None,None,None,47.19122603532864,2965
2966,Assault Rifle Khaki,Mach-3 Utility Jacket Navy,Basic Fern,Horse Girl,Tasty,45,Airforce,Human,Airforce,Clear Specs,None,None,None,None,46.684842975199935,2966
2967,Rifle Leather,Military Street Choker,Caelus,Bobcut,Plump,91,Army,Human,Army,None,None,None,None,None,2.0640489117456564,2967
2968,Katana Burgundy Kiss,Gusoku,Dark Crimson,Brozo,Plump,35,Crimson Records,Human,Historical,None,None,None,None,None,9.537936893399165,2968
2969,Rifle Scorpion Polar,Sailor Uniform Okinawa,Basic Wisteria,Fringed Bob,Fang Smirk,85,Ocean Blue,Human,Navy,None,None,None,None,None,18.578369514101823,2969
2970,Field Medic Kit,Hazard Zone,Base Fern,Lawliet ,Choco Stick,77,Healing Pulse,Human,Support,Mad Scientist,None,None,None,None,43.23706297183975,2970
2971,MK-14 Amphibious Assault Rifle,Admiral's Coat,Neon Yellow Highlights,Hime Ponytail,Fang Smirk,38,Ocean Blue,Human,Navy,Architect Black,None,None,None,None,45.20771495738419,2971
2972,Dual Katanas Black,Kimono Blue Orchid,Acid,Sagittarius,Smoke,54,Crimson Records,Human,Historical,None,None,None,None,None,23.238002058204405,2972
2973,Rifle Navy Grey,Sailor Stripes,Basic Fern,Kiwi Sparkle ,Fang Smirk,29,Ocean Blue,Human,Navy,None,None,None,None,None,18.75137135611624,2973
2974,Rifle Medic,Exo-Medicine,Scrunched,Windswept,Popsicle,94,Healing Pulse,Human,Support,None,None,None,None,None,20.379434694361137,2974
2975,Rifle Custom,Tracksuit Snood Desert,Relaxed,0xBunnies,Pog,86,Army,Human,Army,None,None,None,None,None,16.786713428732156,2975
2976,DEMIURGE Autonomous Pseudo-Priest System,Summoner Defensive Vest,Vexxed Iron,Bronsn ,Plump,45,Mana Portal,Human,Support,None,None,None,None,None,5.9229817654351775,2976
2977,M16 Heavy Assault Rifle Red,Magician's Assistant,Curious Iron,Twintails,Fang Smirk,39,Party Pink,Human,Special Ops,None,None,None,None,None,23.209291034868965,2977
2978,Assault Rifle Khaki,Fur Lined Turtle,Basic Wisteria,Fringed Bob,Plump,29,Airforce,Human,Airforce,Scouter Green,None,None,None,None,31.905788953309877,2978
2979,Rifle Leather,Stealth Vest Camo,Doe Poppy,Black Rose,Fang Smirk,94,Army,Human,Army,None,None,None,None,None,13.296766098534524,2979
2980,Rifle Red Ammo,Military Street Polar,Basic Fern,Puppy Love,Plump,84,Army,Human,Army,None,None,None,None,None,0.727564569585836,2980
2981,Rifle Custom,Flame Punk,Glaring Poppy,Arctic Bad Boy Ao,Saucy,21,Bluefire,Ao Oni,Army,None,None,None,None,None,40.054901453171134,2981
2982,HELLFIRE Support Drones,Street Magus,Scarred Slumber,Bozo Alby,Lollipop,80,Mana Portal,Human,Support,None,None,None,None,None,19.911558373742388,2982
2983,Rifle Leather,Urban Street Camo,,Stardust ,Plump,64,Army,Human,Army,None,None,None,None,None,0.6442339340262316,2983
2984,First Aid Kit,Arctic Operations,Glaring Wisteria,Stardust BANii,Boo!Boo! Gum,47,Healing Pulse,Human,Support,Aviators,None,None,None,None,44.57012872550313,2984
2985,Rifle Custom,Urban Street Camo,Scarred Slumber,Fox Mike,Plump,97,Army,Human,Army,None,None,None,None,None,1.7050617313036638,2985
2986,None,Tactical Vest Jungle,Coy Crimson,Valkyrie,Saucy Fangs,64,Airforce,Human,Airforce,None,None,None,None,None,24.0969563617919,2986
2987,Rifle Heavy,Camo Vest Desert,Dark Fern,Loose Strand Ao,Plump,32,Bluefire,Ao Oni,Army,None,None,None,None,None,25.650622769504317,2987
2988,Crown Staff,Azurite Shell Armor,Lined Poppy,Arcane Royal,Fang Smirk,41,Mana Portal,Human,Support,None,None,None,None,None,17.05613100615815,2988
2989,HELLFIRE Support Drones,Arctic Magus,Tense Fern,Bronsn ,Plump,57,Mana Portal,Human,Support,None,None,None,None,None,5.544764140190156,2989
2990,Crown Staff,Vest of Shielding,Curious Russet,Tanuki,Boo!Boo! Gum,45,Mana Portal,Human,Support,None,None,None,None,None,19.501316305383025,2990
2991,Twin Cyber Swords,Stealth Vest Camo,Solar,Canine Lupis,Popsicle,94,Army,Human,Army,Starstruck Blue,None,None,None,None,41.352548886192935,2991
2992,Rifle Navy Grey,Sailor Uniform Fukushima,Bold Crimson,Bobcut,Plump,16,Ocean Blue,Human,Navy,None,None,None,None,None,8.550786990188156,2992
2993,Private Contractor EVA Helmet,Private Contractor Flight Suit,Coy Crimson,Blonde Bombshell,Plump,32,Moonsilver,Human,Astronaut,None,None,None,None,None,13.24922826183299,2993
2994,First Aid Kit,Silent Angel,,Twintails,Saucy Fangs,16,Healing Pulse,Human,Support,Aviators Sunrise,None,None,None,None,44.79761618933519,2994
2995,Rifle Orange,Military Street,Wary Crimson,Hollywood,Plump,05,Army,Human,Army,None,None,None,None,None,1.6089906379134322,2995
2996,M16 Heavy Assault Rifle Red,BANii Maid,Coy Crimson,Side Pony ,Plump,81,Peach Fuzz,Human,Special Ops,None,None,None,None,None,13.537835274218645,2996
2997,Private Contractor EVA Helmet,E.M.U,Cheeky Fern,Bozo Mommy,Fang Smirk,57,Moonsilver,Human,Astronaut,None,None,None,None,None,24.878983132439625,2997
2998,Rifle Red Ammo,BlackPink Mamba,,Hime Ponytail,Plump,44,Army,Human,Army,Tea Glasses,None,None,None,None,25.25613166368572,2998
2999,Sashimono Ghost,Sode Hoodie,Glaring Wisteria,Tidal Wave,Plump,28,Crimson Records,Human,Historical,None,None,None,None,None,9.214252337939776,2999
3000,Dual Katanas Black Gold,Do Kimono,Basic Fern,Horse Girl Aka,Plump,36,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,29.28782878133355,3000
3001,Cyber Claymore Pink,SPunk Ninja,Gazing Russet,Meka Oni,Plump,01,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.624321281045928,3001
3002,Rifle Leather,Utility Vest Camo Red,,Cashier WcHeadset,Choco Stick,49,Army,Human,Army,None,None,None,None,None,14.283816605031834,3002
3003,Rifle Navy Grey,Admiral's Coat,Obsidian,Side Pony Aka,Plump,85,Flaming Hibisucus,Aka Oni,Navy,None,None,None,None,None,29.970354962482237,3003
3004,Parachute,Tactical Flight Armor,Scarred Slumber,Bronsn ,Boo!Boo! Gum,36,Airforce,Human,Airforce,Aviators,None,None,None,None,47.421927543631085,3004
3005,Dual Katanas Black,Kimono Hibuscus,Smug Fern,Tanuki WcHeadset,Fangs Out,04,Crimson Records,Human,Historical,None,None,None,None,None,24.074410249594546,3005
3006,Ornamental Broadsword,Qipao,Doe Russet,Bobcut Ao,Full Kiss,83,Bluefire,Ao Oni,Historical,Architect Clear,None,None,None,None,69.85783822793286,3006
3007,Parachute,Tactical Flight Armor,Base Iron,Messy Chunin ,Plump,46,Airforce,Human,Airforce,None,None,None,None,None,7.788052221669979,3007
3008,Rifle Medic,Exo-Medicine,Dark Fern,"FALCON MK. 6 Galea, Medic Configuration",Pog,23,Star of Healing,Human,Support,None,None,None,None,None,22.658243734765993,3008
3009,Rifle Heavy,Military Street,Glaring Wisteria,Loose Strand ,Choco Stick,29,Army,Human,Army,None,None,None,None,None,14.017837804248575,3009
3010,HELLFIRE Support Drones,Summoner Defensive Vest,Frozen Corruption,Horned Gun Mage,Fang Smirk,39,Mana Portal,Human,Support,None,None,None,Bionic Amethyst,None,49.20630837635883,3010
3011,Rifle Scorpion Polar,R0B-1N Power Armor,Solar,Bozo Banger,Plump,07,Party Pink,Human,Special Ops,None,None,None,None,None,12.262132237461024,3011
3012,Rifle Orange,Camo Vest Desert,Dark Fern,Bronsn ,Saucy,87,Army,Human,Army,None,None,None,None,None,16.334857021456298,3012
3013,Sashimono Ghost,Do Kimono,Basic Wisteria,Bobcut,Pog,12,Crimson Records,Human,Historical,Ornate Violet,None,None,None,None,47.309788116807496,3013
3014,Assault Rifle Khaki,Mach5,Frozen Corruption,Mewsashi,Plump,67,Airforce,Human,Airforce,None,None,None,None,None,8.781501008362758,3014
