,Dance,Music,Background,Expression,Ears,Nose,Mouth,Head,Neck,Top,Eyewear,Eyes,Fur,Sex,Rarity score,Token Id
2768,Subtle Nod,Electric Carrots,Tiki,Mouth Open (Right),,,Cigarette,Mohawk (Red),Tie,,Speed Glasses,Brown,Red,Male,37.123977901619504,2768
2769,Groove,Space Fluffle,Beach,Blank + Wink,Red Ribbon,Bone,,,Bowtie (Gold),Kimono,Designer Glasses,Yellow,Sky,Male,63.15716015776648,2769
2770,Big Nod,Hop With Me,Markets,Mouth Open (Right) + Wink,,Bone,Carrot,Conical Hat,Bowtie (Red),,,Portal,Winter,Male,36.40233790896946,2770
2771,Side To Side,I Love FLUF,Mystic Valley,Mouth Open (Left),,Bull Ring,Lollipop,Propeller Hat,Bowtie (Black),,,Cat (Blue),Grey,Male,33.853967455187835,2771
2772,Subtle Nod,Latin Fiesta,Swamp,Mouth Open (Middle),Steel Rings,Steel Ring,Whistle,,Lei,Gold Jacket,,Green (Dilated),Sandy,Male,50.24666866791393,2772
2773,Bob,Follow You,Tiki,Blank,Steel Studs,,,Afro (Black),Bowtie (Red),Puffer Jacket,,Brown,Camo,Female,46.65895504198689,2773
2774,Side Nod,Beyond the Gates,Backalley,Grin,,,,Beer Hat,,FLUF Jacket,,Brown,Zebra,Male,18.358014402902693,2774
2775,Subtle Nod,Beyond the Gates,Spaceship,Mouth Open (Left),,Steel Ring,Party Horn,Crown,Tie,,,Reptile (Cream),Hawk,Male,39.782215323960344,2775
2776,Side To Side,Ear Wobbler,Star Explorer,Mouth Open (Right) + Wink,Gold Rings,,Cigarette,Flower Crown,Collar (Pink),,Star Glasses,Reptile (White),Highlighter,Female,76.50912569435044,2776
2777,Groove,I Like to Party,Markets,Smile + Wink,,Steel Stud,,,Collar (Pink),Puffer Vest,,Scribble,Peppermint,Female,46.079236045223354,2777
2778,Bob,Run Rabbit,Garden,Mouth Open (Middle) + Wink,FLUF Tag,,Pacifier,,,Puffer Vest,,Yellow,Guernica,Female,48.94792288056971,2778
2779,Bob,Desert Digging,Garden,Mouth Open (Right),Bit Ear,Bone,Carrot,Afro (Ginger),,Flannel Jacket,,Glowing Red,Black & White,Male,42.82945700416316,2779
2780,Round,Floating or Flying,FTW (F*ck The War),Mouth Open (Left),FLUF Tag,,Lollipop,Pirate Hat,Bowtie (Red),,,Red (Dilated),Tiger,Male,36.9864349662875,2780
2781,Groove,Space Fluffle,FTW (F*ck The War),Mouth Open (Right),Steel Studs,Bone,Carrot,Pirate Hat,Dog Tags,Digital Camo Singlet,,Green,Moody Blue,Male,48.72500840722175,2781
2782,Big Nod,Follow You,Beach,Blank,,Bull Ring,,Tennis Hat,,Boob Tube,,Dollars,Darkness,Female,38.33702268726535,2782
2783,Subtle Nod,All I Need,The Front,Smile + Wink,FLUF Tag,,,Sombrero,Bowtie (Gold),High Vis Vest,,Green,Raspberry Ripple,Male,40.79687154292599,2783
2784,Groove,Let The Story Begin,Fluf Haus LA 2022,Mouth Open (Left),,Clown Nose,Party Horn,Tuft (Black),Bone Necklace,,,Cat (Blue),Camo,Male,41.62439123862398,2784
2785,Side To Side,Space Fluffle,Spaceship,Sad,Steel Rings,,,Tuft (Blonde),VIP lanyard,,,Thirties,Darkness,Female,43.733783620849835,2785
2786,Bob,Latin Fiesta,Lambo,Mouth Open (Right),,Gold Stud,Pipe,,Gold Chain,,Safety Glasses,Brown,Bully,Male,39.769645577318755,2786
2787,Bob,FLUF You Up,Tiki,Blank,Gold Rings & Studs,,Medical Mask,Bandana,FLUF Logo Chain,,Star Glasses,Brown,Tiger,Male,52.14930144063222,2787
2788,Groove,Dubhop,Lambo,Blank,Steel Studs,Bull Ring,,Sombrero,Dog Tags,,,Fire,Orange,Female,45.32397635197819,2788
2789,Subtle Nod,Stardust,Pass,Mouth Open (Right),Steel Rings,Steel Ring,Cigarette,Mohawk (Base),Dog Tags,High Vis Vest,Bug Eye Glasses,Blue,Winter,Male,66.73128225065598,2789
2790,Big Nod,Desert Digging,Gallery,Mouth Open (Right),Steel Rings,Steel Ring,Cigarette,Tuft (Base),FLUF Logo Chain,Puffer Jacket,,Blue,Winter,Female,62.31699483316094,2790
2791,Round,FLUF You Up,Backalley,Mouth Open (Right),Gold Studs,Bone,Joint,,Glowstick Necklace,,,Xs,Bully,Male,31.228721526206034,2791
2792,Subtle Nod,NFT (Instrumental),Mansion,Blank,Gold Bows,Bone,,Tuft (Black),Collar (Pink),,,Fire,Blue Blood,Female,51.345242807504356,2792
2793,Groove,What the FLUF,Beach,Mouth Open (Right),,Bone,Carrot,Propeller Hat,Glowstick Necklace,,Shutter Glasses,Reptile (Yellow),Ice Cream,Male,50.55056116773158,2793
2794,Groove,Run Rabbit,Tiki,Blank,Steel Rings & Studs,Bone,,Mullet (Base),VIP lanyard,Puffer Jacket,Eye Patch,Heart (Blue),Sky,Male,67.49407620583023,2794
2795,Groove,Dubhop,Swamp,Smile,,Bull Ring,Lip Piercings,Afro (Black),FLUF Logo Chain,Flannel Jacket,,Green (Dilated),Grey,Female,64.43890175914694,2795
2796,Groove,Follow You,Spaceship,Mouth Open (Middle),Steel Rings & Studs,Bone,Whistle,Beanie,Bowtie (Red),,,Cat (Blue),Peppermint,Male,45.008243764398806,2796
2797,Groove,Electric Carrots,Garden,Mouth Open (Right),,Bull Ring,Joint,FLUF Cap,Dog Tags,,,Cat (Blue),Orange,Female,41.9930350502347,2797
2798,Side To Side,Rabbiton,Pass,Grin + Wink,,Bone,,Bandana,Dog Tags,High Vis Vest,Safety Glasses,Brown,Sandy,Male,59.26610431416546,2798
2799,Groove,Ear Wobbler,Lambo,Mouth Open (Left),,Steel Stud,Lollipop,Flower Crown,Bone Necklace,,,Yellow,Guernica,Male,34.117662901483136,2799
2800,Side Nod,Floating or Flying,Thank You For Having Us,Blank,,,,,FLUF Logo Chain,Kimono,Eye Patch,Heart (Blue),Grey,Male,37.927505378971745,2800
2801,Round,Hop With Me,Heaven,Mouth Open (Middle),Bit Ear,,Pacifier,,,High Vis Vest,Aviators,Green,Blue Blood,Male,48.81407094677952,2801
2802,Subtle Nod,Run Rabbit,The Front,Mouth Open (Right),Steel Rings,Bone,Cigarette,,,Camo Jacket,Aviators,Green,Grey,Male,44.55323339597801,2802
2803,Side Nod,Space Fluffle,Heaven,Sad,Steel Studs,Steel Stud,,Pirate Hat,,Puffer Vest,Designer Glasses,Green (Dilated),Sandy,Male,58.580359124601756,2803
2804,Big Nod,Beyond the Gates,Heaven,Sad,Gold Studs,Clown Nose,,Mullet (Black),VIP lanyard,Puffer Jacket,,Glowing Red,Grey,Male,55.651333128268796,2804
2805,Big Nod,Hop On By,Spaceship,Mouth Open (Right),Gold Bows,,Cigarette,Birthday Hat,,FLUF Jacket,Sunglasses,Brown,Moody Blue,Male,49.32905485069318,2805
2806,Bob,Coffee and Carrots,Markets,Smile + Wink,,Clown Nose,Lip Piercings,Pirate Hat,Bowtie (Red),Kimono,,Heart (Red),Grey,Male,50.834989612286606,2806
2807,Big Nod,I Like to Party,Backalley,Mouth Open (Middle),Red Ribbon,Steel Stud,Whistle,Mullet (Base),Bowtie (Red),,,Cat (Brown),Cow,Female,64.2928145002149,2807
2808,Groove,Rabbiton,Garden,Mouth Open (Right) + Wink,Steel Rings,,Joint,Beanie,Gold Chain,Dress,Sunglasses,Blue,Cow,Male,65.46572999499969,2808
2809,Big Nod,Back in the Burrow,Swamp,Mouth Open (Right),Gold Studs,Clown Nose,Pipe,,,Digital Camo Singlet,Heart Glasses,Blue,Ice Cream,Male,51.83257423390691,2809
2810,Side To Side,Space Fluffle,Backalley,Mouth Open (Right),Steel Rings & Studs,Bone,Cigarette,Birthday Hat,Glowstick Necklace,Boob Tube,,Dollars,Red,Male,52.69718835595737,2810
2811,Bob,Floating or Flying,FTW (F*ck The War),Mouth Open (Right) + Wink,,Bone,Carrot,Afro (Base),VIP lanyard,,,Cat (Brown),Marshmellow,Male,38.118726154809835,2811
2812,Side To Side,Stardust,Mystic Valley,Mouth Open (Right) + Wink,FLUF Tag,Bone,Joint,Army Helmet,,,,Portal,Red,Male,38.212186659419665,2812
2813,Subtle Nod,I Like to Party,Lambo,Mouth Open (Left),Steel Rings & Studs,Gold Ring,Lollipop,Beanie,FLUF Logo Chain,,,Portal,Brown,Male,46.13614955611567,2813
2814,Bob,Space Fluffle,Beach,Mouth Open (Right) + Wink,,Gold Stud,Cigarette,Afro (Base),Bowtie (Gold),Tie Dye Singlet,,Portal,Grey,Female,65.031457920605,2814
2815,Round,Run Rabbit,Backalley,Blank,,Bull Ring,,Bandana,Gold Chain,Kimono,Shutter Glasses,Blue,Camo,Male,50.298748812766604,2815
2816,Bob,I Like to Party,Swamp,Smile,Gold Bows,Clown Nose,,Flower Crown,Tie,,Bug Eye Glasses,Brown,Moody Blue,Female,73.68930803473718,2816
2817,Big Nod,Reggae Rabbits,Backalley,Sad,,Steel Stud,Lipstick,Mohawk (Red),,,,Thirties,Marshmellow,Female,44.95952637859783,2817
2818,Bob,Ear Wobbler,Mansion,Mouth Open (Left) + Wink,FLUF Tag,,Lollipop,Afro (Base),Bowtie (Black),Camo Jacket,,Cat (Blue),Hawk,Male,51.73159488980703,2818
2819,Side To Side,Back in the Burrow,Mystic Valley,Blank,Steel Rings,,,Propeller Hat,,Holographic Jacket,Fake Eyelashes,Heart (Red),Red,Female,62.14192329024003,2819
2820,Subtle Nod,I Like to Party,Markets,Mouth Open (Middle) + Wink,Diamond Studs,Gold Ring,Pacifier,,,FLUF Jacket,,Heart (Red),Sandy,Female,60.31274438333476,2820
2821,Bob,What the FLUF,Markets,Mouth Open (Middle),Steel Rings & Studs,,Pacifier,,Bowtie (Red),Kimono,Neon Glasses,Green,Raspberry Ripple,Male,58.37331790029812,2821
2822,Groove,Hop On By,Gallery,Mouth Open (Right),Steel Studs,Steel Stud,Joint,Tuft (Black),,Black FLUF Singlet,,Heart (Red),Red,Female,54.218218012965465,2822
2823,Side To Side,Hop On By,Heaven,Mouth Open (Right),Gold Studs,,Carrot,Bandana,,Pink Jacket,,Reptile (White),Brown,Female,46.427988503885565,2823
2824,Side To Side,Floating or Flying,Lambo,Mouth Open (Right),FLUF Tag,Steel Ring,Cigar,Sombrero,,Camo Jacket,Heart Glasses,Brown,Moody Blue,Female,74.96740890278838,2824
2825,Bob,FLUF You Up,Mansion,Grin,,Clown Nose,,,Collar (Pink),Dress,Round Glasses,Green,Raspberry Ripple,Female,66.31723266174092,2825
2826,Side To Side,Eating Carrots in the Dark,Markets,Blank,,Bull Ring,,Crown,Collar (Pink),,,Fire,Winter,Female,35.391145052223735,2826
2827,Big Nod,Space Fluffle,Pass,Mouth Open (Right),,Gold Ring,Pipe,Mohawk (Red),,,Bug Eye Glasses,Blue,Red,Male,36.34908008718391,2827
2828,Side Nod,Dubhop,Gallery,Blank,,Clown Nose,,,Bowtie (Black),Yellow Rabbit Singlet,Aviators,Brown,Tiger,Male,43.89598110200953,2828
2829,Bob,Disco Rabbit,Markets,Mouth Open (Right),Steel Rings & Studs,Clown Nose,Joint,Mohawk (Base),,Yellow Rabbit Singlet,Bug Eye Glasses,Blue,Brown,Male,56.608174524915945,2829
2830,Side Nod,Hop On By,Beach,Mouth Open (Right),Gold Rings & Studs,,Cigar,Bandana,,,Designer Glasses,Purple,Grey,Male,39.213917624906266,2830
2831,Subtle Nod,I Like to Party,Beach,Mouth Open (Middle),Steel Studs,Bone,Whistle,Flower Crown,Bowtie (Black),,Sunglasses,Green,Bully,Male,62.609323958490435,2831
2832,Subtle Nod,FLUF You Up,Markets,Smile + Wink,Gold Bows,Steel Stud,,Devil Horns,,Flannel Jacket,,Brown,Moody Blue,Male,36.787936433484454,2832
2833,Bob,Run Rabbit,Markets,Sad,Gold Rings,,,,,High Vis Vest,,Heart (Red),Zebra,Male,20.64252664837114,2833
2834,Side To Side,Coffee and Carrots,Lambo,Anger,Gold Bows,Gold Stud,Lollipop,Gold Cap,Dog Tags,,,Green (Dilated),Peppermint,Male,48.11640411068861,2834
2835,Bob,L.O.V.E.,ASTO Discovery Portal,Anger,Bit Ear,Steel Stud,Lollipop,,VIP lanyard,Sign My Carrot Singlet,,Heart (Red),Black & White,Male,52.82720556581685,2835
2836,Side Nod,Electric Carrots,Markets,Blank,Gold Bows,,Medical Mask,Conical Hat,Peace Necklace,Puffer Vest,,Heart (Red),Cheetah,Male,51.92239603234145,2836
2837,Bob,Follow You,Beach,Sad,FLUF Tag,,,Sombrero,Peace Necklace,FLUF Jacket,Aviators,Green,Sky,Male,59.915275733132425,2837
2838,Big Nod,Eating Carrots in the Dark,Star Explorer,Mouth Open (Right),,Steel Ring,Pipe,Beanie,,Sign My Carrot Singlet,,Mandala,Moody Blue,Male,33.022116345634515,2838
2839,Groove,Desert Digging,Tiki,Blank,Gold Rings,Diamond Stud,,Tuft (Base),Collar (Pink),,,Cat (Blue),Brown,Male,30.39273460469171,2839
2840,Side Nod,Back in the Burrow,Dunes,Mouth Open (Right),,Steel Ring,Joint,Mohawk (Base),VIP lanyard,,Designer Glasses,Reptile (Cream),Brown,Male,48.769191900567975,2840
2841,Groove,Coffee and Carrots,Markets,Anger,Steel Rings & Studs,,Lollipop,Bandana,Bone Necklace,Leather Vest,,Heart (Blue),Tiger,Male,49.36597801351905,2841
2842,Side To Side,Lucky Foot,Backalley,Blank,,Bull Ring,,Beer Hat,,Pink Jacket,,Reptile (Cream),Red,Male,24.23727780739167,2842
2843,Round,All I Need,Pre-Game,Mouth Open (Right),FLUF Tag,Gold Stud,Carrot,,FLUF Logo Chain,,Star Glasses,Reptile (Cream),Marshmellow,Male,56.66518421519437,2843
2844,Side Nod,Follow You,Pass,Smile,Gold Studs,,,,Bone Necklace,Flannel Jacket,Sunglasses,Blue,Cow,Male,50.53047786106334,2844
2845,Subtle Nod,Ear Wobbler,Lambo,Anger,Steel Rings & Studs,Bull Ring,Party Horn,,,White Singlet,Cyberpunk Glasses,Blast,Sky,Male,59.75706267680232,2845
2846,Bob,Eating Carrots in the Dark,Pass,Mouth Open (Right),FLUF Tag,Clown Nose,Cigarette,Afro (Black),Collar (Pink),,,Heart (Red),Sandy,Female,55.9791448384447,2846
2847,Side Nod,Beyond the Gates,After Party,Smile + Wink,,,,Birthday Hat,Bowtie (Gold),Puffer Jacket,,Thirties,Peppermint,Male,34.2195070604914,2847
2848,Big Nod,FLUF You Up,Pass,Mouth Open (Right),,Diamond Stud,Pipe,Beanie,,Pink Jacket,Sunglasses,Brown,Brown,Male,47.6613052812169,2848
2849,Side Nod,Rabbiton,FTW (F*ck The War),Blank,,Gold Ring,,Tuft (Base),Bowtie (Red),Puffer Jacket,Star Glasses,Purple,Marshmellow,Female,74.77648480957309,2849
2850,Big Nod,Floating or Flying,Beach,Anger,Steel Rings & Studs,,Lollipop,,,Yellow Rabbit Singlet,Cyberpunk Glasses,Brown,Blossom,Male,47.05708595499967,2850
2851,Groove,What the FLUF,Garden,Mouth Open (Right),Steel Studs,Steel Stud,Pipe,Bandana,Bone Necklace,,,Brown,Winter,Male,31.094767753914056,2851
2852,Bob,Back in the Burrow,Spaceship,Blank,Steel Studs,,,Mohawk (Red),Peace Necklace,Voxel Rabbit Singlet,,Green,Grey,Female,46.02995740150001,2852
2853,Side To Side,Messiah,The Front,Blank,Steel Rings & Studs,Steel Stud,,Army Helmet,,Digital Camo Singlet,Deal With It Glasses,Brown,Camo,Male,52.08005436887473,2853
2854,Groove,Desert Digging,Beach,Mouth Open (Right),Diamond Studs,,Cigarette,Mullet (Base),Gold Chain,,,Fire,Guernica,Male,31.882070569954536,2854
2855,Bob,Beyond the Gates,Beach,Anger,Gold Rings,,Lollipop,,Tie,,Neon Glasses,Green,Grey,Female,57.6709386116965,2855
2856,Bob,Run Rabbit,Garden,Blank,Steel Rings & Studs,,Medical Mask,Conical Hat,Dog Tags,FLUF Jacket,Eye Patch,Green,Blue Blood,Male,65.37223946543459,2856
2857,Side Nod,Disco Rabbit,Spaceship,Mouth Open (Left),Steel Rings,Clown Nose,Party Horn,Cowboy Hat,Bowtie (Black),,,Blue,Cheetah,Female,59.9840094798908,2857
2858,Bob,FLUF You Up,Swamp,Mouth Open (Right),Steel Studs,Clown Nose,Joint,Conical Hat,Lei,,,Xs,Raspberry Ripple,Female,56.36469303890268,2858
2859,Groove,Wouldn't It Be,Beach,Mouth Open (Right),Steel Rings,Diamond Stud,Joint,Mullet (Base),Lei,,,Green (Dilated),Sky,Male,39.234349113780226,2859
2860,Side Nod,Dubhop,Spaceship,Blank,,Gold Stud,,Afro (Base),Bowtie (Red),Leather Vest,,Green (Dilated),Marshmellow,Male,36.32079986702662,2860
2861,Round,Hop On By,Markets,Mouth Open (Right),,,Joint,Beanie,Bowtie (Gold),Camo Jacket,,Red,Winter,Male,29.021188244373203,2861
2862,Groove,Back in the Burrow,Beach,Smile,,,,,,White Singlet,,Blue,Winter,Female,18.073631758282662,2862
2863,Bob,FLUF You Up,Heaven,Blank,Steel Rings,,Medical Mask,Army Helmet,Collar (Black),Voxel Rabbit Singlet,,Reptile (Yellow),Winter,Male,44.28203006633572,2863
2864,Side Nod,Beyond the Gates,Backalley,Mouth Open (Right),Steel Rings & Studs,Bull Ring,Cigar,Cowboy Hat,Bowtie (Red),,,Reptile (Cream),Ice Cream,Male,40.04585762172986,2864
2865,Groove,Back in the Burrow,Heaven,Sad,Bandaged,,,,Bowtie (Red),Camo Jacket,,Heart (Blue),Black & White,Male,30.977414447161667,2865
2866,Side To Side,Back in the Burrow,FTW (F*ck The War),Blank,Gold Rings,Steel Stud,,Tuft (Base),Glowstick Necklace,,Shutter Glasses,Cat (Blue),Grey,Male,49.97425521561611,2866
2867,Bob,Run Rabbit,Garden,Sad,Steel Rings,Bull Ring,,Birthday Hat,,Voxel Rabbit Singlet,Speed Glasses,Brown,Sandy,Female,69.27097448599314,2867
2868,Bob,Dubhop,Tiki,Mouth Open (Right) + Wink,Steel Studs,,Carrot,Mullet (Base),Collar (Pink),,Safety Glasses,Green,Honeycomb,Female,70.32175522793352,2868
2869,Round,Back in the Burrow,Swamp,Mouth Open (Right),Steel Studs,,Cigarette,,,Yellow Rabbit Singlet,Fake Eyelashes,Heart (Red),Retro,Male,42.43967479898505,2869
2870,Groove,Hop With Me,Spaceship,Smile,Steel Rings & Studs,Bull Ring,,Afro (Base),,Voxel Rabbit Singlet,,Yellow,Sandy,Female,51.15909850044946,2870
2871,Bob,Rabbiton,Backalley,Grin + Wink,Red Ribbon,Bull Ring,,Tuft (Base),,Digital Camo Singlet,Star Glasses,Heart (Red),Raspberry Ripple,Male,62.68667831166371,2871
2872,Side Nod,FLUF You Up,Spaceship,Mouth Open (Right),Steel Rings & Studs,Steel Ring,Joint,Tuft (Blonde),Gold Chain,Dress,Fake Eyelashes,Brown,Orange,Female,87.30528148269491,2872
2873,Side Nod,I Like to Party,FTW (F*ck The War),Mouth Open (Right) + Wink,Steel Studs,Bull Ring,Cigar,Conical Hat,Peace Necklace,,Sunglasses,Brown,Hirst,Female,82.71678682494952,2873
2874,Bob,Disco Rabbit,Dunes,Mouth Open (Middle),,Steel Ring,Whistle,Pirate Hat,,,Cyberpunk Glasses,Fire,Brown,Male,44.16428715699953,2874
2875,Round,Hop On By,ASTO Discovery Portal,Smile,Steel Rings,,Lip Piercings,Halo,,Yellow Rabbit Singlet,,Dead,Darkness,Male,40.825161923622886,2875
2876,Big Nod,Ear Wobbler,Spaceship,Grin,Gold Rings,,,Pirate Hat,,Digital Camo Singlet,,Red,Winter,Male,30.052232685334356,2876
2877,Round,Reggae Rabbits,Dunes,Blank,Gold Rings,,,Tennis Hat,Bowtie (Gold),Puffer Vest,Aviators,Blue,Black & White,Male,50.728799476268115,2877
2878,Round,Run Rabbit,Tiki,Blank,Steel Rings & Studs,,Medical Mask,Tuft (Base),,Leather Vest,,Reptile (Yellow),Winter,Male,33.39552739758692,2878
2879,Bob,Hop On By,Dunes,Mouth Open (Right),Steel Rings,Diamond Stud,Cigarette,,VIP lanyard,,Sunglasses,Green,Sky,Male,44.80090263497669,2879
2880,Bob,Ear Wobbler,Dunes,Mouth Open (Right),Gold Rings,Bone,Cigarette,Sombrero,Bowtie (Black),Voxel Rabbit Singlet,,Brown,Winter,Male,46.886899297967474,2880
2881,Round,Follow You,Lambo,Mouth Open (Right),Diamond Cross Earring,,Cigarette,,Bowtie (Black),Kimono,Bug Eye Glasses,Blue,Moody Blue,Female,67.53033711467266,2881
2882,Subtle Nod,Follow You,Lambo,Mouth Open (Left),,,Party Horn,,Headphones,Boob Tube,Fake Eyelashes,Red,Cow,Female,69.32380170455099,2882
2883,Subtle Nod,Eating Carrots in the Dark,Swamp,Mouth Open (Middle) + Wink,,Steel Ring,Pacifier,Conical Hat,Lei,Dress,,Brown,Camo,Female,65.67258903701342,2883
2884,Round,Eating Carrots in the Dark,Tiki,Mouth Open (Right),,Steel Stud,Pipe,Birthday Hat,Collar (Pink),,Neon Glasses,Blue,Sandy,Female,58.782570251658306,2884
2885,Side Nod,Electric Carrots,Mansion,Blank,Gold Studs,,Medical Mask,,Bowtie (Red),Puffer Vest,,Mandala,Zebra,Female,55.92654524948099,2885
2886,Round,Beyond the Gates,Markets,Mouth Open (Middle),Gold Studs,,Whistle,Tennis Hat,,Voxel Rabbit Singlet,,Dollars,Red,Female,57.6996417024249,2886
2887,Subtle Nod,Electric Carrots,Beach,Mouth Open (Right) + Wink,,Steel Stud,Carrot,Sombrero,Bowtie (Black),,,Purple,Zebra,Male,34.64534683059358,2887
2888,Round,FLUF You Up,Garden,Anger,,Steel Stud,,Birthday Hat,VIP lanyard,,,Scribble,Parrot,Male,26.242205996600433,2888
2889,Big Nod,Back in the Burrow,Beach,Mouth Open (Right),Steel Studs,Gold Ring,Joint,,,Kimono,,Green,Black & White,Male,25.101517356854906,2889
2890,Subtle Nod,Ear Wobbler,Backalley,Blank,Gold Studs,,Medical Mask,Mullet (Base),Bowtie (Gold),High Vis Vest,Eye Patch,Yellow,Sandy,Male,66.7923721490147,2890
2891,Side To Side,Hop On By,Dunes,Blank,Steel Studs,,,Mohawk (Base),Clock Necklace,,,Blue,Zebra,Male,17.64748517294031,2891
2892,Big Nod,Rabbiton,Spaceship,Blank,Steel Rings & Studs,,Medical Mask,Cowboy Hat,,Flannel Jacket,3D Glasses,Brown,Hawk,Male,54.42138477703114,2892
2893,Side To Side,Desert Digging,Lambo,Sad,Steel Rings & Studs,Steel Ring,,Tuft (Base),,,,Hypnotic,Marshmellow,Female,41.89594560142187,2893
2894,Side Nod,FLUF You Up,Spaceship,Anger,Steel Rings,Diamond Stud,Party Horn,Flower Crown,,Camo Jacket,,Cat (Blue),Brown,Female,63.96827707993331,2894
2895,Subtle Nod,I Love FLUF,Thank You For Having Us,Sad,Diamond Cross Earring,Bull Ring,,Mullet (Orange),VIP lanyard,,Speed Glasses,Brown,Orange,Male,60.601077305967365,2895
2896,Side Nod,Stardust,Mansion,Smile,Steel Studs,Gold Stud,,Beanie,,Pink Jacket,,Red (Dilated),Sandy,Female,56.26333223650332,2896
2897,Big Nod,Coffee and Carrots,Spaceship,Anger,FLUF Tag,Gold Stud,Party Horn,,Bowtie (Black),,Steampunk Goggles,Brown,Black & White,Female,71.63237520626178,2897
2898,Side Nod,Run Rabbit,Swamp,Blank + Wink,Steel Rings,,,Mohawk (Base),,,,Inverted (Purple),Zombie (Grey),Female,34.66547354002823,2898
2899,Groove,Back in the Burrow,Pass,Blank,Bandaged,Bone,,,Bowtie (Red),Boob Tube,,Blue,Brown,Female,45.95703633310968,2899
2900,Round,Disco Rabbit,Backalley,Mouth Open (Middle),,Steel Stud,Whistle,Flower Crown,Peace Necklace,Digital Camo Singlet,Eye Patch,Blue,Raspberry Ripple,Male,68.18808566928398,2900
2901,Subtle Nod,Coffee and Carrots,Beach,Blank + Wink,Steel Rings,Steel Stud,,Mullet (Base),,Digital Camo Singlet,Sunglasses,Green,Hawk,Male,54.352507790668255,2901
2902,Side Nod,Desert Digging,Pass,Blank,,,,Afro (Black),Tie,,Star Glasses,Heart (Blue),Black & White,Female,50.209220419695555,2902
2903,Round,Reggae Rabbits,Beach,Wonder,,Steel Ring,,Army Helmet,,Puffer Jacket,Designer Glasses,Brown,Moody Blue,Male,46.73681340224055,2903
2904,Side To Side,Hop With Me,Garden,Mouth Open (Left),Steel Rings,,Party Horn,,Bowtie (Black),Black FLUF Singlet,Fake Eyelashes,Green,Peppermint,Female,72.52895047062634,2904
2905,Bob,Space Fluffle,Spaceship,Smile,,Gold Ring,Tongue Out,Tennis Hat,Clock Necklace,,,Purple,Black & White,Female,55.926673507907786,2905
2906,Bob,Wouldn't It Be,The Front,Mouth Open (Right) + Wink,,Steel Ring,Joint,Mullet (Black),,Camo Jacket,,Red,Cow,Male,40.17997128572442,2906
2907,Big Nod,Wouldn't It Be,Lambo,Grin,,Diamond Stud,,Sombrero,Clock Necklace,Tie Dye Singlet,Bug Eye Glasses,Brown,Winter,Male,62.8894409013438,2907
2908,Round,Follow You,Tiki,Mouth Open (Left),,Steel Stud,Lollipop,Devil Horns,Glowstick Necklace,,,Purple,Winter,Male,33.967533569843404,2908
2909,Round,Desert Digging,Tiki,Mouth Open (Middle),Steel Studs,Gold Stud,Whistle,Bandana,Collar (Black),,,Reptile (White),Sandy,Female,62.612963503233374,2909
2910,Subtle Nod,Electric Carrots,FLUF Haus Miami 2021,Mouth Open (Right),,,Pipe,,Clock Necklace,,Dive Goggles,Scribble,Sandy,Male,32.04816523068088,2910
2911,Subtle Nod,Ear Wobbler,Backalley,Anger,,Diamond Stud,Lollipop,Cowboy Hat,,FLUF Jacket,Shutter Glasses,Reptile (Cream),Red,Male,58.91303343746493,2911
2912,Big Nod,Coffee and Carrots,Markets,Mouth Open (Right),Bandaged,Steel Stud,Cigarette,Pirate Hat,Dog Tags,Voxel Rabbit Singlet,,Yellow,Grey,Male,51.93836058537018,2912
2913,Subtle Nod,Eating Carrots in the Dark,Lambo,Mouth Open (Left) + Wink,Steel Studs,Steel Stud,Lollipop,Sun Visor,Bowtie (Black),Puffer Vest,,Fire,Grey,Female,73.68135984167438,2913
2914,Side Nod,Electric Carrots,Beach,Mouth Open (Right),,Bloody,Cigarette,,Bone Necklace,,,Inverted (Purple),Darkness,Male,23.51914580434298,2914
2915,Side Nod,Dubhop,Dunes,Mouth Open (Right),Gold Rings & Studs,Bull Ring,Joint,Bandana,Glowstick Necklace,Boob Tube,,Green,Black & White,Female,64.52014192591751,2915
2916,Groove,Beyond the Gates,Swamp,Mouth Open (Left) + Wink,Gold Bows,Gold Stud,Party Horn,,,Sign My Carrot Singlet,,Hypnotic,Black & White,Female,58.73842082577592,2916
2917,Side Nod,Back in the Burrow,Lambo,Mouth Open (Right) + Wink,,Steel Ring,Cigarette,Mullet (Black),Bowtie (Red),High Vis Vest,,Reptile (White),Grey,Male,48.08389879165187,2917
2918,Big Nod,Reggae Rabbits,Heaven,Mouth Open (Middle),Steel Rings & Studs,,Pacifier,Cowboy Hat,Gold Chain,Black FLUF Singlet,Aviators,Glowing White,Peppermint,Male,74.74883714828657,2918
2919,Subtle Nod,I Like to Party,Heaven,Mouth Open (Right),,,Cigarette,Devil Horns,Lei,,Heart Glasses,Green,Moody Blue,Male,36.949620137304876,2919
2920,Big Nod,What the FLUF,Beach,Mouth Open (Right) + Wink,FLUF Tag,Clown Nose,Cigarette,,,Flannel Jacket,Aviators,Blue,Peppermint,Male,56.77875155671674,2920
2921,Subtle Nod,Electric Carrots,Pre-Game,Mouth Open (Right),Bit Ear,,Joint,,Tie,,,Dollars,Orange,Female,39.887358471157214,2921
