,stankfinder,MUNCHYHOLE,Eye on dat side,Eyz on dis side,Hedz,Eers,Boddee,collrzes,1 of 1,djeimebdie,Rarity score,Token Id
1811,blobby,blahhhhhhh,oook,eeeeeediot,cracky,eer,shy gobblin,nothin,None,None,2.043228343152226,1811
1812,sniffer,mouf,suthpithus,sparples,avvokado,eors,dat spase soot gots holes,mold,None,None,1.6304378055500617,1812
1813,kwaigun,bleebleebloobloo,termigooblin,lookin down,deflateded,leefs,teeheehee,darkerer,None,None,12.3971164754859,1813
1814,LAAAYZERSNOT,nomnomhole,grrrAAAAAuuugh,das not an eyez!,wart top,eerz?,flappy,bloody milk yumm,None,None,6.1572922574226245,1814
1815,dizeezsd,mouf,whoaz me,punchded,deflateded,eirs,furr,dirt,None,None,4.6437602161390155,1815
1816,danglydoo,mouf,gooness,hipnoatisn,soft pare,iers,wekkum tarbys,darkerer,None,None,5.09785630335925,1816
1817,goz down,oobie doo,oook,spooky,soft pare,woodywood eers,yaris pleeze,darkderest,None,None,8.661507141967679,1817
1818,dizeezsd,blablabla,zoweee,o noooooo,taterhead,eors,sashay,bloody milk yumm,None,None,2.717455527112721,1818
1819,pointy,glibbaglab,tremblr,o noooooo,kiwimonstr,EERS,dat spase soot gots holes,purdy cave,None,None,3.4260854192934302,1819
1820,crooky,oobie doo,whoaz me,seepy,avvokado,eeerbonez,flappy,bloody milk yumm,None,None,3.11647204187686,1820
1821,goz down,blablabla,whoaz me,sparples,avvokado,eer,yaris pleeze,wat dis?,None,None,5.077193205099068,1821
1822,danglydoo,blablabla,angreye,teeny peephoal,flatface,earz,yur mom,kobold puke,None,None,2.855030579816563,1822
1823,shnozz,bleebleebloobloo,zoweee,lookin hear,deflateded,eirs,yur mom,wat dis?,None,None,4.829523699888739,1823
1824,shnozz,yabbagabba,nspektin stuff,seepy,bumpynoggn,EERS,clubbin time,fLEsh stik,None,None,3.2471979358922374,1824
1825,sniffer,mrnnhrhmn,tremblr,lookin dere,taterhead,eermoffs,shy gobblin,stupid sun,None,None,6.996594365031829,1825
1826,shnozz,glibbaglab,grrrAAAAAuuugh,ooooh,avvokado,eermoffs,ouchies,purdy cave,None,None,4.3066683026809205,1826
1827,droopy,bleebleebloobloo,zoinks,hangded over,wart top,earrz,blarggh,nothin,None,None,2.972009291279813,1827
1828,berries,gooooooo,hlo,eh?,growf,eirs,sashay,stupid sun,None,None,4.017713892159161,1828
1829,is dat a nose,mouffs,nar,blindeded,avvokado,floaty eerz,furr,darkerer,None,None,6.060997291121851,1829
1830,udder pointy kind,nuddernuddermouf,nar,eeep,bumpynoggn,eeeeers,REKT,nothin,None,None,6.14355746346993,1830
1831,das notta nose,gaaahhh,don lookitme,transeded,deflateded,iers,ouchies,mold,None,None,3.46047642996897,1831
1832,dizeezsd,nuddernuddermouf,wass dat way,ooooh,flatface,eerchompr,ETH,mold,None,None,4.024593332665619,1832
1833,is dat a nose,blippyblipblipblip,pinkypinkpink,spooky,kiwimonstr,eeerbonez,Diamondhands?,nothin,None,None,4.519928903081035,1833
1834,droopy,burblurblurb,i seend a mouse! yum!,look up dere,jawboymangirl,earrz,furr,stupid sun,None,None,5.228505806966193,1834
1835,uppy,mouf,hlo,glowcoma,bumpynoggn,eirs,wekkum tarbys,dirt,None,None,4.34106206474991,1835
1836,shnozz,nomnomhole,i seend a mouse! yum!,squintee,bumpynoggn,earrz,blarggh,stupid color,None,None,5.76514279456551,1836
1837,goz down,blippyblipblipblip,zoweee,spooky,furrrrrrrrrr,eeeeers,BLINGG,stupid sun,None,None,5.448699527833818,1837
1838,arouzd,yabbagabba,zoweee,seepy,bumpynoggn,eerz?,New Tattoo,dirt,None,None,5.538126753463092,1838
1839,buttnose,bleebleebloobloo,whoaz me,eeeeeediot,cracky,eeerbonez,dawwww,nothin,None,None,2.6142480851091334,1839
1840,dizeezsd,nomnomhole,termigooblin,spooky,jawboymangirl,eeerbonez,eeeeeeeeboooom,mold,None,None,6.996634280849409,1840
1841,arouzd,mrnnhrhmn,don lookitme,wass overder?,growf,eers,clubbin time,stupid sun,None,None,5.139078580573492,1841
1842,pointy,nudder mouf,grrrAAAAAuuugh,yallo,wart top,earz,RRRRRRAAAAAHHH,purdy cave,None,None,4.065858277090891,1842
1843,das notta nose,blablabla,don lookitme,grekd,cracky,eirs,furr,mold,None,None,2.916978581403263,1843
1844,dizeezsd,blippyblipblipblip,narf,sparples,oweee,floaty eerz,shy gobblin,nothin,None,None,3.543029032473293,1844
1845,ouchie,gaaahhh,oook,grekd,bierdy,eirs,RRRRRRAAAAAHHH,kobold puke,None,None,3.6874986646076775,1845
1846,pointy,flthththlffh,pinkypinkpink,glowcoma,jawboymangirl,floaty eerz,ouchies,wat dis?,None,None,4.100267871429009,1846
1847,arouzd,blarrr,peep,spooky,oweee,earz,BLINGG,fLEsh stik,None,None,3.0476790109821543,1847
1848,blobby,mubblebumm,grrrAAAAAuuugh,transeded,cracky,eeeeers,dat spase soot gots holes,bloody milk yumm,None,None,3.027016601333763,1848
1849,dizeezsd,LAZERBARRF,tremblr,squintee,deflateded,eers,clubbin time,stupid color,None,None,7.5057473136500334,1849
1850,goz down,gaaahhh,i seend a mouse! yum!,seepy,jawboymangirl,eeeeers,dat spase soot gots holes,purdy cave,None,None,2.7794014621006227,1850
1851,funny,yabbagabba,peep,krazed,STABBYSTABHEAD,eer,yaris pleeze,dirt,None,None,7.127337462585177,1851
1852,danglydoo,burblurblurb,don lookitme,lookin dere,taterhead,blingyfaweez,grey body,bloody milk yumm,None,None,8.71652064540523,1852
1853,das notta nose,yabbagabba,gathp,lookin dere,cracky,eer,RRRRRRAAAAAHHH,rottn elfboddie,None,None,3.7700423215715184,1853
1854,arouzd,glibbaglab,i seend a mouse! yum!,hangded over,wart top,eirs,REKT,kobold puke,None,None,5.29735389336599,1854
1855,goz down,mouf,peep,lookin down,oweee,earrz,yur mom,mold,None,None,2.098309290083562,1855
1856,flassid,gaaahhh,tremblr,teeny peephoal,deflateded,eeerbonez,fansee,stupid sun,None,None,5.661962882681094,1856
1857,buttnose,nomnomhole,oook,sparples,cracky,eeerbonez,dawwww,darkderest,None,None,4.155296515928244,1857
1858,goz down,blarrr,termigooblin,eh?,flatface,eermoffs,furr,kobold puke,None,None,3.426084041459107,1858
1859,droopy,gooooooo,whaja say?,hipnoatisn,oweee,woodywood eers,ETH,nothin,None,None,9.74847118509614,1859
1860,goz down,ibblebiddle,suthpithus,yallo,taterhead,onny a fleshwoond,yaris pleeze,darkerer,None,None,9.1293160014577,1860
1861,blobby,mouf,gathp,teeny peephoal,flatface,eers,yaris pleeze,fLEsh stik,None,None,4.939615398558807,1861
1862,pointy,blahhhhhhh,browney,punchded,taterhead,iers,fansee,dirt,None,None,4.148440474480958,1862
1863,blobby,LAZERBARRF,nspektin stuff,wass overder?,soft pare,eers,wekkum tarbys,stupid sun,None,None,7.079188260119255,1863
1864,goz down,blarrr,not enthuzd,blindeded,jawboymangirl,eeeeers,teeheehee,bloody milk yumm,None,None,6.095369720425096,1864
1865,ouchie,mouf,grrrAAAAAuuugh,transeded,growf,eerz?,grey body,darkerer,None,None,2.972033375744379,1865
1866,droopy,yabbagabba,LAZZARZZZZ,ooop,oweee,eer,blarggh,mold,None,None,4.485555786692855,1866
1867,arouzd,glaaaaaah,hlo,upside downside,avvokado,leefs,ouchies,stupid color,None,None,9.46641754967881,1867
1868,pointy,oobie doo,not enthuzd,das not an eyez!,kiwimonstr,floaty eerz,New Tattoo,darkerer,None,None,7.780920818727632,1868
1869,funny,gaaahhh,angreye,teeny peephoal,soft pare,eerchompr,eeeeeeeeboooom,kobold puke,None,None,6.377466710749134,1869
1870,dizeezsd,ibblebiddle,gathp,squintee,jawboymangirl,onny a fleshwoond,flappy,kobold puke,None,None,5.579406152170482,1870
1871,udder pointy kind,nuddernuddermouf,browney,spooky,taterhead,EERS,dawwww,fLEsh stik,None,None,2.1670754834407098,1871
1872,bloo,mouf,gathp,lookin down,floppee,floaty eerz,furr,stupid sun,None,None,4.7676259370363665,1872
1873,droopy,yabbagabba,grrrAAAAAuuugh,upside downside,floppee,eerchompr,RRRRRRAAAAAHHH,darkerer,None,None,5.352391486154048,1873
1874,arouzd,bleebleebloobloo,peep,lookit dat,growf,eeerbonez,REKT,bloody milk yumm,None,None,5.80643251512085,1874
1875,danglydoo,mubblebumm,nar,squintee,wart top,eers,yur mom,nothin,None,None,2.992644860336936,1875
1876,is dat a nose,blarrr,browney,eh?,deflateded,eer,ouchies,nothin,None,None,2.63488778339403,1876
1877,bloo,blarrr,das not eyz eeder,look up dere,soft pare,eers,furr,kobold puke,None,None,0.40590627910345745,1877
1878,arouzd,nuddernuddermouf,gooness,lookin dere,SPIKR,floaty eerz,fansee,kobold puke,None,None,5.5037343660220275,1878
1879,funny,mrnnhrhmn,look dis way,teeny peephoal,flatface,eer,grey body,wat dis?,None,None,4.609349248089085,1879
1880,kwaigun,mouf,hlo,lookin down,floppee,eeeeers,fansee,wat dis?,None,None,4.389244988733696,1880
1881,shnozz,burblurblurb,browney,seepy,furrrrrrrrrr,warin der farree,REKT,kobold puke,None,None,11.454649593236825,1881
1882,berries,mouf,grrrAAAAAuuugh,eeep,taterhead,warin der farree,Diamondhands?,dirt,None,None,8.51701342048279,1882
1883,flassid,nuddernuddermouf,suthpithus,look up dere,cracky,earrz,BLINGG,fLEsh stik,None,None,1.8024307081465418,1883
1884,udder pointy kind,nudder mouf,waaah,eeeeeediot,furrrrrrrrrr,woodywood eers,ETH,fLEsh stik,None,None,10.945544819655172,1884
1885,shnozz,aaaabaaaaabbbaaa,angreye,lookin dere,oweee,eers,wanna poak dat,kobold puke,None,None,2.7312254190434317,1885
1886,blobby,mubblebumm,i seend a mouse! yum!,lookin down,furrrrrrrrrr,eerz?,shy gobblin,wat dis?,None,None,4.416759312586512,1886
1887,ouchie,blippyblipblipblip,whoaz me,punchded,wart top,eers,BLINGG,rottn elfboddie,None,None,4.69196172134241,1887
1888,is dat a nose,nuddernuddermouf,gooness,sparples,deflateded,eer,clubbin time,darkerer,None,None,4.169086366149458,1888
1889,das notta nose,oobie doo,gooness,upside downside,avvokado,eeerbonez,eeeeeeeeboooom,wat dis?,None,None,6.157326665872738,1889
1890,funny,mouf,pinkypinkpink,lookit dat,soft pare,warin der farree,RRRRRRAAAAAHHH,dirt,None,None,6.384326883867161,1890
1891,funny,yabbagabba,nspektin stuff,spooky,bierdy,eors,wanna poak dat,mold,None,None,1.940059441574864,1891
1892,dribble,mubblebumm,suthpithus,ooooh,SPIKR,eer,stukinda troat,purdy cave,None,None,6.102275313063718,1892
1893,arouzd,mouf,don lookitme,lookin dere,jawboymangirl,eer,shy gobblin,wat dis?,None,None,3.405431957475803,1893
1894,goz down,blarrr,das not eyz eeder,look up dere,soft pare,eors,dawwww,purdy cave,None,None,0.0,1894
1895,uppy,mubblebumm,grrrAAAAAuuugh,wass overder?,bierdy,eeerbonez,RRRRRRAAAAAHHH,fLEsh stik,None,None,3.591184430155045,1895
1896,das notta nose,mouf,tremblr,lookin down,oweee,eirs,wekkum tarbys,dirt,None,None,4.6300068389818,1896
1897,bloo,gaaahhh,tremblr,glowcoma,growf,eeerbonez,grey body,rottn elfboddie,None,None,4.217228000603851,1897
1898,blobby,gooooooo,browney,look up dere,oweee,earz,clubbin time,kobold puke,None,None,3.144021461112038,1898
1899,das notta nose,aaaabaaaaabbbaaa,browney,lookin down,soft pare,onny a fleshwoond,dat spase soot gots holes,darkderest,None,None,7.395662495753876,1899
1900,udder pointy kind,ibblebiddle,hlo,eeeeeediot,STABBYSTABHEAD,eeerbonez,sashay,wat dis?,None,None,3.8388594404425573,1900
1901,goz down,oobie doo,look dis way,lookin dere,taterhead,iers,sashay,stupid sun,None,None,5.0221439126287395,1901
1902,dizeezsd,oobie doo,peep,eh?,bierdy,leefs,sashay,mold,None,None,6.246722238262487,1902
1903,buttnose,mouffs,grrrAAAAAuuugh,hipnoatisn,bumpynoggn,LAAAAAZZER EERS,wanna poak dat,fludded tunlz,None,None,8.40693892687755,1903
1904,das notta nose,glibbaglab,i seend a mouse! yum!,lookin down,bierdy,earrz,yur mom,nothin,None,None,2.449147009633632,1904
1905,shnozz,oobie doo,termigooblin,ooop,kiwimonstr,eirs,grey body,darkerer,None,None,5.159740989458456,1905
1906,dizeezsd,mouf,tremblr,lookin dere,bumpynoggn,eerz?,Diamondhands?,stupid sun,None,None,7.051686324255131,1906
1907,zippyzipzip,nudder mouf,browney,upside downside,wart top,eors,wanna poak dat,bloody milk yumm,None,None,4.2378752687325045,1907
1908,arouzd,bleebleebloobloo,angreye,transeded,deflateded,iers,sashay,kobold puke,None,None,3.907653161475909,1908
1909,sniffer,ibblebiddle,suthpithus,yallo,taterhead,earz,inna bun,mold,None,None,3.487966665692767,1909
1910,bloo,nuddernuddermouf,look dis way,look up dere,soft pare,floaty eerz,flappy,nothin,None,None,1.8712375037954625,1910
1911,flassid,ibblebiddle,oook,lookin hear,soft pare,warin der farree,dat spase soot gots holes,bloody milk yumm,None,None,7.120462841597824,1911
1912,buttnose,aaaabaaaaabbbaaa,look dis way,das not an eyez!,bumpynoggn,eer,blarggh,bloody milk yumm,None,None,5.049684387392235,1912
1913,funny,glaaaaaah,wass dat way,hipnoatisn,furrrrrrrrrr,earz,wanna poak dat,nothin,None,None,5.187282151306886,1913
1914,LAAAYZERSNOT,LAZERBARRF,LAZZARZZZZ,LAZERRR,avvokado,LAAAAAZZER EERS,ouchies,fludded tunlz,None,None,16.17404443277971,1914
1915,dizeezsd,blippyblipblipblip,tremblr,sparples,avvokado,eers,dawwww,mold,None,None,2.022610665328751,1915
1916,dizeezsd,glaaaaaah,gooness,lookin hear,STABBYSTABHEAD,blingyfaweez,flappy,mold,None,None,8.757803485797403,1916
1917,kwaigun,gooooooo,waaah,transeded,wart top,iers,dat spase soot gots holes,bloody milk yumm,None,None,5.6138095496132285,1917
1918,zippyzipzip,yabbagabba,i seend a mouse! yum!,upside downside,kiwimonstr,earz,clubbin time,mold,None,None,1.9950984077693628,1918
1919,zippyzipzip,blablabla,wass dat way,LAZERRR,cracky,eeerbonez,wanna poak dat,nothin,None,None,3.439850494148005,1919
1920,ouchie,mouffs,gathp,krazed,soft pare,iers,sashay,wat dis?,None,None,2.4904374197168755,1920
1921,arouzd,aaaabaaaaabbbaaa,nar,ooop,soft pare,EERS,ouchies,dirt,None,None,3.233415656125522,1921
1922,kwaigun,glaaaaaah,gooness,transeded,avvokado,leefs,furr,kobold puke,None,None,7.347518109295291,1922
1923,dizeezsd,nuddernuddermouf,zoweee,grekd,furrrrrrrrrr,earrz,New Tattoo,fLEsh stik,None,None,6.515043828219548,1923
1924,zippyzipzip,glibbaglab,i seend a mouse! yum!,sparples,furrrrrrrrrr,eors,sashay,darkderest,None,None,4.0590228834620135,1924
1925,bloo,flthththlffh,das not eyz eeder,grekd,taterhead,eerz?,dat spase soot gots holes,bloody milk yumm,None,None,2.318444516204282,1925
1926,dizeezsd,mouf,gooness,eh?,growf,earz,ouchies,rottn elfboddie,None,None,3.5499229239027876,1926
1927,flassid,mrnnhrhmn,das not eyz eeder,teeny peephoal,oweee,leefs,clubbin time,stupid sun,None,None,9.390727185822515,1927
1928,uppy,mubblebumm,look dis way,upside downside,bumpynoggn,earrz,fansee,mold,None,None,3.756305461783453,1928
1929,funny,nudder mouf,zoweee,grekd,flatface,floaty eerz,wanna poak dat,bloody milk yumm,None,None,5.104718539258937,1929
1930,flassid,blahhhhhhh,don lookitme,eeep,flatface,eer,New Tattoo,kobold puke,None,None,4.396120989998341,1930
1931,buttnose,flthththlffh,waaah,transeded,soft pare,earrz,fansee,fLEsh stik,None,None,2.779391139947303,1931
1932,zippyzipzip,burblurblurb,nar,lookit dat,wart top,warin der farree,wanna poak dat,fLEsh stik,None,None,7.189249678803557,1932
1933,udder pointy kind,oobie doo,waaah,ooooh,taterhead,floaty eerz,inna bun,mold,None,None,4.526838623725945,1933
1934,droopy,nudder mouf,waaah,lookin dere,avvokado,eors,Diamondhands?,wat dis?,None,None,7.1823991409065995,1934
1935,kwaigun,blippyblipblipblip,look dis way,eeep,wart top,eeeeers,dat spase soot gots holes,kobold puke,None,None,4.616274795964499,1935
1936,zippyzipzip,glibbaglab,waaah,transeded,STABBYSTABHEAD,eirs,ouchies,mold,None,None,5.352379785402976,1936
1937,flassid,oobie doo,browney,eeep,oweee,eer,wanna poak dat,bloody milk yumm,None,None,3.8319703644096585,1937
1938,das notta nose,mouf,grrrAAAAAuuugh,das not an eyez!,cracky,eirs,yur mom,nothin,None,None,3.0613952243259823,1938
1939,goz down,gaaahhh,browney,eh?,furrrrrrrrrr,LAAAAAZZER EERS,shy gobblin,darkderest,None,None,8.351923357757311,1939
1940,kwaigun,nudder mouf,grrrAAAAAuuugh,o noooooo,avvokado,eerz?,ETH,darkerer,None,None,8.166170195855535,1940
1941,dizeezsd,mouf,nar,look up dere,jawboymangirl,earrz,ouchies,fLEsh stik,None,None,2.345963654995636,1941
1942,pointy,bleebleebloobloo,whaja say?,transeded,floppee,EERS,yur mom,fludded tunlz,None,None,5.565656903782984,1942
1943,droopy,nuddernuddermouf,zoweee,glowcoma,oweee,earz,dawwww,wat dis?,None,None,3.1164569026474043,1943
1944,berries,nuddernuddermouf,narf,ooop,jawboymangirl,eors,Diamondhands?,darkerer,None,None,5.297347699371645,1944
1945,goz down,blarrr,angreye,o noooooo,jawboymangirl,eers,blarggh,kobold puke,None,None,1.5891535885450507,1945
1946,buttnose,glibbaglab,grrrAAAAAuuugh,squintee,oweee,floaty eerz,sashay,rottn elfboddie,None,None,5.53124042958707,1946
1947,das notta nose,oobie doo,nar,o noooooo,STABBYSTABHEAD,onny a fleshwoond,ouchies,stupid color,None,None,9.514557808131107,1947
1948,kwaigun,mrnnhrhmn,termigooblin,eeeeeediot,growf,eerchompr,fansee,rottn elfboddie,None,None,5.3730263665993805,1948
1949,sniffer,nudder mouf,termigooblin,krazed,wart top,floaty eerz,clubbin time,fLEsh stik,None,None,4.334177805640461,1949
1950,crooky,mubblebumm,not enthuzd,hangded over,bierdy,eeerbonez,shy gobblin,fLEsh stik,None,None,2.758764517652145,1950
1951,goz down,gaaahhh,browney,hangded over,jawboymangirl,floaty eerz,blarggh,wat dis?,None,None,3.2334129038159576,1951
1952,udder pointy kind,mouffs,wass dat way,punchded,SPIKR,eors,dat spase soot gots holes,purdy cave,None,None,4.753841592655763,1952
1953,arouzd,blarrr,peep,look up dere,bierdy,leefs,RRRRRRAAAAAHHH,nothin,None,None,6.714571011737863,1953
1954,dribble,nudder mouf,pinkypinkpink,transeded,jawboymangirl,eers,fansee,nothin,None,None,3.859466797944939,1954
1955,bloo,blarrr,tremblr,ooop,floppee,earz,RRRRRRAAAAAHHH,fludded tunlz,None,None,3.5842919136588485,1955
1956,goz down,gooooooo,narf,ooop,oweee,floaty eerz,grey body,dirt,None,None,3.7837915688902184,1956
1957,goz down,nomnomhole,waaah,lookin dere,flatface,eerz?,fansee,fludded tunlz,None,None,4.870807226602419,1957
1958,uppy,bleebleebloobloo,look dis way,look up dere,jawboymangirl,earrz,shy gobblin,nothin,None,None,4.09341045046786,1958
1959,bloo,blippyblipblipblip,pinkypinkpink,look up dere,bierdy,EERS,flappy,rottn elfboddie,None,None,3.1096077418213426,1959
1960,shnozz,flthththlffh,hlo,upside downside,jawboymangirl,earz,BLINGG,nothin,None,None,2.8825944534865444,1960
1961,dizeezsd,glibbaglab,nspektin stuff,lookin down,deflateded,eerz?,grey body,bloody milk yumm,None,None,3.487985247217747,1961
1962,crooky,nudder mouf,don lookitme,transeded,TAK UR ORDRR?,eerz?,wanna poak dat,kobold puke,None,None,6.680172431523938,1962
1963,droopy,blablabla,i seend a mouse! yum!,sparples,bierdy,eeeeers,flappy,purdy cave,None,None,2.297793118084428,1963
1964,shnozz,gaaahhh,tremblr,look up dere,bierdy,eors,wekkum tarbys,fLEsh stik,None,None,3.446718924958151,1964
1965,droopy,mouffs,nar,seepy,avvokado,earrz,sashay,fludded tunlz,None,None,4.04521995587689,1965
1966,danglydoo,mouf,angreye,seepy,STABBYSTABHEAD,iers,fansee,mold,None,None,5.111594538691355,1966
1967,pointy,nomnomhole,zoinks,punchded,floppee,eeerbonez,grey body,purdy cave,None,None,5.0083836563771555,1967
1968,blobby,gooooooo,pinkypinkpink,hipnoatisn,kiwimonstr,eers,sashay,bloody milk yumm,None,None,4.237849805517502,1968
1969,kwaigun,blahhhhhhh,nar,seepy,kiwimonstr,eirs,flappy,bloody milk yumm,None,None,2.841304043861358,1969
1970,uppy,blippyblipblipblip,wass dat way,punchded,floppee,eerz?,fansee,bloody milk yumm,None,None,4.409870238080468,1970
1971,pointy,aaaabaaaaabbbaaa,grrrAAAAAuuugh,o noooooo,furrrrrrrrrr,eerz?,ouchies,stupid sun,None,None,5.655085505719725,1971
1972,dribble,ibblebiddle,hlo,sparples,bumpynoggn,eerchompr,BLINGG,kobold puke,None,None,2.6623986663254917,1972
1973,shnozz,mouf,nar,ooop,growf,eer,yur mom,kobold puke,None,None,1.485969547738233,1973
1974,sniffer,nuddernuddermouf,don lookitme,wass overder?,floppee,eors,flappy,fludded tunlz,None,None,3.4673613753999257,1974
1975,udder pointy kind,glibbaglab,tremblr,blindeded,taterhead,eeerbonez,dat spase soot gots holes,kobold puke,None,None,2.3872189687804037,1975
1976,bloo,blahhhhhhh,look dis way,seepy,kiwimonstr,eeeeers,wekkum tarbys,kobold puke,None,None,2.7793725607126065,1976
1977,uppy,blahhhhhhh,whaja say?,eh?,jawboymangirl,eeeeers,flappy,mold,None,None,2.3459416346868998,1977
1978,berries,glibbaglab,termigooblin,eeeeeediot,soft pare,earrz,wanna poak dat,rottn elfboddie,None,None,3.1577438716566077,1978
1979,udder pointy kind,flthththlffh,nspektin stuff,lookin down,furrrrrrrrrr,warin der farree,shy gobblin,stupid sun,None,None,8.922912130047862,1979
1980,uppy,blarrr,look dis way,o noooooo,jawboymangirl,eer,sashay,darkderest,None,None,4.967111829803804,1980
1981,dribble,aaaabaaaaabbbaaa,waaah,wass overder?,bierdy,eeeeers,sashay,mold,None,None,4.980882409277506,1981
1982,shnozz,nomnomhole,don lookitme,krazed,taterhead,EERS,wekkum tarbys,purdy cave,None,None,4.691925248889152,1982
1983,blobby,blarrr,peep,krazed,jawboymangirl,eerchompr,dat spase soot gots holes,nothin,None,None,2.449162150848,1983
1984,das notta nose,blarrr,nspektin stuff,das not an eyez!,STABBYSTABHEAD,earrz,flappy,darkderest,None,None,5.290452430871256,1984
1985,is dat a nose,nuddernuddermouf,gooness,transeded,SPIKR,earrz,clubbin time,rottn elfboddie,None,None,6.0609518711431996,1985
1986,shnozz,glaaaaaah,gooness,ooooh,avvokado,eerz?,shy gobblin,darkerer,None,None,4.836390064863514,1986
1987,funny,oobie doo,suthpithus,ooop,avvokado,eer,dat spase soot gots holes,wat dis?,None,None,2.8275327744016954,1987
1988,buttnose,blarrr,gathp,hipnoatisn,jawboymangirl,LAAAAAZZER EERS,wekkum tarbys,mold,None,None,6.570084861318216,1988
1989,is dat a nose,bleebleebloobloo,suthpithus,ooop,TAK UR ORDRR?,eors,wanna poak dat,bloody milk yumm,None,None,6.446227398876412,1989
1990,dizeezsd,mouffs,termigooblin,yallo,deflateded,eerz?,flappy,purdy cave,None,None,2.7174768614053213,1990
1991,bloo,glibbaglab,gathp,sparples,floppee,earz,ouchies,bloody milk yumm,None,None,2.3941080429810766,1991
1992,droopy,nuddernuddermouf,gathp,eeep,bierdy,eer,wekkum tarbys,nothin,None,None,3.4054044304103415,1992
1993,droopy,mrnnhrhmn,whoaz me,yallo,soft pare,eerz?,dawwww,bloody milk yumm,None,None,3.474242195114876,1993
1994,crooky,mouf,grrrAAAAAuuugh,ooop,wart top,eeerbonez,dat spase soot gots holes,stupid color,None,None,3.3985298066746488,1994
1995,sniffer,yabbagabba,hlo,ooop,bierdy,iers,RRRRRRAAAAAHHH,nothin,None,None,2.297795182240258,1995
1996,berries,mrnnhrhmn,grrrAAAAAuuugh,seepy,growf,eeerbonez,wanna poak dat,dirt,None,None,1.8781451624221401,1996
1997,pointy,nuddernuddermouf,hlo,ooop,kiwimonstr,eerchompr,flappy,fludded tunlz,None,None,2.8963086002315745,1997
1998,goz down,blarrr,zoweee,grekd,bierdy,eerchompr,grey body,stupid color,None,None,4.1277601708505784,1998
1999,zippyzipzip,nomnomhole,oook,das not an eyez!,cracky,floaty eerz,dat spase soot gots holes,darkderest,None,None,5.572519828294461,1999
2000,droopy,mrnnhrhmn,das not eyz eeder,das not an eyez!,flatface,earz,clubbin time,darkderest,None,None,4.519950925069312,2000
2001,droopy,bleebleebloobloo,browney,look up dere,taterhead,eeerbonez,furr,darkderest,None,None,4.506183785753536,2001
2002,funny,mouf,peep,lookin hear,bierdy,eeerbonez,clubbin time,dirt,None,None,3.3159661930998445,2002
2003,goz down,mouffs,i seend a mouse! yum!,punchded,SPIKR,buttfly eerz,furr,darkderest,None,None,10.230054066508075,2003
2004,udder pointy kind,gooooooo,not enthuzd,squintee,kiwimonstr,earz,flappy,fLEsh stik,None,None,2.6418133332543565,2004
2005,ouchie,glaaaaaah,nspektin stuff,lookin dere,cracky,eers,inna bun,fLEsh stik,None,None,3.446718237720531,2005
2006,bloo,nuddernuddermouf,i seend a mouse! yum!,squintee,STABBYSTABHEAD,earrz,blarggh,fLEsh stik,None,None,4.203452602069101,2006
2007,flassid,flthththlffh,whaja say?,seepy,furrrrrrrrrr,eors,grey body,bloody milk yumm,None,None,3.6255960866640806,2007
2008,shnozz,blarrr,das not eyz eeder,lookin down,bierdy,earrz,wekkum tarbys,kobold puke,None,None,2.407888257828535,2008
2009,udder pointy kind,oobie doo,termigooblin,glowcoma,floppee,eirs,wanna poak dat,darkerer,None,None,5.6344113989847155,2009
2010,buttnose,ibblebiddle,gooness,krazed,flatface,eerchompr,fansee,fludded tunlz,None,None,3.5636315687770286,2010
2011,blobby,flthththlffh,hlo,blindeded,soft pare,eors,yaris pleeze,mold,None,None,4.203445720226393,2011
2012,flassid,burblurblurb,gooness,eh?,bumpynoggn,earz,furr,fLEsh stik,None,None,4.1346926016375,2012
2013,bloo,blahhhhhhh,browney,punchded,avvokado,earz,fansee,purdy cave,None,None,2.552351012090035,2013
2014,zippyzipzip,gaaahhh,not enthuzd,glowcoma,bumpynoggn,floaty eerz,teeheehee,rottn elfboddie,None,None,7.939119743096609,2014
2015,droopy,blablabla,pinkypinkpink,transeded,kiwimonstr,warin der farree,flappy,bloody milk yumm,None,None,6.07472589382854,2015
2016,uppy,blarrr,suthpithus,lookit dat,kiwimonstr,earrz,eeeeeeeeboooom,darkderest,None,None,6.377474969662737,2016
2017,zippyzipzip,flthththlffh,nspektin stuff,krazed,soft pare,eerz?,grey body,fLEsh stik,None,None,1.4515799124540474,2017
2018,sniffer,bleebleebloobloo,whoaz me,sparples,SPIKR,eeeeers,yaris pleeze,wat dis?,None,None,8.585833979817128,2018
2019,pointy,mrnnhrhmn,angreye,lookin down,growf,eerz?,shy gobblin,purdy cave,None,None,3.6324707108578296,2019
2020,udder pointy kind,nudder mouf,oook,eeep,floppee,eors,blarggh,darkerer,None,None,5.39364748397004,2020
2021,shnozz,blippyblipblipblip,whaja say?,spooky,bierdy,eers,blarggh,darkderest,None,None,3.907660731777722,2021
2022,pointy,yabbagabba,das not eyz eeder,eh?,STABBYSTABHEAD,eer,inna bun,purdy cave,None,None,6.116016302690299,2022
2023,sniffer,blippyblipblipblip,pinkypinkpink,look up dere,taterhead,eirs,sashay,nothin,None,None,2.414732601578461,2023
2024,kwaigun,mouffs,look dis way,sparples,deflateded,eirs,furr,wat dis?,None,None,4.6712931193792135,2024
