,Chin,Eyes,Hat,Back,Layerz,Lol-Drip,Base-Layer,Sides,Nose,Smoking,Lips,Tattoos,Mouth,Body,Tail,Background,Rarity score,Token Id
706,Techno,Diamond,Broad-Brim,Purple-1,Vest-1,None,Sweater-Pink,Spots,Flared,None,None,None,Disgusted,Green,Stripy,Teal,44.51552441062384,706
707,Lines,Veins-2,Beanie-Mustard,Pink-2,None,Dystopian,None,Scales,Snouty,None,None,None,Closed,Green,Mottled,Teal,12.947123608879064,707
708,Armoured,Chameleon-Almond-Blue,Mars-Blackmon,Pink-4,None,Birds-Aren't-Real,None,Black-Tatts,Deep,None,Neon-Green,Colour-Tatts,Razor-Sharp,Blue,Waves,Brown,51.78625085820345,708
709,Little-Bumps,Dopey-Grey,Creepz,Purple-3,None,Argyle-3,None,Ovals,Flared,None,None,Colour-Tatts,Befuddled,Green,Sharp,Teal,26.5792780405972,709
710,Spikes,Benedict,Headband-2,Red-2,Stormzy,None,Sweater-Olive,Ovals,Wide,None,None,None,Checkerboard,Blue,Waves,Yellow,45.63214159417013,710
711,Spikes,Dopey-Yellow,Lwa,Red-7,Bullets,None,Sweater-Olive,Stripes,Snouty,None,Green,None,Spiky,Grey,Stripy,Blue,65.03082135630899,711
712,Flaps,Bowie-Blue,Beanie-Creepz,Pink-3,None,Tie-Dye-3,None,Scales,Flared,None,Red,Chest-Hair,Checkerboard,Yellow,Techno,Light-Blue,55.3637112105994,712
713,Lines,Stoned,Camo,Green-3,None,None,Sweater-White,Sharp,Snouty,None,None,None,Cheerful,Yellow,Techno,Blue,25.719485792598064,713
714,Spots,Squint-Grey,Beanie-Black,Pink-4,None,Agamids-Red,None,Colour-Tatts,Snouty,None,None,Black-Tatts,Scaly,Purple,Stripy,Grey,35.1067938798931,714
715,Spots,Crazed-Purple,Backwards-Cap-Red,Red-2,None,Ronald,None,Spots,Wide,None,None,Black-Tatts,Disgusted,Grey,Mottled,Blue,29.649951113622535,715
716,Flaps,Demon-Realm-1,Pimp,Orange-8,None,Lemuria-Wyoming-1,None,Markings,Original,None,None,Black-Tatts,Befuddled,Blue,Bone,Yellow,34.29655815263003,716
717,Spots,Sunglasses-1,Dad-Cap-Green,Orange-2,None,Dyor-Sweater,None,Bumps,Original,None,None,Colour-Tatts,Gappy,Green,Waves,Sky,28.659097230680892,717
718,Frills,Chameleon-Almond-Blue,Pimp,Bones,None,None,TShirt-White,Scales,Wide,None,None,None,Razor-Sharp,Blue,Curvy,Purple,17.14441953439515,718
719,Armoured,Blank,Monster,Red-1,Sneakers,None,None,Speckled,Wide,Cigarette,None,None,Closed,Blue,Stripy,Purple,48.49200874354286,719
720,Big-Bumps,Squint-Purple,Monster,Pink-5,Dyor-Hoody,None,Sweater-Purple,Scales,Deep,None,Neon-Green,None,Cheesy,Yellow,Sharp,Purple,67.27077940298145,720
721,Little-Bumps,Gorn,Creepz,Pink-8,Tech-2,None,Sweater-Navy,Ovals,Flared,None,Red,None,Awkward,Yellow,Waves,Purple,65.36460524065025,721
722,Spikes,Nerd,Gypsy-King,Purple-3,Cbc-Hoody,None,Sweater-White,Scales,Snouty,None,None,None,Scaly,Green,Black-Tatts,Blue,38.93253743579466,722
723,Spots,Blank,Police,Green-5,Ase-Chain-Silver,None,TShirt-White,Black-Tatts,Flared,None,None,None,Cheerful,Blue,Waves,Yellow,44.53226938612541,723
724,None,Squint-Purple,Bobble-Balaclava,None,Sneakers,None,Sweater-Black,None,Original,None,None,None,Scaly,Blue,Curvy,Yellow,45.869807774331676,724
725,Creases,Crazed-Purple,Bucket-Navy,Ophiocordyceps,None,Cold-Blooded,None,Spots,Flared,None,None,Chest-Hair,Disgusted,Yellow,Colour-Tatts,Purple,27.440340752094585,725
726,Armoured,Vertical-Blue,Valhalla,Red-4,None,One-Of-Us,None,Speckled,Deep,None,None,Chest-Hair,Gappy,Grey,Techno,Green,26.898985505158052,726
727,Armoured,Vr2,Raptors,Pink-3,Puffer-vest,None,Sweater-Turquoise,Black-Tatts,Flared,None,Neon-Green,None,Awkward,Blue,Bone,Yellow,68.71727888718004,727
728,Soft-Spikes,Squint-Blue,Purple-Camo,Orange-2,None,Slugger,None,Mottling,Deep,None,None,Black-Tatts,Cheerful,Green,Spotty,Lilac,28.50591706829747,728
729,Flaps,Chameleon-Circle-Green-2,Bucket-Navy,Green-2,None,Tie-Dye-3,None,Stripes,Deep,None,None,Chest-Hair,Scaly,Yellow,Mottled,Light-Blue,29.751717808822143,729
730,Spots,Squint-Green,Sneakerhead,Purple-3,None,Astro-Creepz,None,Hatching,Deep,None,None,Chest-Hair,Scaly,Purple,Plain,Blue,30.633390950106687,730
731,Veiny,Weird-Pupil-Red,Bucket-Burberry,Bones,Creepz-Hoody,None,TShirt-Purple,Scales,Original,None,Purple,None,Goofy,Green,Sharp,Sky,67.41368606173806,731
732,Spots,Chameleon-Almond-Yellow,Creepz,Red-1,None,Dystopian,None,Mottling,Deep,None,None,None,Gappy,Yellow,Waves,Light-Blue,23.469640963646853,732
733,Little-Bumps,Bowie-Pink,Purple-Camo,Purple-6,None,Cold-Blooded,None,Sharp,Flared,None,Red,Black-Tatts,Goofy,Grey,Curvy,Pink,52.23559288535847,733
734,Spots,Squint-Grey,Raptors,Orange-3,None,None,None,Bumps,Original,None,Red,Colour-Tatts,Jaws,Green,Sharp,Sky,33.67138908552275,734
735,Veiny,Caiman,Creepz,Pink-9,None,Slugger,None,Sharp,Original,None,None,Chest-Hair,Scaly,Green,Sharp,Teal,21.60181733241903,735
736,Triple,Dopey-Grey,Pyramid,Pink-7,Lanyard,None,None,Techno,Snouty,None,None,None,Scaly,Green,Stripy,Lilac,20.96710812572039,736
737,None,Chameleon-Almond-Yellow,Balaclava,None,None,Hy-Brazil,None,None,Original,None,None,Colour-Tatts,Scaly,Yellow,Techno,Blue,35.739596293887956,737
738,Spikes,Bosseyed-Yellow,Red-Camo,Green-3,None,Fanboy,None,Colour-Tatts,Wide,None,Green,Black-Tatts,Cheesy,Grey,Spotty,Green,52.90633482244004,738
739,Little-Bumps,Chameleon-Circle-Green-2,Line,Green-1,Skeletor,None,TShirt-Pink,Spots,Wide,None,None,None,Closed,Green,Spotty,Lilac,42.490158918866214,739
740,Flaps,Demon-Realm-3,Broad-Brim,Purple-7,Military-Vest,None,TShirt-Navy,Scales,Snouty,None,Blue,None,Goofy,Yellow,Waves,Blue,69.64325692732805,740
741,Lines,Vr2,Eggscellent,Pink-2,None,None,TShirt-Black,Sharp,Wide,None,Green,None,Goofy,Yellow,Techno,Light-Blue,51.770879736109585,741
742,Flaps,Crosseyed-Blue,Purple-Camo,Green-7,None,One-Of-Us,None,Techno,Flared,None,Neon-Green,Chest-Hair,Goofy,Green,Techno,Lilac,48.50801841065016,742
743,None,Chameleon-Circle-Green-1,Bunny-Balaclava,None,Tech-1,None,None,None,Snouty,None,Blue,None,Awkward,Blue,Black-Tatts,Green,48.71373918961958,743
744,Armoured,Vr5,Creepz-Trucker,Orange-2,Cbc-Hoody,None,TShirt-Turquoise,Colour-Tatts,Snouty,None,Neon-Green,None,Razor-Sharp,Grey,Stripy,Green,64.91508915205641,744
745,Little-Bumps,Bowie-Red,Lu-Tang,Red-2,Iridescent-Bag,None,Sweater-Turquoise,Scales,Snouty,None,None,None,Cheerful,Purple,Colour-Tatts,Yellow,52.30046009905702,745
746,Big-Bumps,Crosseyed-Green,Eggscellent-Extreme,Pink-7,Rosette,None,TShirt-Turquoise,Sharp,Snouty,None,None,None,Cheerful,Green,Bone,Sky,48.28032348575566,746
747,Plasters,Vertical-Yellow,Beanie-Black,Purple-4,Cbc-Hoody,None,TShirt-Black,Stripes,Deep,None,None,None,Disgusted,Blue,Bone,Purple,46.41165274447484,747
748,Frills,Squint-Purple,Line,Bones,Tech-3,None,None,Colour-Tatts,Snouty,None,Red,None,Goofy,Green,Plain,Purple,39.06690001330935,748
749,Big-Bumps,Dopey-Purple,Headband-1,Orange-3,Tech-2,None,Sweater-White,Sharp,Wide,None,None,None,Closed,Blue,Spotty,Grey,42.963261021163596,749
750,Plasters,Chameleon-Circle-Orange,Lumpy,Pink-6,None,Dyor-Sweater,None,Markings,Flared,None,None,Chest-Hair,Befuddled,Yellow,Mottled,Grey,29.88450938824589,750
751,Lines,Nerd,Monster,Red-1,None,Blue-Puffer,None,Scales,Wide,None,Orange,Colour-Tatts,Awkward,Green,Sharp,Teal,49.83243582864621,751
752,Flaps,Weird-Pupil-Green,Valhalla,Purple-4,Dyor-Hoody,None,Sweater-Purple,Black-Tatts,Wide,None,None,None,Goofy,Purple,Spotty,Green,50.93568530215668,752
753,Armoured,Crosseyed-Blue,Backwards-Cap-Red,Purple-5,None,Dyor-Sweater,None,Stripes,Snouty,None,None,Colour-Tatts,Scaly,Yellow,Sharp,Purple,27.886490859481327,753
754,Triple,Chameleon-Circle-Green-1,Bucket-Burberry,Red-6,None,Gold-Suit,None,Scales,Snouty,None,None,Colour-Tatts,Cheerful,Green,Mottled,Lilac,30.51452900741623,754
755,Plasters,Chameleon-Circle-Green-2,Duckhead,Purple-6,Vest-1,None,Sweater-Olive,Speckled,Snouty,None,Orange,None,Awkward,Green,Mottled,Teal,66.49129460739537,755
756,Big-Bumps,Sunglasses-1,Eggscellent,Orange-5,None,Creepz-Rugby,None,Colour-Tatts,Flared,None,Orange,Chest-Hair,Razor-Sharp,Green,Curvy,Sky,46.82633861138399,756
757,Spikes,Squint-Purple,Gatorade,Purple-3,None,Rcsa,None,Colour-Tatts,Original,None,None,Black-Tatts,Disgusted,Blue,Rainbow,Yellow,33.37405577375422,757
758,Armoured,Vertical-Blue,Mars-Blackmon,Orange-3,None,One-Of-Us,None,Mottling,Flared,None,None,Colour-Tatts,Goofy,Green,Sharp,Teal,26.29010305810348,758
759,Creases,Purple-Shades,Monster,Orange-4,None,Tie-Dye-2,None,Stripes,Wide,None,Green,Chest-Hair,Spiky,Blue,Sharp,Brown,47.64330905631584,759
760,Soft-Spikes,Dopey-Yellow,Red-Camo,Orange-1,Iridescent-Bag,None,TShirt-White,Speckled,Snouty,None,Red,None,Razor-Sharp,Grey,Spotty,Light-Green,68.36314075044272,760
761,Flaps,Chameleon-Circle-Blue,Five-Panel-Purple,Pink-3,None,Camo-Desert,None,Ovals,Original,None,None,Chest-Hair,Closed,Grey,Stripy,Green,25.17319414694732,761
762,Little-Bumps,Weird-Pupil-Red,Eggscellent,Orange-4,None,Run-Cbc,None,Spots,Wide,None,None,Colour-Tatts,Gappy,Grey,Stripy,Green,30.2048186675909,762
763,Flaps,Glass,Broad-Brim,Pink-9,None,Camo-Brown,None,Bumps,Deep,None,Green,Colour-Tatts,Cheesy,Purple,Bone,Grey,60.62995433527981,763
764,Spikes,Peace,Beanie-Burgundy,Purple-8,None,Leopard,None,Scales,Wide,None,None,Black-Tatts,Scaly,Blue,Mottled,Brown,29.258353054287266,764
765,Stubble,Chameleon-Circle-Green-2,Lumpy,Purple-7,Dyor-Hoody,None,TShirt-Turquoise,Ovals,Wide,None,Orange,None,Checkerboard,Grey,Curvy,Light-Green,70.33409695415304,765
766,Spikes,Vertical-Red,Ronald,Orange-3,None,None,TShirt-Black,Ovals,Flared,None,None,None,Cheerful,Blue,Techno,Brown,26.257339917739852,766
767,Stubble,Vertical-Yellow,Bucket-Creepz,Pink-8,None,Flat-Earth,None,Spots,Snouty,None,Green,Chest-Hair,Grills,Blue,Curvy,Green,46.29529700764777,767
768,Stubble,Dopey-Blue,Red-Camo,Orange-9,None,Astro-Creepz,None,Bumps,Wide,None,Red,Colour-Tatts,Goofy,Yellow,Waves,Teal,54.0806255287641,768
769,Lines,Vr2,Backwards-Cap-Red,Green-3,None,Slugger,None,Mottling,Flared,None,None,Black-Tatts,Disgusted,Purple,Black-Tatts,Teal,36.407188646993525,769
770,Armoured,Squint-Purple,Lu-Tang,Green-1,None,Lemuria-Wyoming-2,None,Black-Tatts,Snouty,Spliff,None,Chest-Hair,Closed,Yellow,Mottled,Teal,59.607585088861136,770
771,Big-Bumps,Chameleon-Almond-Grey,Sombrero,Purple-7,None,Floral-Green-Yellow,None,Bumps,Original,None,Red,Black-Tatts,Cheesy,Yellow,Mottled,Grey,54.921436927505276,771
772,Stubble,Dopey-Grey,Lwa,Pink-6,None,Gorn-Hub,None,Black-Tatts,Deep,None,None,Chest-Hair,Befuddled,Yellow,Mottled,Grey,28.379815167826532,772
773,Flaps,Weird-Pupil-Yellow,Bucket-Creepz,Green-6,Cardigan,None,TShirt-Navy,Spots,Wide,None,None,None,Razor-Sharp,Blue,Techno,Purple,43.31755300123545,773
774,Lines,Vr1,Beanie-Mustard,Orange-4,None,Dyor-Sweater,None,Hatching,Snouty,None,Purple,Chest-Hair,Cheesy,Blue,Spotty,Brown,49.99888225635435,774
775,Veiny,Bosseyed-Yellow,Eggscellent,Green-9,Og-Hoody,None,TShirt-Olive,Speckled,Wide,None,Green,None,Checkerboard,Yellow,Black-Tatts,Light-Blue,76.75048711033128,775
776,Spots,Bosseyed-Red,Wizard,Red-9,Sneakers,None,None,Speckled,Deep,None,Neon-Green,None,Cheesy,Blue,Rainbow,Grey,45.983967181933394,776
777,Stubble,Bowie-Red,Five-Panel-Blue-Checkerboard,Green-1,None,Dyor-Sweater,None,Black-Tatts,Snouty,Cigarette,None,Chest-Hair,Closed,Yellow,Sharp,Light-Blue,64.5772327862282,777
778,None,Dopey-Green,Bobble-Balaclava,None,Dyor-Hoody,None,TShirt-Turquoise,None,Original,None,None,None,Grills,Grey,Waves,Green,48.95750988944842,778
779,Spots,Nerd,Eggscellent,Pink-8,None,None,Sweater-Purple,Ovals,Wide,None,Neon-Green,None,Razor-Sharp,Grey,Bone,Light-Green,51.5427806911017,779
780,Creases,Pokeball,Bucket-Navy,Purple-5,None,Creepz-Rugby,None,Speckled,Original,None,None,Colour-Tatts,Scaly,Yellow,Techno,Teal,34.15353626925138,780
781,Armoured,Crosseyed-Yellow,Backwards-Cap-Olive,Pink-2,None,Three-Wolf-Moon,None,Spots,Deep,None,Red,Colour-Tatts,Spiky,Yellow,Rainbow,Light-Blue,57.69225180300577,781
782,Veiny,Dopey-Yellow,Dad-Cap-Green,Purple-9,Bullets,None,Sweater-Black,Scales,Wide,None,None,None,Cheerful,Blue,Curvy,Grey,45.20649342910894,782
783,Armoured,Vertical-Yellow,Lumpy,Orange-9,Cbc-Hoody,None,TShirt-Purple,Colour-Tatts,Flared,None,Neon-Green,None,Awkward,Blue,Stripy,Yellow,64.46914802126706,783
784,Big-Bumps,Weird-Pupil-Purple,Wizard,Pink-2,None,Fanboy,None,Speckled,Flared,None,Red,Colour-Tatts,Goofy,Grey,Rainbow,Pink,57.460877786850794,784
785,Frills,Crosseyed-Pink,Bucket-Creepz,Red-6,None,Creepz-Rugby,None,Markings,Original,Cigarette,None,Colour-Tatts,Closed,Green,Sharp,Purple,57.694803975828954,785
786,Little-Bumps,Nerd,Creepz-Trucker,Pink-4,Vest-1,None,Sweater-Navy,Mottling,Snouty,None,None,None,Befuddled,Blue,Techno,Brown,47.997854385671396,786
787,Spots,Bowie-Pink,Skull-And-Bones,Purple-7,None,None,None,Mottling,Snouty,None,None,Black-Tatts,Checkerboard,Yellow,Stripy,Blue,14.461966919705901,787
788,Flaps,Veins-1,Bobble-Hat-Orange,Green-1,None,One-Of-Us,None,Flaps,Original,None,None,Chest-Hair,Scaly,Blue,Stripy,Purple,20.757695438524102,788
789,Flaps,Sunglasses-2,Beanie-Burgundy,Red-7,None,Lemuria-Wyoming-1,None,Spots,Deep,None,Green,Chest-Hair,Grills,Blue,Spotty,Purple,44.00095726987587,789
790,Lines,Crazed-Green,Pyramid,Green-7,None,Highest-in-the-room,None,Scales,Original,None,None,Chest-Hair,Scaly,Grey,Spotty,Green,24.97551386130939,790
791,Creases,Crosseyed-Purple,Bobble-Hat-Red,Green-1,Og-Hoody,None,None,Black-Tatts,Original,None,Neon-Green,None,Spiky,Blue,Sharp,Yellow,44.581486432947855,791
792,Little-Bumps,Crosseyed-Purple,Eggscellent,Orange-3,None,Flat-Earth,None,Sharp,Snouty,Pipe,None,Chest-Hair,Closed,Yellow,Colour-Tatts,Light-Blue,66.29293327770918,792
793,Little-Bumps,Demon-Realm-1,Backwards-Cap-Blue,Green-3,None,Suit-1,None,Sharp,Original,Cigarette,None,Chest-Hair,Closed,Purple,Sharp,Yellow,63.661679617164936,793
794,None,Chameleon-Almond-Green,Bobble-Balaclava,None,None,Slugger,None,None,Deep,None,None,Chest-Hair,Gappy,Grey,Mottled,Green,27.752987071605123,794
795,Creases,Demon-Realm-1,Purple-Camo,Orange-7,None,Lemuria-Wyoming-2,None,Bumps,Deep,None,None,Chest-Hair,Disgusted,Green,Mottled,Purple,19.253006722550637,795
796,Big-Bumps,Dopey-Grey,Line,Orange-7,None,Three-Wolf-Moon,None,Colour-Tatts,Deep,None,None,Black-Tatts,Razor-Sharp,Purple,Black-Tatts,Green,37.03381381713313,796
797,Soft-Spikes,Dopey-Yellow,Purple-Camo,Orange-6,None,Gorn,None,Spots,Flared,None,None,Chest-Hair,Scaly,Yellow,Waves,Teal,25.714329375839462,797
798,Armoured,Weird-Pupil-Red,Creepz-Trucker,Purple-5,Puffer-vest,None,Sweater-Turquoise,Hatching,Flared,None,None,None,Disgusted,Blue,Plain,Purple,42.35391618694202,798
799,Plasters,Blank,Bucket-Navy,Purple-9,Sneakers,None,None,Mottling,Wide,None,None,None,Scaly,Purple,Colour-Tatts,Blue,27.74841152523692,799
800,Spikes,Dopey-Purple,Headband-2,Green-1,None,Argyle-2,None,Spots,Snouty,None,None,Chest-Hair,Closed,Green,Curvy,Sky,21.928902392959206,800
801,Big-Bumps,Sunglasses-1,Backwards-Cap-Black,Orange-9,None,Slugger,None,Markings,Flared,None,Purple,Chest-Hair,Checkerboard,Blue,Mottled,Yellow,48.85850989904693,801
802,Little-Bumps,Crosseyed-Pink,Miner,Red-5,None,Birds-Aren't-Real,None,Flaps,Original,None,None,Colour-Tatts,Razor-Sharp,Green,Black-Tatts,Sky,31.2260937586342,802
803,Little-Bumps,Dopey-Purple,Military,Orange-2,None,None,TShirt-Purple,Sharp,Original,None,Purple,None,Cheesy,Grey,Waves,Purple,41.442988335318134,803
804,Lines,Crazed-Yellow,Broad-Brim,Orange-9,None,None,None,Mottling,Deep,Cigarette,None,Black-Tatts,Closed,Green,Stripy,Teal,42.53837765225984,804
805,Little-Bumps,Diamond,Lwa,Pink-2,None,None,None,Black-Tatts,Wide,None,None,Chest-Hair,Cheerful,Blue,Spotty,Purple,2.1583320344653805,805
806,Armoured,White-Shades,Lwa,Pink-2,None,None,None,Hatching,Original,None,Purple,Chest-Hair,Awkward,Grey,Sharp,Light-Green,30.583694042167053,806
807,Spikes,Dopey-Grey,Military,Red-1,None,Camo-Brown,None,Scales,Original,None,None,Black-Tatts,Cheerful,Blue,Colour-Tatts,Brown,32.74423378087932,807
808,Soft-Spikes,Crazed-Yellow,Headband-2,Pink-2,None,Camo-Brown,None,Ovals,Snouty,None,None,Chest-Hair,Cheerful,Blue,Bone,Brown,29.217218617004022,808
809,Stubble,Vertical-Red,Koopa-Green,Orange-2,Pink-Bag,None,Sweater-Olive,Black-Tatts,Original,None,Neon-Green,None,Goofy,Grey,Stripy,Pink,70.97415198627517,809
810,Spikes,Vertical-Yellow,Sneakerhead,Purple-5,Fire-Hoody,None,TShirt-Purple,Spots,Snouty,None,Orange,None,Checkerboard,Yellow,Colour-Tatts,Teal,72.45482046986153,810
811,Stubble,Sunglasses-2,Lumpy,Green-6,Bullets,None,Sweater-Black,Black-Tatts,Flared,None,None,None,Scaly,Yellow,Plain,Light-Blue,51.592356018500205,811
812,Frills,Crazed-Yellow,Beanie-Burgundy,Purple-9,None,Diamond-Hands,None,Stripes,Flared,None,Orange,Black-Tatts,Cheesy,Yellow,Techno,Grey,58.090602939854044,812
813,None,Crazed-Blue,Bunny-Balaclava,None,None,Argyle-3,None,None,Snouty,None,None,Black-Tatts,Cheerful,Blue,Sharp,Grey,32.20263639830369,813
814,Creases,Veins-1,Purple-Camo,Purple-3,None,Astro-Creepz,None,Hatching,Snouty,None,None,Colour-Tatts,Closed,Purple,Spotty,Blue,33.575139101138184,814
815,Creases,Dopey-Blue,Creepz,Pink-8,None,Astro-Creepz,None,Sharp,Original,None,None,Colour-Tatts,Gappy,Green,Rainbow,Purple,27.50184109421447,815
816,Soft-Spikes,Blinky,Bobble-Hat-Grey,Red-5,None,Argyle-3,None,Ovals,Original,None,None,Black-Tatts,Gappy,Green,Sharp,Sky,29.956141051773816,816
817,Plasters,Chameleon-Almond-Grey,Creepz,Bones,Ase-Chain-Silver,None,Sweater-Olive,Techno,Flared,Cigarette,None,None,Closed,Blue,Curvy,Yellow,80.09892252773903,817
818,Armoured,Nerd,Creepz-Trucker,Purple-1,None,Dyor-Sweater,None,Speckled,Snouty,None,None,Colour-Tatts,Befuddled,Blue,Curvy,Green,26.647385931072414,818
819,Frills,Bosseyed-Red,Eggscellent,Green-4,None,Gorn-Hub,None,Black-Tatts,Snouty,Cigarette,None,Colour-Tatts,Closed,Green,Bone,Lilac,66.11952599185229,819
820,Flaps,Crazed-Yellow,Bobble-Hat-Orange,Orange-1,Og-Hoody,None,Sweater-Turquoise,Hatching,Original,None,Purple,None,Cheesy,Green,Black-Tatts,Lilac,68.84673482323385,820
821,Armoured,Veins-2,Five-Panel-Olive,Green-4,None,Rcsa,None,Scales,Snouty,None,None,Black-Tatts,Closed,Purple,Sharp,Teal,32.56395792554272,821
822,Lines,Crazed-Purple,Bucket-Burberry,Purple-7,None,Tie-Dye-2,None,Sharp,Wide,None,None,Black-Tatts,Cheerful,Purple,Mottled,Green,34.436239482862156,822
823,Triple,Crosseyed-Yellow,Bucket-Orange,Purple-7,None,Cold-Blooded,None,Stripes,Flared,None,None,Chest-Hair,Befuddled,Blue,Rainbow,Grey,28.33563925969037,823
824,None,Chameleon-Circle-Blue,Bunny-Balaclava,None,None,Rcsa,None,None,Deep,None,Blue,Black-Tatts,Spiky,Blue,Techno,Yellow,58.72666870343155,824
825,Frills,Dopey-Green,Mars-Blackmon,Orange-7,None,None,None,Stripes,Wide,None,None,Chest-Hair,Befuddled,Grey,Spotty,Pink,11.268397624154257,825
826,Flaps,Purple-Shades,Beanie-Black,Purple-6,None,Gorn-Hub,None,Ovals,Wide,Cigarette,None,Chest-Hair,Closed,Grey,Black-Tatts,Light-Green,63.031817792358815,826
827,Triple,Purple-Shades,Line,Green-1,None,Gorn-Hub,None,Scales,Deep,None,None,Colour-Tatts,Scaly,Green,Black-Tatts,Purple,25.200518126227273,827
828,Veiny,Crosseyed-Red,Gatorade,Purple-1,None,Gorn-Hub,None,Markings,Snouty,None,None,Colour-Tatts,Cheerful,Purple,Curvy,Green,36.880428346539176,828
829,Big-Bumps,Vr2,Creepz-Trucker,Red-4,None,Gorn,None,Scales,Deep,None,Gradient,Chest-Hair,Awkward,Green,Mottled,Sky,47.62286624128555,829
830,Spots,Vr5,Lucifer,Pink-3,None,Astro-Creepz,None,Hatching,Original,None,Gradient,Colour-Tatts,Jaws,Grey,Black-Tatts,Purple,56.76652869988524,830
831,Spots,Chameleon-Circle-Blue,Creepz,Red-4,Fire-Hoody,None,Sweater-Black,Speckled,Original,None,None,None,Scaly,Blue,Curvy,Yellow,43.52823537452227,831
832,Creases,Vr5,Line,Purple-2,None,None,Sweater-Pink,Sharp,Flared,None,Neon-Green,None,Grills,Green,Black-Tatts,Sky,47.08697462110843,832
833,Spikes,Bosseyed-Purple,Bucket-Creepz,Purple-5,None,Lemuria-Wyoming-1,None,Colour-Tatts,Wide,None,None,Chest-Hair,Closed,Green,Curvy,Lilac,21.986671493230585,833
834,None,Benedict,Balaclava,None,None,V,None,None,Snouty,None,None,Chest-Hair,Cheerful,Green,Techno,Blue,26.343761813941825,834
835,Spots,Vr5,Dad-Cap-Pink,Pink-2,None,Birds-Aren't-Real,None,Speckled,Snouty,None,None,Black-Tatts,Cheerful,Blue,Spotty,Grey,28.495788511285614,835
836,Armoured,Squint-Grey,Pimp,Purple-7,None,Dyor-Sweater,None,Colour-Tatts,Flared,None,None,Colour-Tatts,Befuddled,Green,Mottled,Teal,25.50013270111319,836
837,Lines,Vertical-Green,Lucifer,Pink-9,None,Argyle-2,None,Speckled,Deep,None,Gradient,Chest-Hair,Grills,Yellow,Stripy,Blue,51.99041703553792,837
838,Armoured,Dopey-Blue,Bucket-Burberry,Red-8,Og-Hoody,None,Sweater-White,Stripes,Flared,None,Gradient,None,Awkward,Purple,Waves,Green,69.49329383208956,838
839,Lines,Veins-2,Bishop,Pink-3,None,Lemuria-Wyoming-2,None,Stripes,Deep,None,None,Colour-Tatts,Scaly,Grey,Waves,Green,30.05834899059075,839
840,Plasters,Dopey-Yellow,Koopa-Green,Purple-8,Tech-3,None,TShirt-Turquoise,Bumps,Snouty,None,None,None,Spiky,Blue,Spotty,Yellow,48.14093203084337,840
841,Veiny,Bowie-Green,Lu-Tang,Red-2,None,Tie-Dye-3,None,Bumps,Wide,None,None,Black-Tatts,Gappy,Blue,Sharp,Brown,33.13578710942073,841
842,Little-Bumps,Crazed-Purple,Backwards-Cap-Black,Red-2,Block-Chain,None,TShirt-White,Stripes,Flared,None,Blue,None,Awkward,Purple,Sharp,Yellow,72.19249604876113,842
843,Frills,Crosseyed-Green,Sneakerhead,Green-8,None,Slugger,None,Mottling,Original,None,Green,Chest-Hair,Razor-Sharp,Grey,Sharp,Green,47.486673761485044,843
844,Spikes,Chameleon-Almond-Blue,Purple-Camo,Green-1,None,Gorn-Hub,None,Speckled,Deep,None,Red,Chest-Hair,Razor-Sharp,Green,Waves,Lilac,42.35318202805523,844
845,Lines,Gorn,Backwards-Cap-Black,Purple-8,Gillet,None,TShirt-Turquoise,Sharp,Flared,None,Green,None,Goofy,Grey,Spotty,Pink,70.93316065068609,845
846,Soft-Spikes,Bowie-Red,Creepz-Trucker,Pink-4,None,Lucky-Lizards,None,Markings,Flared,None,None,Chest-Hair,Cheerful,Grey,Spotty,Light-Green,29.76190918931399,846
847,Armoured,Caiman,Broad-Brim,Green-3,None,Argyle-3,None,Bumps,Original,None,None,Chest-Hair,Befuddled,Grey,Sharp,Pink,28.104040627740943,847
848,Lines,Sunglasses-1,Raptors,Purple-8,Sneakers,None,TShirt-Navy,Mottling,Original,None,None,None,Awkward,Green,Spotty,Purple,39.88274162930626,848
849,Frills,Weird-Pupil-Red,Pimp,Purple-6,Cardigan,None,None,Markings,Original,None,None,None,Scaly,Grey,Techno,Green,24.30668741001777,849
850,Little-Bumps,Crosseyed-Green,Wizard,Purple-7,None,Dyor-Sweater,None,Ovals,Deep,None,None,Chest-Hair,Scaly,Yellow,Techno,Light-Blue,31.39585312089966,850
851,Lines,Crazed-Grey,Gypsy-King,Purple-1,None,Leopard,None,Speckled,Flared,None,None,Chest-Hair,Cheerful,Blue,Waves,Brown,25.955997715857364,851
852,Flaps,Chameleon-Almond-Yellow,Backwards-Cap-Olive,Red-3,None,Blue-Puffer,None,Mottling,Wide,None,Orange,Colour-Tatts,Awkward,Grey,Spotty,Blue,54.6526744046678,852
853,Soft-Spikes,Chameleon-Circle-Blue,Bucket-Orange,Orange-7,Block-Chain,None,TShirt-White,Spots,Wide,None,Blue,None,Razor-Sharp,Grey,Curvy,Light-Green,70.26931521295367,853
854,Creases,White-Shades,Crazy-Hair,Purple-8,Dyor-Hoody,None,TShirt-Pink,Scales,Wide,None,None,None,Gappy,Grey,Mottled,Blue,44.38941482161483,854
855,Armoured,Glass,Creepz,Orange-6,Bra,None,Sweater-Olive,Scales,Original,None,None,None,Scaly,Blue,Black-Tatts,Green,42.353929663781486,855
