,Colors,Chest,Arms,Jaws,Mask,Eyes,Helmet,Meka Type,Color,Material,Weapon,Legendary,Rarity score,Token Id
758,4.0,MI Radar C1,MI Radar A1,MI Racer W2,MI Racer M1,MI Aqua Eye,MI Racer,Mirage,White,None,MI Ray guns,None,51.815325539768494,759
759,4.0,MI Racer C1,MI Radar A1,MI Storm,MI Salamender,MI Aqua Eye,MI Sonar,Mirage,Camo Green,None,None,None,39.45916367584662,760
760,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Monkey R-7,OG Violet E1,OG Delta Trooper,OG Meka,Grey,None,None,None,14.114836731797872,761
761,3.0,OG Trooper C1,OG Squadron 4,OG Trooper S2,OG Sphere,OG Violet E1,OG Delta Trooper,OG Meka,Grey,None,None,None,14.257715548885466,762
762,2.0,GAI Sōhei C2,GAI Jingasa A1,Bastion J1,GAI Jingasa M1,Pink Delta,GAI Bastion,Gādian,Blue,Silver Helmet,None,None,71.22880786830221,763
763,0.0,F9 Fortress C1,F9 Jingasa A2,F9 Assault,F9 Bastion M2,F9 Green E21,F9 Ronin H1,F9,None,Camo green,None,None,72.98286145935351,764
764,0.0,MI Radar C1,MI Radar A1,MI Sonar J2,MI Salamender,MI Aqua Eye,MI Racer H2,Mirage,None,Fire,None,None,67.84902104466674,765
765,4.0,GAI Jingasa C1,GAI Sōhei A1,Bastion J2,GAI Jingasa M1,Pink Delta,GAI Tetra H1,Gādian,Yellow,None,None,None,42.22608086289238,766
766,4.0,OG Trooper C2,OG Trooper A2,OG Assault jaw,OG Last Breath,OG Rose E1,OG Darya Master,OG Meka,Dark Brown,None,None,None,21.185908128624423,767
767,0.0,OG Trooper C2,OG Trooper A2,OG Assault jaw,OG Knight,OG Violet E1,OG Rombus Master,OG Meka,None,Camo green,None,None,55.798834851000954,768
768,4.0,OG Heavy C1,OG Squadron 4,OG Trooper S1,OG Trooper M2,OG Violet E1,OG Quartz Heavy,OG Meka,White,None,None,None,18.034943132692693,769
769,4.0,OG Heavy C2,OG Squadron 3,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Rombus Heavy,OG Meka,White,None,OG Gatling Gun,None,37.116866653450984,770
770,3.0,OG Trooper C1,OG Trooper A1,OG Sabotage S7,OG Last Breath,OG Violet E1,OG Radiant Heavy,OG Meka,White,None,None,None,11.826008719344587,771
771,3.0,GAI Youma,GAI Jingasa A1,GAI Jingasa J1,GAI Jingasa M1,White Square,GAI Jingasa H2,Gādian,Dark Brown,None,None,None,35.55686714101597,772
772,3.0,F9 Bastion C1,F9 Bastion,F9 Assault,F9 Assault,F9 Green E4,F9 Spikes,F9,Blue Grey,None,None,None,39.00712606741431,773
773,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Radar M1,MI Aqua Eye,MI Racer,Mirage,Grey,Silver Weapon,MI Rockets X,None,79.50441548068345,774
774,2.0,OG Heavy C1,OG Squadron 3,OG Trooper S1,OG Monkey R-7,OG Rose E1,OG Radiant Heavy,OG Meka,Dark Brown,None,None,None,25.59760485283986,775
775,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Sphere,OG Violet E1,OG Delta Trooper,OG Meka,Light Green,None,None,None,14.914601668721003,776
776,3.0,GAI Sōhei C1,GAI Jingasa A1,Bastion J1,GAI Ukiyo-E,White Square,GAI Jingasa H2,Gādian,Blood Red,None,None,None,42.38804614461459,777
777,3.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Racer M2,MI Pink Visor,MI Racer,Mirage,Orange,None,None,None,30.00819203876601,778
778,3.0,MI Radar C1,MI Racer A1,MI Racer W1,MI Sonic M1,MI White Visor,MI Racer,Mirage,Purple,None,None,None,36.18887806961185,779
779,2.0,OG Trooper C1,OG Trooper A2,OG Trooper S2,OG Trooper M1,OG Rose E1,OG Delta Trooper,OG Meka,Dark Brown,None,OG Thunder Gun,None,38.02498379525495,780
780,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S2,OG Filter,OG Red E0,OG Darya Master,OG Meka,Pastel Blue,None,OG Dawn Sword,None,44.751040487839504,781
781,4.0,MI Racer C2,MI Sonic A1,MI Falcon W1,MI Sonic M1,MI Aqua Eye,MI Radar,Mirage,Yellow,None,None,None,44.10691803541672,782
782,4.0,OG Trooper C2,OG Solid Tank,OG Trooper S1,OG Monkey R-7,OG Violet E1,OG Delta Trooper,OG Meka,Grey,None,None,None,21.920980785453448,783
783,3.0,OG Heavy C1,OG Squadron 4,OG Trooper S2,OG Trooper M1,OG Green E21,OG Quartz Heavy,OG Meka,Yellow,None,None,None,23.963267853778866,784
784,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S2,OG Monkey R-9,OG Rose E1,OG Delta Elite,OG Meka,Blue Grey,None,None,None,15.312372103650171,785
785,3.0,F9 Bastion C1,F9 Samourai A1,F9 Brackyura,F9 Bastion M1,F9 Green E21,F9 Spikes,F9,White,None,GAI Kochi,None,56.692190988152156,786
786,3.0,OG Trooper C2,OG Trooper A1,OG Trooper S1,OG Filter,OG Rose E1,OG Delta Trooper,OG Meka,Camo Green,None,None,None,13.005821628573209,787
787,3.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M2,OG Rose E1,OG Radiant Trooper,OG Meka,White,None,None,None,1.835640261814535,788
788,4.0,OG Trooper C1,OG Squadron 3,OG Trooper S2,OG Last Breath,OG Rose E1,OG Delta Trooper,OG Meka,Grey,None,None,None,14.692471699640949,789
789,3.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Racer M2,MI Pink Visor,MI Racer,Mirage,Dark Brown,None,MI Ray guns,None,49.17961289710719,790
790,3.0,MI Racer C1,MI Racer A1,MI Racer W2,MI Radar M1,MI Pink Visor,MI Sonar,Mirage,Light Green,None,None,None,31.81518382900016,791
791,3.0,OG Trooper C1,OG Trooper A1,OG Sabotage S7,OG Trooper M2,OG Rose E1,OG Rombus Trooper,OG Meka,White,None,None,None,5.909987581579756,792
792,3.0,OG Trooper C1,OG Trooper A1,OG Sabotage S3,OG Trooper M1,OG Rose E1,OG Darya Trooper,OG Meka,Dark Brown,None,None,None,8.325472602096621,793
793,3.0,OG Trooper C1,OG Squadron 4,OG Trooper S2,OG Trooper M1,OG Rose E1,OG Delta Trooper,OG Meka,Dark Brown,None,None,None,8.238499841778642,794
794,2.0,OG Trooper C1,OG Solid Tank,OG Sabotage S3,OG Trooper M2,OG Red E0,OG Oblong Elite,OG Meka,Yellow,None,OG Smiley K2,None,54.454485447804025,795
795,3.0,OG Trooper C2,OG Solid Tank,OG Sabotage S3,OG Trooper M1,OG Rose E1,OG Quartz Heavy,OG Meka,White,None,None,None,12.313133490353987,796
796,4.0,OG Trooper C2,OG Trooper A1,OG Trooper S1,OG Monkey R-7,OG Green E7,OG Oblong Heavy,OG Meka,White,None,OG Cannons,None,41.53546491774143,797
797,5.0,F9 Bastion C1,F9 Jingasa A1,F9 Aura J-0,F9 Heavy,F9 Green E4,F9 Assault Spikes,F9,Soft Red,None,None,None,52.893929097884126,798
798,4.0,OG Trooper C1,OG Trooper A1,OG Assault jaw,OG Monkey R-7,OG Pink E0,OG Delta Trooper,OG Meka,White,None,OG Cannons,None,36.07166502023462,799
799,4.0,OG Heavy C1,OG Squadron 3,OG Trooper S2,OG Filter,OG Pink E0,OG Radiant Elite,OG Meka,Yellow,None,None,None,29.62330586403199,800
800,0.0,OG Heavy C1,OG Solid Tank,OG Trooper S2,OG Monkey R-7,OG Rose E1,OG Delta Elite,OG Meka,None,Camo blue,None,None,49.11964724373943,801
801,3.0,GAI Sōhei C1,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M2,Pink Delta,GAI Jingasa H1,Gādian,Light Green,None,None,None,35.19190075589386,802
802,3.0,OG Trooper C2,OG Trooper A2,OG Sabotage S3,OG Trooper M1,OG Violet E1,OG Radiant Trooper,OG Meka,Dark Brown,None,None,None,18.921916418972923,803
803,0.0,F9 Fortress C2,F9 Jingasa A2,F9 Aura J-0,F9 Bastion M1,F9 Green E7,F9 Kagen,F9,None,Carbon,None,None,75.49205752458154,804
804,4.0,OG Heavy C1,OG Trooper A1,OG Trooper S2,OG Mantis,OG Rose E1,OG Rombus Trooper,OG Meka,Blue Grey,None,None,None,21.66596472086749,805
805,4.0,MI Racer C1,MI Racer A1,MI Radar W1,MI Racer M1,MI Aqua Eye,MI Eagle,Mirage,Soft Red,None,MI Ray guns,None,60.46094508849793,806
806,4.0,OG Trooper C1,OG Squadron 3,OG Trooper S1,OG Sphere,OG Green E7,OG Delta Trooper,OG Meka,White,None,None,None,13.622183592133352,807
807,2.0,OG Trooper C2,OG Trooper A2,OG Trooper S2,OG Trooper M1,OG Rose E1,OG Darya Trooper,OG Meka,Dark Brown,Gold Weapon,OG Plasma Ray,None,68.36734125757908,808
808,4.0,F9 Bastion C1,F9 Bastion,F9 Assault,F9 Assault,F9 Green E7,F9 Ronin H2,F9,White,None,None,None,36.782315185534486,809
809,3.0,OG Heavy C1,OG Trooper A1,OG Trooper S1,OG Heavy,OG Violet E1,OG Delta Trooper,OG Meka,Aqua Lite,None,None,None,17.631205469316395,810
810,4.0,MI Racer C1,MI Racer A1,MI Sonic J1,MI Radar M1,MI Pink Visor,MI Sonar,Mirage,Light Green,None,None,None,36.239894988597285,811
811,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Aura J-0,F9 Monkey,F9 Red E21,F9 Spikes,F9,Grey,None,GAI Kochi,None,60.829425751419855,812
812,3.0,OG Heavy C1,OG Trooper A2,OG Trooper S2,OG Trooper M1,OG Rose E1,OG Radiant Trooper,OG Meka,Camo Green,None,OG Thunder Gun,None,36.51027941033068,813
813,4.0,MI Racer C1,MI Racer A1,MI Racer W2,MI Salamender,MI Pink Visor,MI Racer,Mirage,Yellow,None,None,None,35.320127391766334,814
814,3.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M1,White Square,GAI Jingasa H2,Gādian,Light Green,None,None,None,36.15971301858593,815
815,3.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Falcon M0,MI Pink Visor,MI Sonar,Mirage,Dark Brown,None,None,None,29.834773597910115,816
816,4.0,MI Racer C1,MI Racer A1,MI Radar W1,MI Racer M1,MI Pink Visor,MI Racer H2,Mirage,White,None,None,None,27.47340861729328,817
817,3.0,OG Trooper C1,OG Squadron 3,OG Sabotage S7,OG Trooper M1,OG Rose E1,OG Delta Elite,OG Meka,Red,None,None,None,14.028621910871008,818
818,3.0,OG Heavy C2,OG Trooper A1,OG Sabotage S7,OG Heavy,OG Rose E1,OG Quartz Trooper,OG Meka,White,None,OG Cannons,None,35.156208673784356,819
819,3.0,GAI Sōhei C1,GAI Jingasa A2,Bastion J2,GAI Bastion M2,Pink Delta,GAI Tetra H2,Gādian,Grey,None,None,None,37.29232994318157,820
820,4.0,GAI Sōhei C1,GAI Youma,Brachyura,GAI Jingasa M1,Pink Delta,GAI Bastion,Gādian,Red,None,None,None,43.03255354540922,821
821,4.0,GAI Jingasa C1,GAI Sōhei A1,GAI Jingasa J1,GAI Youma,Pink Delta,GAI Bastion,Gādian,White,Silver Helmet,None,None,55.17612046397823,822
822,3.0,OG Heavy C1,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Rombus Trooper,OG Meka,Purple,None,None,None,13.318606623990851,823
823,0.0,MI Radar C1,MI Racer A2,MI Sonar J2,MI Racer M2,MI Pink Visor,MI Eagle,Mirage,None,Camo blue,None,None,66.03648135643199,824
824,3.0,OG Trooper C1,OG Solid Tank,OG Trooper S2,OG Trooper M1,OG Violet E1,OG Delta Trooper,OG Meka,White,None,None,None,7.148646756313748,825
825,3.0,OG Trooper C1,OG Metal spike,OG Trooper S1,OG Heavy,OG Rose E1,OG Delta Elite,OG Meka,White,None,None,None,6.4391811032512205,826
826,4.0,OG Heavy C1,OG Squadron 4,OG Trooper S1,OG Trooper M1,OG Blue E4,OG Rombus Trooper,OG Meka,Grey,None,None,None,22.843594941027593,827
827,3.0,GAI Jingasa C1,GAI Jingasa A1,Bastion J2,GAI Bastion M1,Red Hexa,GAI Jingasa H2,Gādian,Grey,None,None,None,37.22453843746828,828
828,4.0,OG Trooper C2,OG Trooper A1,OG Trooper S1,OG Filter,OG Rose E1,OG Oblong Elite,OG Meka,Orange,Silver Helmet,None,None,42.189561201719734,829
829,4.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Jingasa M2,F9 Green E4,F9 Spikes,F9,White,None,GAI Katana,None,56.636266131281154,830
830,2.0,GAI Sōhei C1,GAI Youma,GAI Jingasa J1,GAI Jingasa M2,Pink Delta,GAI Janjin H2,Gādian,Dark Brown,None,None,None,45.467073983135435,831
831,4.0,OG Trooper C1,OG Solid Tank,OG Trooper S2,OG Filter,OG Rose E1,OG Darya Heavy,OG Meka,Grey,None,OG Plasma Ray,None,38.4064618466511,832
832,3.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Trooper M2,OG Green E7,OG Delta Elite,OG Meka,Black,None,OG Solid Blade x2,None,41.029074288052286,833
833,3.0,OG Heavy C2,OG Trooper A2,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Darya Trooper,OG Meka,White,None,None,None,7.003568586616455,834
834,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Heavy,F9 Green E4,F9 Ronin H2,F9,Grey,None,None,None,35.40784240257799,835
835,4.0,MI Radar C1,MI Racer A1,MI Radar W1,MI Racer M2,MI Pink Visor,MI Radar,Mirage,Grey,None,None,None,34.7370642851944,836
836,4.0,MI Radar C1,MI Racer A2,MI WS-1,MI Racer M1,MI Pink Visor,MI Sonar,Mirage,White,None,None,None,30.496350393253106,837
837,3.0,MI Racer C2,MI Racer A1,MI Racer W2,MI Racer M2,MI Aqua Eye,MI Radar,Mirage,Dark Brown,None,None,None,33.44445773279542,838
838,3.0,OG Chest Brick,OG Arms Brick,OG Helmet Brick,OG Mask Brick,OG Glowing Eyes Brick,OG Helmet Brick,OG Meka,Red,Brick,None,None,57.73794873650765,839
839,4.0,MI Sonic C1,MI Radar A1,MI Sonar J2,MI Racer M2,MI Red Visor,MI Racer,Mirage,Red,None,None,None,40.97513180594075,840
840,2.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Heavy,OG Green E7,OG Oblong Elite,OG Meka,White,Silver Helmet,OG Omega,None,64.18854794598342,841
841,0.0,GAI Sōhei C2,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M2,Pink Delta,GAI Bastion,Gādian,None,Carbon,None,None,68.49047751941332,842
842,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M2,OG Rose E1,OG Radiant Heavy,OG Meka,White,None,None,None,6.557728084813351,843
843,4.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Heavy,OG Rose E1,OG Darya Elite,OG Meka,Dark Brown,None,None,None,15.283035741500905,844
844,4.0,OG Trooper C1,OG Trooper A2,OG Trooper S2,OG Heavy,OG Rose E1,OG Darya Master,OG Meka,Dark Brown,None,None,None,14.057272245283553,845
845,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Assault,F9 Green E4,F9 Spikes,F9,Light Green,None,GAI Katana,None,58.667761107332964,846
846,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Racer M1,MI Aqua Eye,MI Racer,Mirage,Grey,None,None,None,32.065632704824125,847
847,5.0,OG Chest Brick,OG Arms Brick,OG Helmet Brick,OG Mask Brick,OG Eyes Brick,OG Helmet Brick,OG Meka,Blue,Brick,OG Canon Brick,None,93.2774222879808,848
848,3.0,GAI Youma,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Jingasa H1,Gādian,Camo Green,None,None,None,35.22086181489546,849
849,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Radar M1,MI Pink Visor,MI Racer,Mirage,Dark Brown,None,None,None,31.57560106714541,850
850,3.0,F9 Bastion C1,F9 Samourai A1,F9 Assault,F9 Jingasa M2,F9 Red E21,F9 Spikes,F9,Grey,None,GAI Katana,None,59.49094563783793,851
851,3.0,OG Trooper C1,OG Squadron 3,OG Trooper S2,OG Trooper M2,OG Blue E4,OG Darya Trooper,OG Meka,Grey,None,None,None,16.360954650754458,852
852,4.0,OG Trooper C1,OG Trooper A2,OG Trooper S2,OG Filter,OG Violet E1,OG Delta Trooper,OG Meka,White,None,None,None,11.1609701132697,853
853,2.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Radiant Trooper,OG Meka,Dark Brown,None,OG Dawn Sword,None,37.51848970484566,854
854,4.0,OG Trooper C1,OG Squadron 4,OG Trooper S2,OG Filter,OG Rose E1,OG Rombus Heavy,OG Meka,Orange,None,None,None,19.882380294548145,855
855,2.0,MI Racer C1,MI Racer A2,MI Sonar J2,MI Racer M1,MI Pink Visor,MI Eagle,Mirage,White,None,None,None,35.01096401325751,856
856,3.0,MI Radar C1,MI Radar A1,MI Racer W1,MI Racer M1,MI Pink Visor,MI Radar,Mirage,Purple,None,None,None,31.763289246578598,857
857,3.0,OG Trooper C1,OG Metal spike,OG Trooper S2,OG Monkey R-9,OG Blue E4,OG Quartz Elite,OG Meka,Grey,None,None,None,20.00272479622998,858
858,4.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9Youma,F9 White E0,F9 Spikes,F9,Light Green,Silver Helmet,None,None,64.6955555887713,859
859,0.0,GAI Jingasa C1,GAI Sōhei A1,Bastion J1,GAI Jingasa M1,Pink Circle,GAI Tetra H2,Gādian,None,Carbon,None,None,70.60951659955396,860
860,3.0,MI Racer C1,MI Racer A2,MI Racer W1,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Black,None,MI Rockets,None,52.45300394492305,861
861,2.0,MI Radar C1,MI Racer A1,MI Racer W2,MI Racer M2,MI Pink Visor,MI Eagle,Mirage,Dark Brown,None,None,None,40.80984474706709,862
862,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Aura J-0,F9 Jingasa M2,F9 Red E21,F9 Ronin H1,F9,White,None,None,None,34.23161884122152,863
863,2.0,GAI Youma,GAI Jingasa A1,Bastion J1,GAI Youma,Pink Delta,GAI Jingasa H1,Gādian,Dark Brown,None,GAI Tessen x2,None,69.07490101293133,864
864,3.0,OG Heavy C2,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG White E13,OG Delta Trooper,OG Meka,Orange,None,None,None,18.711874458269698,865
865,3.0,OG Trooper C1,OG Solid Tank,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Rombus Elite,OG Meka,Light Green,None,None,None,10.1351697282099,866
866,3.0,F9 Bastion C1,F9 Samourai A0,F9 Assault,F9 Assault,F9 Green E7,F9 Kagen,F9,Dark Grey,None,GAI Gessoku,None,63.71563236497521,867
867,0.0,OG Trooper C1,OG Squadron 4,OG Rocket jaw,OG Trooper M2,OG Rose E1,OG Darya Elite,OG Meka,None,Fire,None,None,48.48767441575806,868
868,5.0,GAI Jingasa C1,GAI Jingasa A1,Bastion J2,GAI Bastion M1,Pink Delta,GAI Janjin H2,Gādian,Grey,None,None,None,47.54711274329077,869
869,4.0,F9 Bastion C1,F9 Bastion,F9 Assault,F9 Heavy,F9 Green E4,F9 Spikes,F9,Light Green,Gold Helmet,None,None,63.74374555482927,870
870,4.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M1,White Circle,GAI Janjin H1,Gādian,Orange,None,None,None,41.703434660918774,871
871,3.0,OG Trooper C1,OG Solid Tank,OG Sabotage S3,OG Trooper M2,OG Rose E1,OG Darya Elite,OG Meka,Pastel Blue,None,None,None,16.228447306636863,872
872,3.0,GAI Jingasa C1,GAI Jingasa A2,Bastion J2,GAI Bastion M1,Pink Circle,GAI Jingasa H1,Gādian,Dark Brown,None,None,None,35.5149138421832,873
873,3.0,MI Radar C1,MI Racer A2,MI WS-1,MI Racer M1,MI Pink Visor,MI Sonar,Mirage,White,Gold Helmet,MI Rockets X,None,71.72425034516507,874
874,2.0,OG Heavy C1,OG Trooper A1,OG Sabotage S7,OG Filter,OG Rose E1,OG Radiant Heavy,OG Meka,Camo Green,None,None,None,28.116465976413952,875
875,3.0,OG Trooper C1,OG Metal spike,OG Trooper S1,OG Filter,OG Rose E1,OG Radiant Elite,OG Meka,Grey,None,None,None,12.180625793912602,876
876,2.0,F9 Bastion C1,F9 Samourai A1,F9 Assault,F9 Heavy,F9 Red E21,F9 Spikes,F9,Dark Brown,None,None,None,46.295509556033885,877
877,3.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Knight,F9 Green E4,F9 Spikes,F9,White,None,None,None,31.11533050869798,878
878,4.0,OG Heavy C2,OG Squadron 4,OG Trooper S1,OG Trooper M2,OG Green E7,OG Radiant Trooper,OG Meka,Blue Grey,None,None,None,29.08463970126088,879
879,4.0,OG Trooper C1,OG Trooper A2,OG Assault jaw,OG Trooper M1,OG Rose E1,OG Quartz Elite,OG Meka,Light Green,None,None,None,15.224617080255367,880
880,0.0,MI Radar C1,MI Sonic A1,MI Sonar J2,MI Racer M2,MI Pink Visor,MI Eagle,Mirage,None,Camo blue,None,None,66.86537866670305,881
881,0.0,OG Heavy C1,OG Trooper A2,OG Assault jaw,OG Sphere,OG Rose E1,OG Delta Elite,OG Meka,None,Ghost,None,None,48.242333544976205,882
882,3.0,MI Racer C1,MI Racer A1,MI Radar W1,MI Racer M2,MI Aqua Eye,MI Racer,Mirage,Dark Grey,None,None,None,33.3437641585467,883
883,3.0,OG Trooper C2,OG Trooper A1,OG Trooper S2,OG Filter,OG Rose E1,OG Delta Trooper,OG Meka,Camo Green,None,OG Smiley K1,None,37.10685532703359,884
884,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Racer M2,MI Aqua Eye,MI Racer,Mirage,Dark Brown,None,None,None,33.11435903661785,885
885,0.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Assault,F9 Green E21,F9 Ronin H1,F9,None,Silver Helmet,None,None,69.77061884492655,886
886,4.0,OG Trooper C1,OG Solid Tank,OG Sabotage S7,OG Sphere,OG Rose E1,OG Delta Trooper,OG Meka,White,None,None,None,10.37069926492359,887
887,0.0,OG Trooper C2,OG Squadron 4,OG Trooper S1,OG Trooper M1,OG Violet E1,OG Oblong Elite,OG Meka,None,Siberie,None,None,52.68024631085086,888
888,3.0,OG Trooper C2,OG Squadron 4,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Delta Elite,OG Meka,Dark Brown,None,OG Smiley K2,None,36.013863434116274,889
889,4.0,MI Sonic C1,MI Radar A1,MI Falcon W1,MI Racer M1,MI Aqua Eye,MI Racer,Mirage,Grey,None,None,None,36.35639473005168,890
890,4.0,MI Sonic C1,MI Racer A2,MI WS-1,MI Kaiman,MI Pink Visor,MI Racer,Mirage,White,None,None,None,32.554358737127906,891
891,3.0,GAI Sōhei C2,GAI Jingasa A2,GAI Jingasa J1,GAI Jingasa M1,Red Square,GAI Bastion,Gādian,White,None,None,None,30.80952522518883,892
892,3.0,F9 Fortress C2,F9 Jingasa A1,F9 Assault,F9 Assault,F9 Green E7,F9 Spikes,F9,White,None,GAI Tessen x2,None,55.37609120785662,893
893,2.0,MI Radar C1,MI Racer A1,MI Racer W1,MI Racer M1,MI White Visor,MI Racer,Mirage,Grey,None,None,None,40.78706508775981,894
894,4.0,MI Radar C1,MI Racer A1,MI Racer W1,MI Kaiman,MI Pink Visor,MI Racer,Mirage,Light Green,None,None,None,35.09792988802308,895
895,2.0,MI Racer C1,MI Radar A1,MI Racer W1,MI Kaiman,MI Aqua Eye,MI Radar,Mirage,White,None,None,None,37.18186139636466,896
896,3.0,MI Radar C1,MI Radar A1,MI WS-1,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Blood Red,None,None,None,31.534236593359655,897
897,3.0,MI Racer C1,MI Racer A1,MI Racer W2,MI Racer M1,MI Pink Visor,MI Racer,Mirage,White,None,MI Rockets X,None,44.18065967228924,898
898,0.0,OG Trooper C1,OG Solid Tank,OG Sabotage S7,OG Mantis,OG White E13,OG Delta Elite,OG Meka,None,Camo blue,OG Omega,None,76.1454848775456,899
899,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Bastion M2,F9 Red E3,F9 Ronin H1,F9,Grey,None,None,None,37.053170820007416,900
900,4.0,GAI Jingasa C1,GAI Sōhei A1,GAI Jingasa J1,GAI Jingasa M1,Pink Delta,GAI Bastion,Gādian,White,None,GAI Gessoku,None,54.391983172119495,901
901,2.0,OG Trooper C1,OG Squadron 4,OG Trooper S2,OG Monkey R-7,OG Rose E1,OG Delta Elite,OG Meka,Dark Brown,None,None,None,21.827041504589236,902
902,3.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Jingasa M1,Cyan Square,GAI Jingasa H1,Gādian,Black,None,None,None,35.856137506500225,903
903,3.0,OG Heavy C2,OG Squadron 3,OG Sabotage S3,OG Trooper M1,OG Rose E1,OG Darya Elite,OG Meka,Orange,None,None,None,21.51192383811114,904
904,0.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Filter,OG Pink E0,OG Quartz Heavy,OG Meka,None,Camo blue,None,None,47.64250194267676,905
905,2.0,MI Racer C2,MI Racer A1,MI Radar W1,MI Racer M2,MI Pink Visor,MI Racer,Mirage,Dark Brown,None,Mi Spectral blade,None,62.70855932941103,906
906,3.0,MI Radar C1,MI Racer A2,MI Sonic J1,MI Racer M1,MI Pink Visor,MI Racer H2,Mirage,Camo Green,None,None,None,33.05066467031364,907
907,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Assault,F9 Knight,F9 Green E21,F9 Assault Spikes,F9,White,None,None,None,32.42186073764818,908
908,3.0,OG Trooper C1,OG Trooper A2,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Radiant Elite,OG Meka,White,None,None,None,2.0487397602205286,909
909,3.0,F9 Bastion C1,F9 Jingasa A2,F9 Assault,F9 Monkey,F9 Red E21,F9 Spikes,F9,White,None,None,None,32.07027758739917,910
910,3.0,MI Racer C1,MI Racer A1,MI Sonic J2,MI Kaiman,MI Pink Visor,MI Racer,Mirage,White,None,None,None,24.732303147818648,911
911,4.0,OG Trooper C1,OG Trooper A2,OG Trooper S2,OG Trooper M2,OG Rose E1,OG Quartz Elite,OG Meka,Dark Brown,None,OG Solid Blade x2,None,35.84883305457255,912
912,2.0,MI Racer C2,MI Racer A1,MI Sonic J1,MI Racer M1,MI Pink Visor,MI Radar,Mirage,White,None,None,None,35.94630142237062,913
913,3.0,GAI Sōhei C1,GAI Yasuke,GAI Jingasa J1,GAI Bastion M1,Cyan Square,GAI Janjin H1,Gādian,Dark Brown,None,None,None,36.924583814234715,914
914,0.0,F9 Fortress C1,F9 Bastion,F9 Assault,F9 Bastion M1,F9 Green E21,F9 Ronin H1,F9,None,Silver Helmet,None,None,72.42191218730271,915
915,3.0,MI Sonic C1,MI Sonic A1,MI Sonar J2,MI Racer M1,MI Aqua Eye,MI Racer,Mirage,Dark Grey,None,None,None,36.82448302139563,916
916,3.0,MI Sonic C1,MI Sonic A1,MI WS-1,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Blood Red,None,None,None,35.03420025711013,917
917,3.0,MI Racer C1,MI Racer A1,MI Sonic J2,MI Racer M1,MI Pink Visor,MI Racer,Mirage,Dark Brown,None,None,None,26.811900428568936,918
918,4.0,OG Trooper C1,OG Trooper A1,OG Trooper S1,OG Trooper M1,OG Rose E1,OG Delta Trooper,OG Meka,White,None,None,None,2.921957001887488,919
919,4.0,GAI Jingasa C1,GAI Sōhei A1,GAI Jingasa J1,GAI Bastion M2,Pink Delta,GAI Jingasa H2,Gādian,White,None,GAI Tessen x2,None,55.72742104776236,920
