,hat under headphones,smoke,headphones,mouth,eyes,type,background,shirt,4:20 watch,long hair,beard,short hair,hat over headphones,chain,1/1,Rarity score,Token Id
1297,None,None,white headphones,smile,3D glasses,charcoal mfer,orange,None,sub turquoise,long hair black,None,None,None,None,None,41.88696665990338,1297
1298,None,cig black,white headphones,smile,regular eyes,plain mfer,orange,collared shirt blue,oyster silver,None,None,None,None,None,None,16.71757134240394,1298
1299,None,cig black,pink headphones,smile,shades,plain mfer,red,None,sub red,None,None,None,None,None,None,22.54809084328909,1299
1300,None,cig black,white headphones,smile,regular eyes,charcoal mfer,green,None,sub lantern (green),None,None,None,None,None,None,11.319338004607092,1300
1301,None,cig white,red headphones,smile,regular eyes,charcoal mfer,yellow,None,None,long hair black,None,None,None,None,None,22.896584857685173,1301
1302,cap purple,cig white,red headphones,smile,shades,plain mfer,blue,hoodie down blue,None,long hair black,None,None,None,None,None,57.98278327333246,1302
1303,None,None,black headphones,smile,regular eyes,plain mfer,green,hoodie down white,sub black,None,None,messy yellow,None,None,None,32.78984676568659,1303
1304,knit atlanta,pipe,white headphones,flat,purple shades,plain mfer,yellow,collared shirt turquoise,sub red,None,None,None,None,None,None,63.89588539076666,1304
1305,None,cig white,white headphones,smile,regular eyes,plain mfer,orange,hoodie down gray,None,long hair yellow,None,None,None,None,None,27.84546759978538,1305
1306,knit new york,pipe,black headphones,smile,regular eyes,charcoal mfer,blue,None,sub black,None,None,None,None,None,None,25.925737133927168,1306
1307,None,cig black,lined headphones,smile,regular eyes,charcoal mfer,blue,None,None,None,None,messy red,None,None,None,28.810584972930947,1307
1308,None,cig white,black headphones,smile,regular eyes,plain mfer,red,hoodie down gray,argo black,None,None,mohawk black,None,None,None,31.77669203284651,1308
1309,None,cig white,black headphones,smile,regular eyes,charcoal mfer,yellow,None,sub red,None,full beard,mohawk black,None,None,None,39.436320277300766,1309
1310,None,cig black,white headphones,smile,regular eyes,plain mfer,orange,None,None,long hair black,None,None,None,None,None,14.981143131660662,1310
1311,None,cig black,white headphones,smile,regular eyes,plain mfer,blue,hoodie down gray,None,None,None,None,None,None,None,13.629863276983919,1311
1312,bandana dark gray,cig black,black headphones,smile,nerd glasses,plain mfer,yellow,hoodie down red,None,None,None,None,None,None,None,39.731306160386524,1312
1313,knit san fran,pipe,white headphones,flat,regular eyes,plain mfer,green,collared shirt blue,sub black,long hair black,None,None,None,None,None,59.72240999692081,1313
1314,None,cig black,red headphones,flat,regular eyes,plain mfer,red,None,oyster silver,long hair black,None,None,None,None,None,34.02859411697838,1314
1315,None,None,pink headphones,smile,regular eyes,plain mfer,yellow,hoodie down gray,sub red,long hair black,None,None,None,None,None,34.72640157678643,1315
1316,beanie monochrome,cig white,red headphones,smile,regular eyes,charcoal mfer,yellow,None,sub black,None,None,None,None,None,None,26.707081272452815,1316
1317,None,cig white,white headphones,smile,regular eyes,plain mfer,red,None,oyster silver,None,full beard,None,None,None,None,23.316622848017836,1317
1318,headband blue/green,cig black,pink headphones,smile,regular eyes,plain mfer,orange,None,sub red,None,None,None,None,None,None,22.60019615566645,1318
1319,cap monochrome,cig black,black headphones,smile,regular eyes,charcoal mfer,orange,hoodie down green,sub rose,None,full beard,None,None,None,None,50.56366850275394,1319
1320,None,cig black,black headphones,flat,regular eyes,plain mfer,green,hoodie down green,None,None,None,mohawk black,None,None,None,39.958635311701876,1320
1321,None,cig white,green headphones,smile,regular eyes,plain mfer,yellow,None,None,None,None,None,top hat,None,None,26.531506269490198,1321
1322,None,cig black,white headphones,flat,regular eyes,plain mfer,red,None,sub black,None,None,None,None,None,None,16.840666247035102,1322
1323,None,cig black,black headphones,smile,regular eyes,plain mfer,yellow,None,sub blue,None,None,None,None,None,None,3.643646244926488,1323
1324,None,cig black,red headphones,flat,regular eyes,plain mfer,orange,collared shirt white,None,None,None,None,None,None,None,29.399775592063786,1324
1325,None,cig black,black headphones,smile,nerd glasses,charcoal mfer,red,None,sub black,long hair yellow,None,None,None,None,None,33.29550112527678,1325
1326,None,None,pink headphones,smile,eye mask,plain mfer,red,None,sub black,long hair black,None,None,None,None,None,38.026855736738604,1326
1327,None,cig black,black headphones,smile,eye mask,charcoal mfer,blue,hoodie down blue,None,None,None,None,None,None,None,29.4582129383767,1327
1328,None,cig white,pink headphones,flat,3D glasses,plain mfer,green,None,sub red,None,None,None,cowboy hat,None,None,54.772467842546476,1328
1329,None,cig black,red headphones,flat,purple shades,plain mfer,blue,None,oyster gold,None,None,None,None,None,None,36.90118100018268,1329
1330,cap monochrome,cig white,black headphones,smile,eye mask,charcoal mfer,blue,collared shirt white,sub blue,None,None,None,None,None,None,46.84786072407272,1330
1331,headband green/white,cig black,black headphones,smile,regular eyes,plain mfer,orange,None,sub black,None,None,None,None,None,None,15.35309787001959,1331
1332,bandana dark gray,cig black,black headphones,smile,regular eyes,plain mfer,red,None,None,None,None,None,None,None,None,14.57176373798667,1332
1333,None,cig white,white headphones,flat,regular eyes,charcoal mfer,orange,hoodie down white,sub cola (blue/red),long hair black,None,None,None,None,None,46.86647642478681,1333
1334,bandana red,cig white,black headphones,flat,regular eyes,plain mfer,blue,None,sub blue,long hair yellow,None,None,None,None,None,44.09261816290875,1334
1335,None,pipe,black headphones,flat,regular eyes,plain mfer,yellow,None,sub black,None,None,None,None,None,None,19.817525087496286,1335
1336,None,cig black,pink headphones,smile,regular eyes,charcoal mfer,red,None,oyster silver,long hair black,None,None,None,None,None,25.209126896612567,1336
1337,None,cig black,blue headphones,smile,regular eyes,plain mfer,blue,None,None,long hair yellow,None,None,None,None,None,21.089796711197113,1337
1338,None,cig black,pink headphones,smile,regular eyes,plain mfer,red,None,oyster gold,long hair black,None,None,None,None,None,22.13836417516344,1338
1339,bandana dark gray,cig white,white headphones,smile,regular eyes,plain mfer,red,hoodie down white,argo black,None,None,None,None,None,None,32.78812174642803,1339
1340,None,cig white,lined headphones,smile,regular eyes,plain mfer,yellow,collared shirt pink,sub lantern (green),long hair black,None,None,None,None,None,34.8790291465962,1340
1341,None,cig black,black headphones,smile,regular eyes,plain mfer,orange,None,sub red,None,None,messy yellow,None,None,None,18.81244823768469,1341
1342,headband blue/white,cig black,white headphones,smile,regular eyes,plain mfer,orange,collared shirt white,sub turquoise,None,None,None,None,None,None,31.927435453710824,1342
1343,cap monochrome,cig white,black headphones,smile,regular eyes,charcoal mfer,red,None,None,None,None,None,None,None,None,19.088247255274847,1343
1344,None,None,green headphones,smile,shades,plain mfer,orange,None,oyster silver,long hair black,None,None,None,None,None,39.48700228571671,1344
1345,None,cig black,white headphones,smile,nerd glasses,charcoal mfer,yellow,None,sub black,None,None,None,hoodie,None,None,41.9683758584151,1345
1346,None,cig black,black headphones,flat,regular eyes,charcoal mfer,orange,None,oyster silver,None,None,mohawk black,None,None,None,35.7475212014841,1346
1347,None,cig black,white headphones,smile,vr,plain mfer,yellow,hoodie down green,sub rose,long hair black,None,None,None,None,None,44.95754691464665,1347
1348,None,None,black headphones,smile,regular eyes,plain mfer,yellow,None,oyster silver,None,None,None,None,None,None,7.479382766605265,1348
1349,knit pittsburgh,pipe,black headphones,flat,regular eyes,charcoal mfer,red,None,None,None,None,None,None,None,None,37.77817886344678,1349
1350,knit pittsburgh,cig black,gold headphones,smile,regular eyes,charcoal mfer,blue,None,sub red,long hair black,None,None,None,silver chain,None,59.01009650203722,1350
1351,None,cig black,white headphones,flat,regular eyes,plain mfer,blue,None,oyster silver,long hair black,None,None,None,None,None,30.021941362111114,1351
1352,None,cig white,black headphones,smile,regular eyes,plain mfer,green,None,oyster silver,None,None,mohawk green,None,None,None,19.915440603871748,1352
1353,cap purple,pipe,green headphones,smile,eye mask,charcoal mfer,blue,None,sub turquoise,None,None,None,None,None,None,49.98968392725229,1353
1354,None,cig black,white headphones,flat,purple shades,charcoal mfer,yellow,None,None,None,None,None,None,None,None,33.809423169255204,1354
1355,None,None,white headphones,smile,eye mask,plain mfer,orange,None,sub lantern (green),long hair black,None,None,None,None,None,37.69473519074486,1355
1356,knit san fran,cig black,black headphones,smile,regular eyes,charcoal mfer,green,None,sub red,None,None,None,None,None,None,20.780461140075005,1356
1357,None,cig white,gold headphones,flat,regular eyes,plain mfer,green,None,argo black,None,None,messy purple,None,None,None,41.42539352799851,1357
1358,knit chicago,None,black headphones,smile,shades,charcoal mfer,blue,collared shirt pink,sub bat (blue/black),None,None,None,None,None,None,52.72573108347041,1358
1359,knit san fran,cig white,gold headphones,smile,regular eyes,plain mfer,red,None,sub cola (blue/red),None,None,None,None,None,None,27.666131044264976,1359
1360,None,cig white,black headphones,smile,regular eyes,plain mfer,orange,hoodie down red,sub red,long hair yellow,None,None,None,None,None,27.670104490521364,1360
1361,None,None,red headphones,smile,shades,plain mfer,green,None,sub lantern (green),long hair black,None,None,None,None,None,40.838551411168844,1361
1362,knit san fran,cig white,red headphones,flat,regular eyes,plain mfer,green,collared shirt green,None,None,None,None,None,None,None,44.92838069501832,1362
1363,None,pipe,pink headphones,flat,regular eyes,charcoal mfer,yellow,None,oyster silver,long hair black,None,None,None,silver chain,None,62.72581229906822,1363
1364,None,cig white,green headphones,smile,regular eyes,plain mfer,blue,None,None,None,None,mohawk green,None,None,None,23.23505956425241,1364
1365,None,None,red headphones,smile,regular eyes,charcoal mfer,yellow,collared shirt pink,None,long hair black,None,None,None,None,None,38.04560406701828,1365
1366,None,pipe,white headphones,flat,regular eyes,plain mfer,green,collared shirt green,None,long hair black,None,None,None,None,None,44.77984463857581,1366
1367,None,None,green headphones,flat,regular eyes,plain mfer,blue,hoodie down green,sub turquoise,None,None,None,None,None,None,38.10858898474845,1367
1368,None,cig white,black headphones,smile,nerd glasses,plain mfer,green,None,None,None,None,None,top hat,None,None,33.9533376430279,1368
1369,cap monochrome,cig black,black headphones,smile,regular eyes,plain mfer,green,None,sub blue,None,None,None,None,gold chain,None,37.67991114029844,1369
1370,None,cig black,blue headphones,flat,regular eyes,plain mfer,blue,hoodie down blue,argo black,None,None,mohawk yellow,None,None,None,51.092207541793066,1370
1371,None,cig black,black headphones,smile,regular eyes,plain mfer,yellow,None,oyster silver,None,full beard,messy red,None,None,None,36.44728412745232,1371
1372,headband pink/white,cig white,green headphones,smile,regular eyes,plain mfer,blue,None,None,long hair black,None,None,None,None,None,32.75641489833775,1372
1373,None,cig black,red headphones,smile,vr,charcoal mfer,green,None,argo black,None,full beard,None,None,None,None,46.371842172571235,1373
1374,None,None,black headphones,smile,regular eyes,plain mfer,blue,None,sub lantern (green),None,None,messy yellow,None,None,None,24.939632814766572,1374
1375,cap monochrome,cig white,pink headphones,smile,vr,plain mfer,blue,None,oyster silver,None,None,None,None,None,None,37.918432870091614,1375
1376,cap monochrome,cig white,black headphones,flat,regular eyes,charcoal mfer,red,None,sub turquoise,None,None,None,None,None,None,35.352938947988804,1376
1377,None,None,red headphones,smile,regular eyes,plain mfer,red,None,sub blue,None,None,mohawk black,None,None,None,31.340360630195214,1377
1378,None,cig black,black headphones,smile,regular eyes,plain mfer,red,None,sub red,None,None,mohawk green,None,None,None,19.079838209293243,1378
1379,knit baltimore,cig black,pink headphones,smile,regular eyes,plain mfer,red,hoodie down blue,sub red,long hair black,None,None,None,None,None,45.52975618469664,1379
1380,cap monochrome,cig black,red headphones,smile,regular eyes,charcoal mfer,red,collared shirt white,sub lantern (green),None,None,None,None,None,None,39.77955186952453,1380
1381,None,cig black,blue headphones,smile,regular eyes,charcoal mfer,orange,None,sub red,long hair yellow,None,None,None,None,None,27.225172185328937,1381
1382,knit las vegas,cig black,white headphones,smile,regular eyes,charcoal mfer,blue,None,None,None,None,None,None,None,None,21.866872088417168,1382
1383,None,cig black,red headphones,smile,regular eyes,plain mfer,yellow,hoodie down green,sub red,None,None,None,None,None,None,19.98908181128592,1383
1384,bandana red,cig white,green headphones,smile,regular eyes,plain mfer,yellow,None,argo black,None,None,None,None,None,None,25.44963853955899,1384
1385,None,cig black,None,smile,vr,plain mfer,blue,None,sub red,long hair black,None,None,pilot helmet,None,None,55.97764762457216,1385
1386,headband green/white,cig white,white headphones,smile,regular eyes,charcoal mfer,green,None,sub black,long hair yellow,None,None,None,silver chain,None,55.92717270537564,1386
1387,None,cig black,red headphones,smile,regular eyes,plain mfer,orange,None,sub rose,long hair black,full beard,None,None,None,None,39.430418437013856,1387
1388,None,pipe,black headphones,smile,regular eyes,plain mfer,blue,hoodie down blue,None,None,None,None,top hat,None,None,36.936431313888775,1388
1389,None,cig black,white headphones,smile,regular eyes,charcoal mfer,orange,hoodie down blue,oyster silver,None,None,mohawk black,None,None,None,37.49828209526683,1389
1390,None,cig white,blue headphones,smile,regular eyes,plain mfer,red,collared shirt green,sub lantern (green),None,full beard,messy yellow,None,None,None,56.0006396987156,1390
1391,None,cig black,black headphones,flat,eye mask,charcoal mfer,green,collared shirt white,None,None,None,None,None,None,None,41.412753859952865,1391
1392,None,cig black,pink headphones,smile,regular eyes,charcoal mfer,red,collared shirt green,sub black,None,None,mohawk black,None,None,None,38.97931198186883,1392
1393,headband blue/white,cig white,white headphones,smile,regular eyes,charcoal mfer,red,None,None,None,None,None,None,None,None,22.24283737534311,1393
1394,None,pipe,black headphones,flat,regular eyes,charcoal mfer,yellow,hoodie down blue,None,None,None,None,None,None,None,33.83027939388838,1394
1395,None,cig white,black headphones,smile,regular eyes,plain mfer,red,hoodie down blue,None,None,None,mohawk yellow,None,None,None,28.01861209969097,1395
1396,bandana red,cig white,black headphones,smile,regular eyes,plain mfer,blue,hoodie down pink,sub blue,None,None,None,None,None,None,29.188737192025236,1396
1397,None,cig white,red headphones,smile,regular eyes,plain mfer,blue,hoodie down gray,sub cola (blue/red),None,None,messy purple,None,None,None,38.9335172134398,1397
1398,None,pipe,pink headphones,smile,regular eyes,plain mfer,orange,None,sub red,long hair black,None,None,None,None,None,26.20151821467412,1398
1399,bandana red,cig white,green headphones,smile,vr,plain mfer,orange,hoodie down white,None,None,None,None,None,None,None,46.004220458288806,1399
1400,None,None,red headphones,smile,regular eyes,charcoal mfer,yellow,None,oyster silver,None,None,None,None,None,None,18.290652270070098,1400
1401,None,cig black,blue headphones,flat,regular eyes,plain mfer,blue,hoodie down pink,sub bat (blue/black),None,None,None,None,None,None,35.4933266228986,1401
1402,None,cig black,black headphones,smile,nerd glasses,plain mfer,yellow,collared shirt blue,oyster silver,None,None,messy purple,None,None,None,44.34532191518462,1402
1403,None,None,pink headphones,smile,regular eyes,charcoal mfer,green,None,oyster gold,long hair black,full beard,None,None,None,None,46.91250495842671,1403
1404,None,None,black headphones,smile,regular eyes,charcoal mfer,orange,None,sub blue,None,None,None,None,None,None,11.941765291321751,1404
1405,headband blue/white,cig white,green headphones,smile,regular eyes,plain mfer,orange,None,sub black,None,None,None,None,None,None,21.906607192052945,1405
1406,knit pittsburgh,cig black,black headphones,smile,vr,plain mfer,orange,None,sub black,None,None,None,None,None,None,29.995018611749195,1406
1407,None,cig white,black headphones,smile,shades,plain mfer,yellow,None,sub turquoise,None,None,None,None,None,None,18.459699827532084,1407
1408,None,None,black headphones,smile,regular eyes,plain mfer,red,None,sub lantern (green),None,None,None,None,None,None,8.651455403545054,1408
1409,knit new york,cig black,red headphones,smile,regular eyes,charcoal mfer,orange,None,sub red,long hair black,None,None,None,None,None,39.06900404735296,1409
1410,knit las vegas,cig white,green headphones,smile,regular eyes,charcoal mfer,yellow,None,oyster silver,long hair black,None,None,None,None,None,40.05492277361062,1410
1411,None,cig white,black headphones,smile,regular eyes,plain mfer,green,hoodie down white,oyster silver,None,None,messy yellow,None,None,None,30.579718410874,1411
1412,None,cig white,pink headphones,smile,regular eyes,charcoal mfer,orange,None,sub black,None,None,messy black,None,None,None,28.319634126955478,1412
1413,bandana dark gray,cig white,black headphones,smile,nerd glasses,plain mfer,red,None,sub red,None,None,None,None,None,None,30.538095623298894,1413
1414,None,cig white,black headphones,smile,regular eyes,plain mfer,blue,hoodie down green,sub red,None,None,None,None,None,None,13.176423895233096,1414
1415,headband blue/green,cig black,black headphones,flat,vr,plain mfer,green,None,oyster silver,None,None,None,None,None,None,44.2765242100848,1415
1416,None,None,pink headphones,smile,3D glasses,plain mfer,orange,None,None,None,None,mohawk yellow,None,None,None,41.561155839752466,1416
1417,None,cig black,blue headphones,smile,regular eyes,charcoal mfer,orange,None,sub black,long hair black,None,None,None,None,None,23.920258639579753,1417
1418,headband green/white,pipe,white headphones,smile,purple shades,plain mfer,orange,None,sub turquoise,None,None,None,None,None,None,42.050222734618906,1418
1419,None,cig white,red headphones,flat,shades,plain mfer,orange,None,sub blue,None,None,messy black,None,None,None,53.68430184806794,1419
1420,cap monochrome,cig black,white headphones,smile,regular eyes,charcoal mfer,blue,None,None,long hair black,None,None,None,None,None,33.32445193073274,1420
1421,None,cig white,None,smile,purple shades,charcoal mfer,red,None,sub lantern (green),None,None,None,pilot helmet,None,None,50.48447250355868,1421
1422,None,None,blue headphones,smile,regular eyes,plain mfer,green,None,sub blue,long hair black,None,None,None,None,None,26.77186940080876,1422
1423,None,cig black,pink headphones,smile,regular eyes,plain mfer,orange,collared shirt white,sub black,None,None,None,cowboy hat,None,None,37.04717103715563,1423
1424,None,None,green headphones,smile,vr,plain mfer,orange,collared shirt pink,argo black,None,None,None,None,None,None,40.57360799594237,1424
1425,headband blue/white,cig white,black headphones,flat,regular eyes,charcoal mfer,yellow,collared shirt turquoise,None,None,full beard,None,None,None,None,58.953701348094626,1425
1426,None,cig white,red headphones,flat,vr,plain mfer,yellow,None,argo black,None,None,None,None,None,None,38.137786694248206,1426
1427,None,pipe,black headphones,smile,regular eyes,plain mfer,red,None,sub red,None,None,None,None,None,None,8.814409937251225,1427
1428,None,None,pink headphones,smile,regular eyes,plain mfer,red,collared shirt green,oyster gold,None,None,None,None,None,None,25.838421996736,1428
1429,None,None,white headphones,smile,regular eyes,charcoal mfer,blue,collared shirt pink,oyster gold,long hair black,None,None,None,None,None,38.170929724143264,1429
1430,None,cig black,black headphones,smile,regular eyes,charcoal mfer,yellow,hoodie down blue,sub black,None,None,mohawk green,None,None,None,32.73123946206355,1430
1431,None,None,white headphones,smile,regular eyes,charcoal mfer,orange,None,None,long hair black,None,None,None,None,None,23.41877769293533,1431
1432,None,cig black,pink headphones,flat,3D glasses,charcoal mfer,yellow,None,sub blue,long hair black,None,None,None,None,None,52.22626171569693,1432
1433,None,cig black,white headphones,smile,shades,charcoal mfer,orange,None,sub red,None,full beard,messy black,None,None,None,56.969631061917816,1433
1434,None,cig white,white headphones,flat,regular eyes,plain mfer,yellow,collared shirt green,oyster silver,None,None,mohawk purple,None,None,None,46.74542058255922,1434
1435,knit pittsburgh,None,white headphones,smile,regular eyes,plain mfer,green,hoodie down gray,argo black,long hair black,full beard,None,None,None,None,65.31783720329291,1435
1436,headband blue/green,None,pink headphones,smile,regular eyes,charcoal mfer,green,None,None,None,None,None,None,None,None,29.203453865787665,1436
1437,None,cig black,red headphones,smile,regular eyes,plain mfer,red,None,oyster gold,long hair black,None,None,None,None,None,22.781820586236794,1437
1438,None,cig black,black headphones,smile,regular eyes,plain mfer,green,None,sub black,None,None,None,None,gold chain,None,20.826379998386678,1438
1439,None,cig black,blue headphones,smile,regular eyes,plain mfer,orange,None,sub red,None,None,mohawk black,None,None,None,25.58314281158715,1439
1440,None,None,pink headphones,smile,3D glasses,charcoal mfer,red,None,sub red,None,None,mohawk yellow,None,None,None,47.95700722434153,1440
1441,None,pipe,black headphones,smile,regular eyes,charcoal mfer,red,None,sub blue,None,full beard,messy yellow,None,None,None,47.733209499567344,1441
1442,None,cig black,white headphones,flat,regular eyes,plain mfer,orange,collared shirt green,sub black,None,full beard,mohawk blue,None,None,None,60.76248190901007,1442
1443,bandana red,cig white,white headphones,smile,eye mask,plain mfer,orange,None,sub bat (blue/black),long hair black,None,None,None,None,None,48.77780807040041,1443
1444,bandana blue,None,black headphones,flat,nerd glasses,plain mfer,orange,collared shirt white,oyster silver,None,None,None,None,None,None,58.310709511345195,1444
1445,cap purple,cig black,green headphones,smile,regular eyes,plain mfer,orange,hoodie down white,sub red,None,None,None,None,None,None,33.56935534870426,1445
1446,None,cig black,white headphones,flat,regular eyes,plain mfer,orange,collared shirt blue,sub black,None,None,None,None,None,None,27.00370564735419,1446
1447,headband blue/white,pipe,white headphones,smile,regular eyes,plain mfer,orange,None,sub black,None,None,None,None,None,None,24.927386468286368,1447
1448,headband blue/green,None,black headphones,flat,regular eyes,plain mfer,blue,None,sub turquoise,long hair yellow,None,None,None,None,None,49.038925024758534,1448
1449,None,cig white,black headphones,smile,regular eyes,plain mfer,green,collared shirt white,sub turquoise,None,None,None,None,None,None,14.670149336133742,1449
1450,None,pipe,black headphones,smile,regular eyes,charcoal mfer,green,None,sub red,None,None,messy red,None,None,None,29.347278441963958,1450
1451,None,pipe,pink headphones,smile,regular eyes,plain mfer,blue,None,sub red,None,None,None,None,None,None,14.413426070941401,1451
1452,None,pipe,black headphones,smile,regular eyes,plain mfer,yellow,None,sub black,None,None,None,None,None,None,7.550457690720328,1452
1453,bandana red,cig black,white headphones,smile,regular eyes,charcoal mfer,green,collared shirt white,None,None,None,None,None,None,None,32.12160570554124,1453
1454,None,cig black,pink headphones,smile,regular eyes,charcoal mfer,yellow,hoodie down white,sub black,None,None,None,None,None,None,21.88164237166161,1454
1455,None,pipe,gold headphones,smile,3D glasses,plain mfer,green,hoodie down green,sub rose,None,None,None,None,None,None,44.15603115909927,1455
1456,None,None,white headphones,smile,regular eyes,charcoal mfer,blue,None,oyster silver,None,None,None,None,None,None,14.513582092620425,1456
1457,None,cig black,black headphones,smile,regular eyes,plain mfer,red,hoodie down blue,None,None,None,mohawk black,None,None,None,27.703186200991663,1457
1458,headband blue/green,cig white,white headphones,smile,regular eyes,plain mfer,green,None,oyster gold,None,None,None,None,None,None,21.940120593278426,1458
1459,None,cig black,black headphones,smile,purple shades,charcoal mfer,blue,None,sub black,None,None,None,None,None,None,19.00484614206933,1459
1460,headband blue/white,cig white,black headphones,smile,regular eyes,plain mfer,orange,collared shirt blue,oyster gold,None,None,None,None,None,None,29.025754088384787,1460
1461,None,None,black headphones,smile,regular eyes,plain mfer,red,None,argo black,None,None,mohawk blue,None,None,None,25.789837601043462,1461
1462,None,cig white,pink headphones,smile,regular eyes,plain mfer,green,None,argo black,None,None,None,None,None,None,10.751177315419508,1462
1463,None,cig white,white headphones,smile,shades,charcoal mfer,blue,hoodie down white,None,long hair black,None,None,None,None,None,43.73543037892071,1463
1464,bandana dark gray,pipe,black headphones,smile,regular eyes,plain mfer,yellow,None,sub black,None,None,None,None,None,None,21.643306838239944,1464
1465,headband green/white,cig white,pink headphones,smile,regular eyes,plain mfer,red,None,sub blue,long hair black,None,None,None,None,None,36.12789642775998,1465
1466,None,cig black,black headphones,smile,3D glasses,plain mfer,green,hoodie down green,sub red,None,None,None,None,None,None,27.701512491919356,1466
1467,knit miami,cig black,green headphones,smile,regular eyes,plain mfer,blue,None,None,long hair black,None,None,None,gold chain,None,52.378563390466084,1467
1468,None,pipe,white headphones,smile,shades,plain mfer,blue,None,sub blue,None,None,None,None,None,None,27.04164401335227,1468
1469,None,cig black,black headphones,smile,regular eyes,charcoal mfer,red,None,sub black,None,None,None,hoodie,None,None,25.133791379541808,1469
1470,None,cig white,white headphones,smile,shades,plain mfer,blue,collared shirt white,sub rose,None,None,None,None,None,None,32.023707072882566,1470
1471,None,cig white,white headphones,smile,nerd glasses,plain mfer,red,None,sub black,long hair black,None,None,None,None,None,30.283173448610935,1471
1472,None,cig white,black headphones,smile,regular eyes,charcoal mfer,blue,collared shirt pink,sub black,None,None,None,top hat,None,None,35.82081870271573,1472
1473,None,cig black,black headphones,smile,shades,charcoal mfer,orange,hoodie down gray,sub black,None,None,None,None,None,None,29.5939894400423,1473
1474,None,cig white,white headphones,flat,nerd glasses,plain mfer,blue,collared shirt blue,argo white,long hair black,None,None,None,None,None,56.51228158987308,1474
1475,None,None,blue headphones,smile,regular eyes,plain mfer,orange,None,sub black,None,full beard,None,None,None,None,29.103216692594742,1475
1476,None,cig white,white headphones,smile,shades,plain mfer,yellow,None,sub red,None,None,None,None,None,None,19.589971362615,1476
1477,beanie monochrome,None,lined headphones,smile,vr,plain mfer,red,hoodie down green,None,None,full beard,None,None,None,None,69.54552247294835,1477
1478,None,cig black,pink headphones,smile,regular eyes,plain mfer,orange,collared shirt turquoise,sub cola (blue/red),long hair yellow,None,None,None,None,None,36.2117965751272,1478
1479,None,cig black,green headphones,smile,regular eyes,plain mfer,green,hoodie down white,None,None,None,messy yellow,None,None,None,33.95353158587511,1479
1480,knit san fran,cig white,white headphones,smile,shades,plain mfer,yellow,hoodie down blue,sub red,None,None,None,None,None,None,44.95561168378775,1480
1481,None,cig white,white headphones,flat,nerd glasses,charcoal mfer,red,hoodie down blue,sub turquoise,None,None,messy purple,None,None,None,65.68561299100818,1481
1482,None,cig white,black headphones,smile,regular eyes,plain mfer,yellow,collared shirt blue,oyster gold,None,None,None,None,None,None,14.84142616117618,1482
1483,headband pink/white,cig white,white headphones,smile,regular eyes,plain mfer,yellow,collared shirt white,sub black,long hair black,None,None,None,None,None,40.988527453869644,1483
1484,None,cig white,black headphones,flat,shades,plain mfer,orange,collared shirt pink,sub black,long hair yellow,None,None,None,None,None,52.39759319203887,1484
1485,None,cig black,green headphones,smile,regular eyes,charcoal mfer,blue,hoodie down gray,sub black,None,None,None,None,None,None,21.84405854556589,1485
1486,bandana red,None,black headphones,smile,regular eyes,charcoal mfer,yellow,collared shirt pink,None,None,None,None,None,None,None,33.970176181020044,1486
1487,None,cig black,pink headphones,smile,regular eyes,plain mfer,yellow,None,sub red,None,None,None,None,None,None,8.262929500443036,1487
1488,knit pittsburgh,cig white,white headphones,smile,nerd glasses,plain mfer,yellow,None,None,None,None,None,None,None,None,32.01508822144469,1488
1489,None,cig white,pink headphones,smile,regular eyes,plain mfer,green,None,sub black,long hair yellow,None,None,None,None,None,21.298654451798956,1489
1490,None,cig black,white headphones,smile,eye mask,charcoal mfer,orange,None,sub red,None,None,None,None,None,None,23.87036571548724,1490
1491,None,None,pink headphones,flat,vr,plain mfer,blue,None,sub red,None,full beard,None,None,None,None,55.670722510665236,1491
1492,None,None,green headphones,smile,regular eyes,plain mfer,yellow,None,sub red,None,None,None,None,None,None,12.946809420776145,1492
1493,None,cig black,white headphones,smile,regular eyes,charcoal mfer,green,collared shirt blue,sub red,None,None,mohawk purple,None,None,None,36.93016477320992,1493
1494,headband blue/red,cig white,black headphones,smile,regular eyes,charcoal mfer,yellow,collared shirt white,sub blue,None,None,None,None,None,None,32.85677740497649,1494
1495,None,cig white,gold headphones,smile,regular eyes,plain mfer,orange,hoodie down white,None,long hair black,None,None,None,None,None,30.185115923054756,1495
1496,None,cig white,black headphones,smile,regular eyes,charcoal mfer,yellow,None,argo white,None,full beard,None,None,None,None,25.915208086570786,1496
1497,bandana blue,cig white,gold headphones,smile,regular eyes,plain mfer,yellow,None,None,long hair black,None,None,None,None,None,34.29389456230512,1497
1498,None,cig black,pink headphones,smile,regular eyes,charcoal mfer,green,collared shirt green,sub blue,None,None,None,None,None,None,24.806355436123706,1498
1499,None,cig white,white headphones,smile,shades,charcoal mfer,yellow,None,sub turquoise,None,None,None,None,None,None,25.742098008061927,1499
1500,None,cig white,red headphones,smile,regular eyes,plain mfer,orange,collared shirt green,sub blue,long hair black,None,None,None,None,None,33.09292974143358,1500
1501,None,cig white,white headphones,smile,regular eyes,plain mfer,green,collared shirt white,oyster silver,None,None,mohawk yellow,None,None,None,33.303860982357,1501
1502,None,cig black,white headphones,flat,eye mask,charcoal mfer,orange,None,oyster silver,long hair black,full beard,None,None,None,None,65.36363156408862,1502
